index,stage,name,width,height,area,coverage,path,notes
1,Early,CatHead,16,16,118,0.461,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_16x16-CatHead.png,early; solid silhouette
2,Early,Fish,16,16,88,0.344,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_16x16-Fish.png,early; simple animal
3,Early,Tree,16,16,112,0.438,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_16x16-Tree.png,early; natural icon
4,Early,Cloud,16,16,99,0.387,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_16x16-Cloud.png,early; soft outline
5,Early,Crown,16,16,96,0.375,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_16x16-Crown.png,early; readable object
6,Early,Shield,16,16,114,0.445,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_16x16-Shield.png,early; solid emblem
7,Early,Balloon,14,20,96,0.343,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_14x20-Balloon.png,early; vertical small mask
8,Early,Duck,18,18,141,0.435,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_18x18-Duck.png,early; simple animal
9,Mid,Bunny,22,24,228,0.432,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_22x24-Bunny.png,mid; bigger animal
10,Mid,Bear,22,20,194,0.441,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_22x20-Bear.png,mid; rounded animal
11,Mid,Turtle,24,20,194,0.404,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_24x20-Turtle.png,mid; horizontal animal
12,Mid,Flower,24,24,214,0.372,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_24x24-Flower.png,mid; no hollow center
13,Mid,Mushroom,22,24,202,0.383,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_22x24-Mushroom.png,mid; simple icon
14,Mid,Umbrella,24,20,189,0.394,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_24x20-Umbrella.png,mid; thick handle
15,Mid,Gift,22,22,194,0.401,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_22x22-Gift.png,mid; solid box and bow
16,Mid,Boat,26,20,207,0.398,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_26x20-Boat.png,mid; thick hull and sail
17,Mid,Plane,28,20,240,0.429,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_28x20-Plane.png,mid; compact horizontal
18,Mid,MusicNote,20,24,188,0.392,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_20x24-MusicNote.png,mid; solid note
19,MidLate,Castle,32,36,680,0.590,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_32x36-Castle.png,mid-late; blocky silhouette
20,MidLate,Bus,36,28,498,0.494,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_36x28-Bus.png,mid-late; solid vehicle
21,MidLate,TrainFront,30,36,472,0.437,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_30x36-TrainFront.png,mid-late; vertical vehicle
22,MidLate,Ufo,36,28,350,0.347,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_36x28-Ufo.png,mid-late; simple saucer
23,MidLate,Sun,32,32,464,0.453,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_32x32-Sun.png,mid-late; filled rays
24,MidLate,Snowman,28,36,382,0.379,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_28x36-Snowman.png,mid-late; stacked circles
25,MidLate,Lightning,24,36,362,0.419,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_24x36-Lightning.png,mid-late; angular solid
26,MidLate,Cup,28,30,366,0.436,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_28x30-Cup.png,mid-late; solid cup silhouette
27,Late,Lighthouse,44,52,814,0.356,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_44x52-Lighthouse.png,late; tall simple landmark
28,Late,BigCastle,48,52,1532,0.614,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_48x52-BigCastle.png,late; large blocky landmark
29,Late,Whale,52,40,712,0.342,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_52x40-Whale.png,late; large animal silhouette
30,Late,TallFlower,48,60,1003,0.348,Assets/ArrowMagic/Masks/ShapeExperiment/MaskShape_48x60-TallFlower.png,late; large natural icon
