order,theme,name,variant,width,height,area,sourcePath,transparentSourcePath,maskPath,notes
1,Art,ArtistPalette,compact,34,29,680,E:\ArrowGame\CodexExports\shape_candidate_20d_png\shape_artist_palette.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch05Source/IconMaskOnlyBatch05_512x512-01ArtistPalette.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch05Variants/MaskOnlyBatch05_34x29-01ArtistPalette-compact.png,artist palette with thumb hole
1,Art,ArtistPalette,main,40,34,951,E:\ArrowGame\CodexExports\shape_candidate_20d_png\shape_artist_palette.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch05Source/IconMaskOnlyBatch05_512x512-01ArtistPalette.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch05Base/MaskOnlyBatch05_40x34-01ArtistPalette-main.png,artist palette with thumb hole
1,Art,ArtistPalette,large,44,38,1177,E:\ArrowGame\CodexExports\shape_candidate_20d_png\shape_artist_palette.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch05Source/IconMaskOnlyBatch05_512x512-01ArtistPalette.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch05Variants/MaskOnlyBatch05_44x38-01ArtistPalette-large.png,artist palette with thumb hole
2,Clothing,Boot,compact,29,36,605,E:\ArrowGame\CodexExports\shape_candidate_20d_png\shape_boot.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch05Source/IconMaskOnlyBatch05_512x512-02Boot.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch05Variants/MaskOnlyBatch05_29x36-02Boot-compact.png,boot silhouette
2,Clothing,Boot,main,34,42,834,E:\ArrowGame\CodexExports\shape_candidate_20d_png\shape_boot.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch05Source/IconMaskOnlyBatch05_512x512-02Boot.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch05Base/MaskOnlyBatch05_34x42-02Boot-main.png,boot silhouette
2,Clothing,Boot,large,38,47,1045,E:\ArrowGame\CodexExports\shape_candidate_20d_png\shape_boot.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch05Source/IconMaskOnlyBatch05_512x512-02Boot.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch05Variants/MaskOnlyBatch05_38x47-02Boot-large.png,boot silhouette
3,Sport,BowlingPin,compact,24,38,544,E:\ArrowGame\CodexExports\shape_candidate_20d_png\shape_bowling_pin.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch05Source/IconMaskOnlyBatch05_512x512-03BowlingPin.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch05Variants/MaskOnlyBatch05_24x38-03BowlingPin-compact.png,bowling pin
3,Sport,BowlingPin,main,28,44,744,E:\ArrowGame\CodexExports\shape_candidate_20d_png\shape_bowling_pin.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch05Source/IconMaskOnlyBatch05_512x512-03BowlingPin.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch05Base/MaskOnlyBatch05_28x44-03BowlingPin-main.png,bowling pin
3,Sport,BowlingPin,large,31,49,928,E:\ArrowGame\CodexExports\shape_candidate_20d_png\shape_bowling_pin.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch05Source/IconMaskOnlyBatch05_512x512-03BowlingPin.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch05Variants/MaskOnlyBatch05_31x49-03BowlingPin-large.png,bowling pin
4,Food,Cherries,compact,31,36,557,E:\ArrowGame\CodexExports\shape_candidate_20d_png\shape_cherries.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch05Source/IconMaskOnlyBatch05_512x512-04Cherries.png,Assets/ArrowMagic/Masks/ShapeIconMaskOnlyBatch05Variants/MaskOnlyBatch05_31x36-04Cherries-compact.png,pair of cherries with stems
