rank,pairPriority,riskScore,sourceAType,sourceBType,sourceA,sourceB,basePair,layout,gap,width,height,chains,coverage,aspect,inwardPressure,crossBlocks,blockedChains,blockingChains,blockedByOtherMax,blocksOtherMax,topBlockedIndex,topBlockedOwner,topBlockedHits,topBlockerIndex,topBlockerOwner,topBlockerHits,planScore,details
1,3,251.512,R1,Seed,r1_ab_029_above300_level_456_final,seed_Above300_level_966,r1:a456|seed:a966|h,H0,0,41,28,126,0.931,1.464,9,8,8,5,1,2,42,0,1,47,0,2,975.053,rawOk tiles=1069
2,1,270.474,R1,R1,r1_ab_029_above300_level_456_final,r1_ab_232_above300_level_845_final,r1:a456|r1:a845|h,H0,0,49,30,137,0.904,1.633,9,7,7,5,1,3,42,0,1,43,0,3,944.941,rawOk tiles=1329
3,4,277.623,Seed,Seed,seed_above300_level_521,seed_Above300_level_845,seed:a521|seed:a845|h,H0,0,42,30,120,0.902,1.400,10,9,9,5,1,2,4,0,1,1,0,2,917.445,rawOk tiles=1136
4,1,285.586,R1,R1,r1_ab_029_above300_level_456_final,r1_ab_282_above300_level_966_final,r1:a456|r1:a966|h,H0,0,44,28,147,0.938,1.571,10,9,9,7,1,2,42,0,1,45,0,2,978.2,rawOk tiles=1155
5,4,290.239,Seed,Seed,seed_above300_level_521,seed_above300_level_883,seed:a521|seed:a883|h,H0,0,45,31,131,0.903,1.452,12,8,8,4,1,3,4,0,1,58,1,3,876.515,rawOk tiles=1260
6,2,315.486,R2,Seed,r1_ab_254_above300_level_887_final_sparse_prefill_fill4_hole11_addcells_rewrite_v2_v2_t2_added41_rotation_vflip,seed_Above300_level_845,r2:a887|seed:a845|h,H0,0,46,30,138,0.906,1.533,10,10,10,8,1,2,2,0,1,11,0,2,944.178,rawOk tiles=1250
7,1,321.694,R1,R1,r1_ab_029_above300_level_456_final,r1_ab_156_above300_level_672_final,r1:a456|r1:a672|h,H0,0,46,30,129,0.905,1.533,12,10,10,7,1,2,42,0,1,40,0,2,867.328,rawOk tiles=1249
8,0,324.338,R1,R2,r1_ab_029_above300_level_456_final,r1_ab_156_above300_level_672_final_take_refill_v2_p2_delta7_occ7_addcells_rewrite_v2_v2_l3_added85_rotation_vflip,r1:a456|r2:a672|h,H0,0,49,30,149,0.910,1.633,13,10,10,7,1,2,42,0,1,43,0,2,867.884,rawOk tiles=1337
9,3,328.423,R1,Seed,r1_ab_113_above300_level_616_final,seed_Above300_level_966,r1:a616|seed:a966|h,H0,0,38,28,121,0.905,1.357,10,9,9,3,1,4,6,0,1,10,0,4,922.554,rawOk tiles=963
10,3,331.643,R1,Seed,r1_ab_249_above300_level_879_final,seed_Above300_level_966,r1:a879|seed:a966|h,H0,0,38,28,126,0.930,1.357,12,11,11,7,1,2,1,0,1,1,0,2,905.555,rawOk tiles=990
11,3,334.083,Seed,R1,seed_above300_level_521,r1_ab_232_above300_level_845_final,r1:a845|seed:a521|h,H0,0,44,30,130,0.908,1.467,12,10,10,4,1,3,4,0,1,26,0,3,885.492,rawOk tiles=1199
12,1,350.836,R1,R1,r1_ab_249_above300_level_879_final,r1_ab_232_above300_level_845_final,r1:a845|r1:a879|h,H0,0,46,30,137,0.906,1.533,12,10,10,7,1,3,1,0,1,128,1,3,877.053,rawOk tiles=1250
13,3,356.71,R1,Seed,r1_ab_049_above300_level_492_final,seed_Above300_level_845,r1:a492|seed:a845|h,H0,0,42,30,120,0.932,1.400,13,12,12,6,1,2,0,0,1,20,0,2,875.603,rawOk tiles=1174
14,3,361.099,Seed,R1,seed_Above300_level_857,r1_ab_282_above300_level_966_final,r1:a966|seed:a857|h,H0,0,39,28,137,0.922,1.393,13,12,12,8,1,2,2,0,1,7,0,2,878.077,rawOk tiles=1007
15,1,362.306,R1,R1,r1_ab_113_above300_level_616_final,r1_ab_282_above300_level_966_final,r1:a616|r1:a966|h,H0,0,41,28,142,0.914,1.464,11,10,10,5,1,4,6,0,1,20,0,4,927.632,rawOk tiles=1049
16,3,365.663,R1,Seed,r1_ab_278_above300_level_955_final,seed_Above300_level_845,r1:a955|seed:a845|h,H0,0,42,30,130,0.920,1.400,12,11,11,7,1,3,14,0,1,88,1,3,892.948,rawOk tiles=1159
17,2,366.28,R2,Seed,r1_ab_152_above300_level_661_final_take_refill_v2_p2_delta13_occ5_addcells_rewrite_v2_v2_l3_added77_rotation_vflip,seed_Above300_level_845,r2:a661|seed:a845|h,H0,0,47,30,128,0.902,1.567,13,12,12,6,1,2,5,0,1,31,0,2,838.426,rawOk tiles=1272
18,0,372.006,R2,R1,r1_ab_254_above300_level_887_final_sparse_prefill_fill4_hole11_addcells_rewrite_v2_v2_t2_added41_rotation_vflip,r1_ab_232_above300_level_845_final,r1:a845|r2:a887|h,H0,0,48,30,148,0.912,1.600,12,11,11,7,1,3,2,0,1,25,0,3,911.806,rawOk tiles=1313
19,1,377.003,R1,R1,r1_ab_087_above300_level_558_final,r1_ab_232_above300_level_845_final,r1:a558|r1:a845|h,H0,0,47,30,131,0.905,1.567,12,10,10,5,1,4,5,0,1,123,1,4,874.638,rawOk tiles=1276
20,3,379.955,R1,Seed,r1_ab_121_above300_level_621_final,seed_above300_level_883,r1:a621|seed:a883|h,H0,0,47,31,127,0.904,1.516,13,9,9,3,1,5,4,0,1,54,1,5,841.136,rawOk tiles=1317
21,3,382.907,R1,Seed,r1_ab_208_above300_level_782_final,seed_Above300_level_845,r1:a782|seed:a845|h,H0,0,43,31,125,0.923,1.387,12,12,12,6,1,3,9,0,1,42,0,3,902.805,rawOk tiles=1230
22,2,383.262,Seed,R2,seed_above300_level_521,r1_ab_232_above300_level_845_final_take_refill_v2_p2_delta12_occ8_addcells_rewrite_v2_v2_r3_added89_rotation_vflip,r2:a845|seed:a521|h,H0,0,47,30,155,0.909,1.567,13,12,12,5,1,3,4,0,1,1,0,3,887.893,rawOk tiles=1282
