rank,id,path,source,transform,width,height,chains,coverage,greedy,quality,details
1,composite_portrait150_001_composite_greedy_ab_001_r1_029_a456_a845_h2_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_001_composite_greedy_ab_001_r1_029_a456_a845_h2_rot90.asset,composite_greedy_ab_001_r1_029_a456_a845_h2,rot90,30,47,131,0.926,True,localEmpty=0.297,fast greedy budget=450
2,composite_portrait150_002_composite_greedy_ab_002_r1_249_a879_a966_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_002_composite_greedy_ab_002_r1_249_a879_a966_h0_rot90.asset,composite_greedy_ab_002_r1_249_a879_a966_h0,rot90,28,38,125,0.930,True,localEmpty=0.250,fast greedy budget=450
3,composite_portrait150_003_composite_greedy_ab_003_r1_249_a879_a845_h2_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_003_composite_greedy_ab_003_r1_249_a879_a845_h2_rot90.asset,composite_greedy_ab_003_r1_249_a879_a845_h2,rot90,30,44,131,0.930,True,localEmpty=0.281,fast greedy budget=450
4,composite_portrait150_004_composite_greedy_ab_004_a515_a672_h2_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_004_composite_greedy_ab_004_a515_a672_h2_rot90.asset,composite_greedy_ab_004_a515_a672_h2,rot90,35,45,127,0.917,True,localEmpty=0.375,fast greedy budget=450
5,composite_portrait150_005_composite_greedy_ab_005_a857_r1_282_a966_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_005_composite_greedy_ab_005_a857_r1_282_a966_h0_rot90.asset,composite_greedy_ab_005_a857_r1_282_a966_h0,rot90,28,39,137,0.922,True,localEmpty=0.250,fast greedy budget=450
6,composite_portrait150_006_composite_greedy_ab_006_r2_152_a661_a845_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_006_composite_greedy_ab_006_r2_152_a661_a845_h0_rot90.asset,composite_greedy_ab_006_r2_152_a661_a845_h0,rot90,30,47,131,0.922,True,localEmpty=0.266,fast greedy budget=450
7,composite_portrait150_007_composite_greedy_ab_007_r1_278_a955_a845_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_007_composite_greedy_ab_007_r1_278_a955_a845_h0_rot90.asset,composite_greedy_ab_007_r1_278_a955_a845_h0,rot90,30,42,131,0.934,True,localEmpty=0.266,fast greedy budget=450
8,composite_portrait150_008_composite_greedy_ab_008_r2_020_a435_a845_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_008_composite_greedy_ab_008_r2_020_a435_a845_h0_rot90.asset,composite_greedy_ab_008_r2_020_a435_a845_h0,rot90,30,44,121,0.905,True,localEmpty=0.297,fast greedy budget=450
9,composite_portrait150_009_composite_greedy_ab_009_a876_a845_h2_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_009_composite_greedy_ab_009_a876_a845_h2_rot90.asset,composite_greedy_ab_009_a876_a845_h2,rot90,30,44,126,0.924,True,localEmpty=0.281,fast greedy budget=450
10,composite_portrait150_010_composite_greedy_ab_010_r1_097_a581_a845_h2_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_010_composite_greedy_ab_010_r1_097_a581_a845_h2_rot90.asset,composite_greedy_ab_010_r1_097_a581_a845_h2,rot90,32,46,144,0.932,True,localEmpty=0.297,fast greedy budget=450
11,composite_portrait150_011_composite_greedy_ab_011_r1_063_a515_a672_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_011_composite_greedy_ab_011_r1_063_a515_a672_h0_rot90.asset,composite_greedy_ab_011_r1_063_a515_a672_h0,rot90,35,47,141,0.922,True,localEmpty=0.391,fast greedy budget=450
12,composite_portrait150_012_composite_greedy_ab_012_a754_a845_h2_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_012_composite_greedy_ab_012_a754_a845_h2_rot90.asset,composite_greedy_ab_012_a754_a845_h2,rot90,31,44,124,0.933,True,localEmpty=0.375,fast greedy budget=450
13,composite_portrait150_013_composite_greedy_ab_013_r1_249_a879_r1_156_a672__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_013_composite_greedy_ab_013_r1_249_a879_r1_156_a672__rot90.asset,composite_greedy_ab_013_r1_249_a879_r1_156_a672_h0,rot90,30,43,133,0.938,True,localEmpty=0.266,fast greedy budget=450
14,composite_portrait150_014_composite_greedy_ab_014_r1_264_a906_a845_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_014_composite_greedy_ab_014_r1_264_a906_a845_h0_rot90.asset,composite_greedy_ab_014_r1_264_a906_a845_h0,rot90,30,45,134,0.959,True,localEmpty=0.250,fast greedy budget=450
15,composite_portrait150_015_composite_greedy_ab_015_r2_029_a456_a966_h2_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_015_composite_greedy_ab_015_r2_029_a456_a966_h2_rot90.asset,composite_greedy_ab_015_r2_029_a456_a966_h2,rot90,28,43,130,0.920,True,localEmpty=0.250,fast greedy budget=450
16,composite_portrait150_016_composite_greedy_ab_017_r2_237_a857_r1_271_a943__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_016_composite_greedy_ab_017_r2_237_a857_r1_271_a943__rot90.asset,composite_greedy_ab_017_r2_237_a857_r1_271_a943_h0,rot90,28,46,128,0.931,True,localEmpty=0.281,fast greedy budget=450
