rank,id,path,width,height,chains,coverage,greedy,details
1,composite_greedy_ab_001_r1_029_a456_a845_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_001_r1_029_a456_a845_h2.asset,47,30,131,0.926,True,fast greedy budget=450
2,composite_greedy_ab_002_r1_249_a879_a966_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_002_r1_249_a879_a966_h0.asset,38,28,125,0.930,True,fast greedy budget=450
3,composite_greedy_ab_003_r1_249_a879_a845_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_003_r1_249_a879_a845_h2.asset,44,30,131,0.930,True,fast greedy budget=450
4,composite_greedy_ab_004_a515_a672_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_004_a515_a672_h2.asset,45,35,127,0.917,True,fast greedy budget=450
5,composite_greedy_ab_005_a857_r1_282_a966_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_005_a857_r1_282_a966_h0.asset,39,28,137,0.922,True,fast greedy budget=450
6,composite_greedy_ab_006_r2_152_a661_a845_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_006_r2_152_a661_a845_h0.asset,47,30,131,0.922,True,fast greedy budget=450
7,composite_greedy_ab_007_r1_278_a955_a845_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_007_r1_278_a955_a845_h0.asset,42,30,131,0.934,True,fast greedy budget=450
8,composite_greedy_ab_008_r2_020_a435_a845_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_008_r2_020_a435_a845_h0.asset,44,30,121,0.905,True,fast greedy budget=450
9,composite_greedy_ab_009_a876_a845_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_009_a876_a845_h2.asset,44,30,126,0.924,True,fast greedy budget=450
10,composite_greedy_ab_010_r1_097_a581_a845_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_010_r1_097_a581_a845_h2.asset,46,32,144,0.932,True,fast greedy budget=450
11,composite_greedy_ab_011_r1_063_a515_a672_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_011_r1_063_a515_a672_h0.asset,47,35,141,0.922,True,fast greedy budget=450
12,composite_greedy_ab_012_a754_a845_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_012_a754_a845_h2.asset,44,31,124,0.933,True,fast greedy budget=450
13,composite_greedy_ab_013_r1_249_a879_r1_156_a672_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_013_r1_249_a879_r1_156_a672_h0.asset,43,30,133,0.938,True,fast greedy budget=450
14,composite_greedy_ab_014_r1_264_a906_a845_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_014_r1_264_a906_a845_h0.asset,45,30,134,0.959,True,fast greedy budget=450
15,composite_greedy_ab_015_r2_029_a456_a966_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_015_r2_029_a456_a966_h2.asset,43,28,130,0.920,True,fast greedy budget=450
16,composite_greedy_ab_016_a857_r2_156_a672_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_016_a857_r2_156_a672_h0.asset,44,30,141,0.908,True,fast greedy budget=450
17,composite_greedy_ab_017_r2_237_a857_r1_271_a943_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_017_r2_237_a857_r1_271_a943_h0.asset,46,28,128,0.931,True,fast greedy budget=450
18,composite_greedy_ab_018_r1_097_a581_a946_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_018_r1_097_a581_a946_h2.asset,43,32,140,0.918,True,fast greedy budget=450
19,composite_greedy_ab_019_r1_249_a879_a883_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_019_r1_249_a879_a883_h2.asset,47,31,139,0.902,True,fast greedy budget=450
20,composite_greedy_ab_020_a754_a946_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_020_a754_a946_h2.asset,41,32,121,0.923,True,fast greedy budget=450
21,composite_greedy_ab_021_r1_249_a879_r2_156_a672_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_021_r1_249_a879_r2_156_a672_h0.asset,46,30,152,0.907,True,fast greedy budget=456
22,composite_greedy_ab_022_r2_012_a419_a966_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_022_r2_012_a419_a966_h0.asset,37,28,133,0.921,True,fast greedy budget=450
23,composite_greedy_ab_023_a515_r1_195_a754_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_023_a515_r1_195_a754_h0.asset,48,35,143,0.906,True,fast greedy budget=450
24,composite_greedy_ab_024_r2_237_a857_a946_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_024_r2_237_a857_a946_h0.asset,41,32,139,0.931,True,fast greedy budget=450
25,composite_greedy_ab_025_r1_236_a855_r1_282_a966_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_025_r1_236_a855_r1_282_a966_h2.asset,38,28,141,0.922,True,fast greedy budget=450
26,composite_greedy_ab_026_r2_237_a857_r2_113_a616_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_026_r2_237_a857_r2_113_a616_h0.asset,42,28,122,0.916,True,fast greedy budget=450
27,composite_greedy_ab_027_r2_020_a435_r1_156_a672_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_027_r2_020_a435_r1_156_a672_h0.asset,43,30,122,0.900,True,fast greedy budget=450
28,composite_greedy_ab_028_r1_165_a691_a946_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_028_r1_165_a691_a946_h2.asset,39,32,130,0.951,True,fast greedy budget=450
29,composite_greedy_ab_029_z103_a672_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_029_z103_a672_h0.asset,51,36,132,0.917,True,fast greedy budget=450
30,composite_greedy_ab_030_r2_165_a691_a946_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_030_r2_165_a691_a946_h2.asset,39,35,140,0.916,True,fast greedy budget=450
31,composite_greedy_ab_031_r2_012_a419_a883_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_031_r2_012_a419_a883_h0.asset,46,31,149,0.914,True,fast greedy budget=450
