rank,id,path,source,transform,reversePattern,reversed,variantMode,addedChains,width,height,chains,coverage,greedy,visualPenalty,edgeLong,cornerLong,edgeShort,maxEdgeRun,details
1,composite_probe200f40_001_composite_greedy_ab_001_r1_029_a456_a845_h2_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_001_composite_greedy_ab_001_r1_029_a456_a845_h2_rot90_keep_none.asset,composite_greedy_ab_001_r1_029_a456_a845_h2,rot90,keep,0,none,0,30,47,131,0.926,True,61,7,4,10,14,fast greedy budget=450; localEmpty=0.297
2,composite_probe200f40_002_composite_greedy_ab_002_r1_249_a879_a966_h0_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_002_composite_greedy_ab_002_r1_249_a879_a966_h0_rot90_keep_none.asset,composite_greedy_ab_002_r1_249_a879_a966_h0,rot90,keep,0,none,0,28,38,125,0.930,True,63,7,3,16,14,fast greedy budget=450; localEmpty=0.250
3,composite_probe200f40_003_composite_greedy_ab_003_r1_249_a879_a845_h2_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_003_composite_greedy_ab_003_r1_249_a879_a845_h2_rot90_keep_none.asset,composite_greedy_ab_003_r1_249_a879_a845_h2,rot90,keep,0,none,0,30,44,131,0.930,True,53,5,4,12,11,fast greedy budget=450; localEmpty=0.281
4,composite_probe200f40_004_composite_greedy_ab_004_a515_a672_h2_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_004_composite_greedy_ab_004_a515_a672_h2_rot90_keep_none.asset,composite_greedy_ab_004_a515_a672_h2,rot90,keep,0,none,0,35,45,127,0.917,True,78,9,6,7,16,fast greedy budget=450; localEmpty=0.375
5,composite_probe200f40_005_composite_greedy_ab_005_a857_r1_282_a966_h0_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_005_composite_greedy_ab_005_a857_r1_282_a966_h0_rot90_keep_none.asset,composite_greedy_ab_005_a857_r1_282_a966_h0,rot90,keep,0,none,0,28,39,137,0.922,True,81,9,5,16,14,fast greedy budget=450; localEmpty=0.250
6,composite_probe200f40_006_composite_greedy_ab_006_r2_152_a661_a845_h0_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_006_composite_greedy_ab_006_r2_152_a661_a845_h0_rot90_keep_none.asset,composite_greedy_ab_006_r2_152_a661_a845_h0,rot90,keep,0,none,0,30,47,131,0.922,True,57,5,4,16,10,fast greedy budget=450; localEmpty=0.266
7,composite_probe200f40_007_composite_greedy_ab_007_r1_278_a955_a845_h0_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_007_composite_greedy_ab_007_r1_278_a955_a845_h0_rot90_keep_none.asset,composite_greedy_ab_007_r1_278_a955_a845_h0,rot90,keep,0,none,0,30,42,131,0.934,True,49,4,3,17,13,fast greedy budget=450; localEmpty=0.266
8,composite_probe200f40_008_composite_greedy_ab_008_r2_020_a435_a845_h0_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_008_composite_greedy_ab_008_r2_020_a435_a845_h0_rot90_keep_none.asset,composite_greedy_ab_008_r2_020_a435_a845_h0,rot90,keep,0,none,0,30,44,121,0.905,True,46,4,3,14,11,fast greedy budget=450; localEmpty=0.297
9,composite_probe200f40_009_composite_greedy_ab_009_a876_a845_h2_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_009_composite_greedy_ab_009_a876_a845_h2_rot90_keep_none.asset,composite_greedy_ab_009_a876_a845_h2,rot90,keep,0,none,0,30,44,126,0.924,True,59,7,2,11,19,fast greedy budget=450; localEmpty=0.281
10,composite_probe200f40_010_composite_greedy_ab_010_r1_097_a581_a845_h2_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_010_composite_greedy_ab_010_r1_097_a581_a845_h2_rot90_keep_none.asset,composite_greedy_ab_010_r1_097_a581_a845_h2,rot90,keep,0,none,0,32,46,144,0.932,True,43,3,2,20,11,fast greedy budget=450; localEmpty=0.297
11,composite_probe200f40_011_composite_greedy_ab_011_r1_063_a515_a672_h0_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_011_composite_greedy_ab_011_r1_063_a515_a672_h0_rot90_keep_none.asset,composite_greedy_ab_011_r1_063_a515_a672_h0,rot90,keep,0,none,0,35,47,141,0.922,True,79,9,4,16,16,fast greedy budget=450; localEmpty=0.391
12,composite_probe200f40_012_composite_greedy_ab_012_a754_a845_h2_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_012_composite_greedy_ab_012_a754_a845_h2_rot90_keep_none.asset,composite_greedy_ab_012_a754_a845_h2,rot90,keep,0,none,0,31,44,124,0.933,True,24,2,1,10,11,fast greedy budget=450; localEmpty=0.375
13,composite_probe200f40_013_composite_greedy_ab_013_r1_249_a879_r1_156_a672__rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_013_composite_greedy_ab_013_r1_249_a879_r1_156_a672__rot90_keep_none.asset,composite_greedy_ab_013_r1_249_a879_r1_156_a672_h0,rot90,keep,0,none,0,30,43,133,0.938,True,63,6,4,17,11,fast greedy budget=450; localEmpty=0.266
14,composite_probe200f40_014_composite_greedy_ab_014_r1_264_a906_a845_h0_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_014_composite_greedy_ab_014_r1_264_a906_a845_h0_rot90_keep_none.asset,composite_greedy_ab_014_r1_264_a906_a845_h0,rot90,keep,0,none,0,30,45,134,0.959,True,61,4,3,17,26,fast greedy budget=450; localEmpty=0.250
15,composite_probe200f40_015_composite_greedy_ab_015_r2_029_a456_a966_h2_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_015_composite_greedy_ab_015_r2_029_a456_a966_h2_rot90_keep_none.asset,composite_greedy_ab_015_r2_029_a456_a966_h2,rot90,keep,0,none,0,28,43,130,0.920,True,62,7,3,15,14,fast greedy budget=450; localEmpty=0.250
16,composite_probe200f40_016_composite_greedy_ab_017_r1_179_a717_a845_h0_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_016_composite_greedy_ab_017_r1_179_a717_a845_h0_rot90_keep_none.asset,composite_greedy_ab_017_r1_179_a717_a845_h0,rot90,keep,0,none,0,30,48,130,0.915,True,52,5,4,11,13,fast greedy budget=450; localEmpty=0.281
17,composite_probe200f40_017_composite_greedy_ab_018_r2_237_a857_r1_271_a943__rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_017_composite_greedy_ab_018_r2_237_a857_r1_271_a943__rot90_keep_none.asset,composite_greedy_ab_018_r2_237_a857_r1_271_a943_h0,rot90,keep,0,none,0,28,46,128,0.931,True,57,5,3,12,22,fast greedy budget=450; localEmpty=0.281
18,composite_probe200f40_018_composite_greedy_ab_021_r1_249_a879_a883_h2_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_018_composite_greedy_ab_021_r1_249_a879_a883_h2_rot90_keep_none.asset,composite_greedy_ab_021_r1_249_a879_a883_h2,rot90,keep,0,none,0,31,47,139,0.902,True,69,8,4,13,14,fast greedy budget=450; localEmpty=0.391
19,composite_probe200f40_019_composite_greedy_ab_023_a754_a946_h2_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_019_composite_greedy_ab_023_a754_a946_h2_rot90_keep_none.asset,composite_greedy_ab_023_a754_a946_h2,rot90,keep,0,none,0,32,41,121,0.923,True,39,4,3,7,12,fast greedy budget=450; localEmpty=0.422
20,composite_probe200f40_020_composite_greedy_ab_026_r2_012_a419_a966_h0_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_020_composite_greedy_ab_026_r2_012_a419_a966_h0_rot90_keep_none.asset,composite_greedy_ab_026_r2_012_a419_a966_h0,rot90,keep,0,none,0,28,37,133,0.921,True,58,6,3,16,14,fast greedy budget=450; localEmpty=0.266
21,composite_probe200f40_021_composite_greedy_ab_028_a515_r1_195_a754_h0_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_021_composite_greedy_ab_028_a515_r1_195_a754_h0_rot90_keep_none.asset,composite_greedy_ab_028_a515_r1_195_a754_h0,rot90,keep,0,none,0,35,48,143,0.906,True,75,8,6,9,16,fast greedy budget=450; localEmpty=0.328
22,composite_probe200f40_022_composite_greedy_ab_029_r2_237_a857_a946_h0_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_022_composite_greedy_ab_029_r2_237_a857_a946_h0_rot90_keep_none.asset,composite_greedy_ab_029_r2_237_a857_a946_h0,rot90,keep,0,none,0,32,41,139,0.931,True,62,6,6,8,12,fast greedy budget=450; localEmpty=0.281
23,composite_probe200f40_023_composite_greedy_ab_032_r1_236_a855_r1_282_a966__rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_023_composite_greedy_ab_032_r1_236_a855_r1_282_a966__rot90_keep_none.asset,composite_greedy_ab_032_r1_236_a855_r1_282_a966_h2,rot90,keep,0,none,0,28,38,141,0.922,True,87,10,6,13,14,fast greedy budget=450; localEmpty=0.313
