slot,group,kind,levelId,path,sourceA,sourceB,variant,layout,width,height,chains,coverage,crossBlocks,greedy,repair
1,1,A,r1_ab_249_above300_level_879_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_249_above300_level_879_final.asset,r1_ab_249_above300_level_879_final,seed_Above300_level_845,composite_greedy_ab_001_r1_249_a879_a845_h2,H2,44,30,131,0.930,20,True,preserved-repaired reversed=7 removed=0 chains=131 coverage=0.904 dep=rev#130 blocks=118->117 rayBlocks=510->509 layers=95/36->131/0 gate=101:10->109:17 cycles=1/2->0/0 maxCycle=2->0 sample=129>130 stuck=1>3>4>9>11>12>16>17; edgeFill=4; gapCompact=2 removedChains=4 coverage=0.930
2,1,B,seed_Above300_level_845,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_845.asset,r1_ab_249_above300_level_879_final,seed_Above300_level_845,composite_greedy_ab_001_r1_249_a879_a845_h2,H2,44,30,131,0.930,20,True,preserved-repaired reversed=7 removed=0 chains=131 coverage=0.904 dep=rev#130 blocks=118->117 rayBlocks=510->509 layers=95/36->131/0 gate=101:10->109:17 cycles=1/2->0/0 maxCycle=2->0 sample=129>130 stuck=1>3>4>9>11>12>16>17; edgeFill=4; gapCompact=2 removedChains=4 coverage=0.930
3,1,A+B greedy,composite_greedy_ab_001_r1_249_a879_a845_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABDependencySmoke10/composite_greedy_ab_001_r1_249_a879_a845_h2.asset,r1_ab_249_above300_level_879_final,seed_Above300_level_845,composite_greedy_ab_001_r1_249_a879_a845_h2,H2,44,30,131,0.930,20,True,preserved-repaired reversed=7 removed=0 chains=131 coverage=0.904 dep=rev#130 blocks=118->117 rayBlocks=510->509 layers=95/36->131/0 gate=101:10->109:17 cycles=1/2->0/0 maxCycle=2->0 sample=129>130 stuck=1>3>4>9>11>12>16>17; edgeFill=4; gapCompact=2 removedChains=4 coverage=0.930
4,2,A,seed_Above300_level_515,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_515.asset,seed_Above300_level_515,seed_Above300_level_672,composite_greedy_ab_002_a515_a672_h2,H2,45,35,127,0.917,24,True,preserved-repaired reversed=13 removed=4 chains=123 coverage=0.881 dep=del#53 blocks=109->108 rayBlocks=531->516 layers=116/8->123/0 gate=53:3->45:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=15>34>51>53>65>67>106>113; edgeFill=8; gapCompact=2 removedChains=4 coverage=0.917
5,2,B,seed_Above300_level_672,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_672.asset,seed_Above300_level_515,seed_Above300_level_672,composite_greedy_ab_002_a515_a672_h2,H2,45,35,127,0.917,24,True,preserved-repaired reversed=13 removed=4 chains=123 coverage=0.881 dep=del#53 blocks=109->108 rayBlocks=531->516 layers=116/8->123/0 gate=53:3->45:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=15>34>51>53>65>67>106>113; edgeFill=8; gapCompact=2 removedChains=4 coverage=0.917
6,2,A+B greedy,composite_greedy_ab_002_a515_a672_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABDependencySmoke10/composite_greedy_ab_002_a515_a672_h2.asset,seed_Above300_level_515,seed_Above300_level_672,composite_greedy_ab_002_a515_a672_h2,H2,45,35,127,0.917,24,True,preserved-repaired reversed=13 removed=4 chains=123 coverage=0.881 dep=del#53 blocks=109->108 rayBlocks=531->516 layers=116/8->123/0 gate=53:3->45:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=15>34>51>53>65>67>106>113; edgeFill=8; gapCompact=2 removedChains=4 coverage=0.917
7,3,A,seed_Above300_level_857,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_857.asset,seed_Above300_level_857,r1_ab_282_above300_level_966_final,composite_greedy_ab_003_a857_r1_282_a966_h0,H0,39,28,137,0.922,22,True,preserved-repaired reversed=14 removed=3 chains=134 coverage=0.895 dep=del#90 blocks=120->119 rayBlocks=579->567 layers=129/6->134/0 gate=90:4->79:23 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=66>85>90>92>95>96; edgeFill=3
8,3,B,r1_ab_282_above300_level_966_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_282_above300_level_966_final.asset,seed_Above300_level_857,r1_ab_282_above300_level_966_final,composite_greedy_ab_003_a857_r1_282_a966_h0,H0,39,28,137,0.922,22,True,preserved-repaired reversed=14 removed=3 chains=134 coverage=0.895 dep=del#90 blocks=120->119 rayBlocks=579->567 layers=129/6->134/0 gate=90:4->79:23 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=66>85>90>92>95>96; edgeFill=3
9,3,A+B greedy,composite_greedy_ab_003_a857_r1_282_a966_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABDependencySmoke10/composite_greedy_ab_003_a857_r1_282_a966_h0.asset,seed_Above300_level_857,r1_ab_282_above300_level_966_final,composite_greedy_ab_003_a857_r1_282_a966_h0,H0,39,28,137,0.922,22,True,preserved-repaired reversed=14 removed=3 chains=134 coverage=0.895 dep=del#90 blocks=120->119 rayBlocks=579->567 layers=129/6->134/0 gate=90:4->79:23 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=66>85>90>92>95>96; edgeFill=3
10,4,A,r1_ab_278_above300_level_955_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_278_above300_level_955_final.asset,r1_ab_278_above300_level_955_final,seed_Above300_level_845,composite_greedy_ab_004_r1_278_a955_a845_h0,H0,42,30,131,0.934,18,True,preserved-repaired reversed=13 removed=2 chains=128 coverage=0.910 dep=del#73 blocks=118->117 rayBlocks=489->475 layers=105/24->128/0 gate=103:8->110:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=10>14>19>21>26>34>73>85; edgeFill=3
