rank,id,path,type,score,width,height,chains,coverage,outer1,outer2,maxOuterEmptyRun,holeScore,localEmpty8,localEmpty6,centerEmpty,openers,avgChoices,minChoices,maxChoices,lowChoiceSteps,highChoiceSteps,unlockBursts,maxUnlockBurst,keyLockSteps,firstOuter,lastOuter,endingShort,avgChain,maxChain,regionSwitches,dependencyBlocks,dependencyCycles,dependencyLayerStuck,visualPenalty,edgeShort,maxEdgeRun,families,details
1,composite_play_cand_076_composite_portrait150_082_composite_greedy_ab_08_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_076_composite_portrait150_082_composite_greedy_ab_08_vflip_keep_edge120.asset,section,81.9,29,41,126,0.960,0.993,0.992,1,41.5,0.219,0.389,0.051,16,6.02,1,16,9,28,25,4,5,0.750,0.156,0.308,9.06,42,59,110,0,0,61,15,18,composite_play_cand_076_composite_portrait150_082_composite_greedy_ab_08_vflip_keep_edge120,type=section; score=81.9; deps=110/0/0
2,composite_play_cand_078_composite_portrait150_097_composite_greedy_ab_10_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_078_composite_portrait150_097_composite_greedy_ab_10_vflip_keep_edge120.asset,section,81.7,29,40,134,0.939,1.000,0.988,0,46.4,0.234,0.389,0.072,19,6.59,1,20,6,29,27,4,11,0.765,0.118,0.333,8.13,40,68,115,0,0,55,14,18,composite_play_cand_078_composite_portrait150_097_composite_greedy_ab_10_vflip_keep_edge120,type=section; score=81.7; deps=115/0/0
3,composite_play_cand_104_composite_portrait150_097_composite_greedy_ab_10_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_104_composite_portrait150_097_composite_greedy_ab_10_rot180_keep_edge120.asset,section,80.4,29,40,134,0.939,1.000,0.988,0,46.4,0.234,0.389,0.072,19,6.57,1,20,6,30,28,4,12,0.735,0.118,0.333,8.13,40,72,115,0,0,55,14,18,composite_play_cand_104_composite_portrait150_097_composite_greedy_ab_10_rot180_keep_edge120,type=section; score=80.4; deps=115/0/0
4,composite_play_cand_012_composite_portrait150_019_composite_greedy_ab_02_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_012_composite_portrait150_019_composite_greedy_ab_02_identity_keep_edge120.asset,section,79.5,28,37,135,0.945,1.000,0.980,0,50.3,0.266,0.417,0.092,16,6.20,1,21,11,33,24,4,9,0.794,0.118,0.333,7.25,43,73,119,0,0,62,16,18,composite_play_cand_012_composite_portrait150_019_composite_greedy_ab_02_identity_keep_edge120,type=section; score=79.5; deps=119/0/0
5,composite_play_cand_010_composite_portrait150_017_composite_greedy_ab_01_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_010_composite_portrait150_017_composite_greedy_ab_01_identity_keep_edge120.asset,section,78.3,31,47,144,0.951,0.980,0.973,2,53.4,0.328,0.417,0.074,20,6.32,1,20,15,25,28,5,5,0.639,0.056,0.207,9.62,54,58,124,0,0,75,15,18,composite_play_cand_010_composite_portrait150_017_composite_greedy_ab_01_identity_keep_edge120,type=section; score=78.3; deps=124/0/0
6,composite_play_cand_038_composite_portrait150_017_composite_greedy_ab_01_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_038_composite_portrait150_017_composite_greedy_ab_01_hflip_keep_edge120.asset,section,77.9,31,47,144,0.951,0.980,0.973,2,54.5,0.313,0.472,0.070,20,6.31,1,20,15,25,28,5,5,0.639,0.056,0.207,9.62,54,61,124,0,0,75,15,18,composite_play_cand_038_composite_portrait150_017_composite_greedy_ab_01_hflip_keep_edge120,type=section; score=77.9; deps=124/0/0
7,composite_play_cand_002_composite_portrait150_002_composite_greedy_ab_00_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_002_composite_portrait150_002_composite_greedy_ab_00_identity_keep_edge120.asset,section,77.8,28,38,125,0.953,0.992,0.988,1,47.7,0.250,0.417,0.082,14,6.49,1,18,9,34,27,4,7,0.750,0.094,0.440,8.11,43,57,111,0,0,65,14,18,composite_play_cand_002_composite_portrait150_002_composite_greedy_ab_00_identity_keep_edge120,type=section; score=77.8; deps=111/0/0
8,composite_play_cand_022_composite_portrait150_082_composite_greedy_ab_08_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_022_composite_portrait150_082_composite_greedy_ab_08_identity_keep_edge120.asset,section,77.6,29,41,126,0.960,0.993,0.992,1,40.2,0.219,0.361,0.051,16,5.98,1,16,16,31,26,4,7,0.688,0.125,0.346,9.06,42,54,110,0,0,61,15,18,composite_play_cand_022_composite_portrait150_082_composite_greedy_ab_08_identity_keep_edge120,type=section; score=77.6; deps=110/0/0
9,composite_play_cand_040_composite_portrait150_019_composite_greedy_ab_02_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_040_composite_portrait150_019_composite_greedy_ab_02_hflip_keep_edge120.asset,section,77.6,28,37,135,0.945,1.000,0.980,0,50.3,0.266,0.417,0.092,16,6.16,1,21,14,33,25,4,8,0.794,0.118,0.333,7.25,43,79,119,0,0,62,16,18,composite_play_cand_040_composite_portrait150_019_composite_greedy_ab_02_hflip_keep_edge120,type=section; score=77.6; deps=119/0/0
10,composite_play_cand_030_composite_portrait150_002_composite_greedy_ab_00_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_030_composite_portrait150_002_composite_greedy_ab_00_hflip_keep_edge120.asset,section,77.3,28,38,125,0.953,0.992,0.988,1,47.7,0.250,0.417,0.082,14,6.52,1,18,11,32,24,4,6,0.750,0.094,0.320,8.11,43,68,111,0,0,65,14,18,composite_play_cand_030_composite_portrait150_002_composite_greedy_ab_00_hflip_keep_edge120,type=section; score=77.3; deps=111/0/0
11,composite_play_cand_050_composite_portrait150_082_composite_greedy_ab_08_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_050_composite_portrait150_082_composite_greedy_ab_08_hflip_keep_edge120.asset,section,76.2,29,41,126,0.960,0.993,0.992,1,40.2,0.219,0.361,0.051,16,5.88,1,16,20,30,25,4,7,0.688,0.125,0.346,9.06,42,58,110,0,0,61,15,18,composite_play_cand_050_composite_portrait150_082_composite_greedy_ab_08_hflip_keep_edge120,type=section; score=76.2; deps=110/0/0
