rank,id,path,source,transform,reversePattern,reversed,trimmedOuterExit,trimmedOuterShort,fillMode,outerProfile,addedChains,width,height,chains,coverage,outer1,outer2,maxOuterEmptyRun,visualPenalty,edgeLong,cornerLong,edgeShort,maxEdgeRun,greedy,details
1,composite_play_cand_001_composite_portrait150_001_composite_greedy_ab_00_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_001_composite_portrait150_001_composite_greedy_ab_00_identity_keep_edge120.asset,composite_portrait150_001_composite_greedy_ab_001_r1_029_a456_a845_h2_rot90,identity,keep,0,4,0,edge120,strict,14,30,47,139,0.972,0.980,0.973,2,68,7,4,13,18,True,localEmpty=0.109; fast greedy budget=450
2,composite_play_cand_002_composite_portrait150_002_composite_greedy_ab_00_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_002_composite_portrait150_002_composite_greedy_ab_00_identity_keep_edge120.asset,composite_portrait150_002_composite_greedy_ab_002_r1_249_a879_a966_h0_rot90,identity,keep,0,2,0,edge120,strict,11,28,38,125,0.953,0.992,0.988,1,65,7,3,14,18,True,localEmpty=0.250; fast greedy budget=450
3,composite_play_cand_003_composite_portrait150_003_composite_greedy_ab_00_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_003_composite_portrait150_003_composite_greedy_ab_00_identity_keep_edge120.asset,composite_portrait150_003_composite_greedy_ab_003_r1_249_a879_a845_h2_rot90,identity,keep,0,4,0,edge120,strict,12,30,44,136,0.971,0.993,0.989,1,59,5,4,14,18,True,localEmpty=0.109; fast greedy budget=450
4,composite_play_cand_004_composite_portrait150_005_composite_greedy_ab_00_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_004_composite_portrait150_005_composite_greedy_ab_00_identity_keep_edge120.asset,composite_portrait150_005_composite_greedy_ab_005_a857_r1_282_a966_h0_rot90,identity,keep,0,4,0,edge120,strict,10,28,39,138,0.951,1.000,0.988,0,85,9,5,16,18,True,localEmpty=0.250; fast greedy budget=450
5,composite_play_cand_005_composite_portrait150_006_composite_greedy_ab_00_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_005_composite_portrait150_006_composite_greedy_ab_00_identity_keep_edge120.asset,composite_portrait150_006_composite_greedy_ab_006_r2_152_a661_a845_h0_rot90,identity,keep,0,5,0,edge120,strict,14,30,47,137,0.971,0.993,0.990,1,61,5,4,16,18,True,localEmpty=0.188; fast greedy budget=450
6,composite_play_cand_006_composite_portrait150_007_composite_greedy_ab_00_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_006_composite_portrait150_007_composite_greedy_ab_00_identity_keep_edge120.asset,composite_portrait150_007_composite_greedy_ab_007_r1_278_a955_a845_h0_rot90,identity,keep,0,3,0,edge120,strict,11,30,42,135,0.969,0.986,0.971,2,53,4,3,17,18,True,localEmpty=0.125; fast greedy budget=450
7,composite_play_cand_007_composite_portrait150_008_composite_greedy_ab_00_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_007_composite_portrait150_008_composite_greedy_ab_00_identity_keep_edge120.asset,composite_portrait150_008_composite_greedy_ab_008_r2_020_a435_a845_h0_rot90,identity,keep,0,3,0,edge120,strict,12,30,44,126,0.939,0.986,0.982,1,52,4,3,16,18,True,localEmpty=0.234; fast greedy budget=450
8,composite_play_cand_008_composite_portrait150_012_composite_greedy_ab_01_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_008_composite_portrait150_012_composite_greedy_ab_01_identity_keep_edge120.asset,composite_portrait150_012_composite_greedy_ab_012_a754_a845_h2_rot90,identity,keep,0,1,0,edge120,strict,12,31,44,130,0.957,0.993,0.968,1,31,2,1,14,17,True,localEmpty=0.234; fast greedy budget=450
9,composite_play_cand_009_composite_portrait150_014_composite_greedy_ab_01_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_009_composite_portrait150_014_composite_greedy_ab_01_identity_keep_edge120.asset,composite_portrait150_014_composite_greedy_ab_014_r1_264_a906_a845_h0_rot90,identity,keep,0,2,0,edge120,strict,10,30,45,137,0.979,1.000,0.989,0,60,4,3,16,26,True,localEmpty=0.094; fast greedy budget=450
10,composite_play_cand_010_composite_portrait150_017_composite_greedy_ab_01_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_010_composite_portrait150_017_composite_greedy_ab_01_identity_keep_edge120.asset,composite_portrait150_017_composite_greedy_ab_019_r1_249_a879_a883_h2_rot90,identity,keep,0,5,0,edge120,strict,13,31,47,144,0.951,0.980,0.973,2,75,8,4,15,18,True,localEmpty=0.328; fast greedy budget=450
11,composite_play_cand_011_composite_portrait150_018_composite_greedy_ab_02_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_011_composite_portrait150_018_composite_greedy_ab_02_identity_keep_edge120.asset,composite_portrait150_018_composite_greedy_ab_020_a754_a946_h2_rot90,identity,keep,0,2,0,edge120,strict,9,32,41,124,0.941,0.986,0.971,1,44,4,3,8,18,True,localEmpty=0.422; fast greedy budget=450
12,composite_play_cand_012_composite_portrait150_019_composite_greedy_ab_02_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_012_composite_portrait150_019_composite_greedy_ab_02_identity_keep_edge120.asset,composite_portrait150_019_composite_greedy_ab_022_r2_012_a419_a966_h0_rot90,identity,keep,0,2,0,edge120,strict,10,28,37,135,0.945,1.000,0.980,0,62,6,3,16,18,True,localEmpty=0.266; fast greedy budget=450
13,composite_play_cand_013_composite_portrait150_029_composite_greedy_ab_03_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_013_composite_portrait150_029_composite_greedy_ab_03_identity_keep_edge120.asset,composite_portrait150_029_composite_greedy_ab_032_r2_154_a665_r1_156_a672__rot90,identity,keep,0,5,0,edge120,strict,13,33,49,152,0.938,0.988,0.981,1,83,7,4,28,18,True,localEmpty=0.344; fast greedy budget=456
14,composite_play_cand_014_composite_portrait150_030_composite_greedy_ab_03_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_014_composite_portrait150_030_composite_greedy_ab_03_identity_keep_edge120.asset,composite_portrait150_030_composite_greedy_ab_033_a754_a883_h2_rot90,identity,keep,0,0,0,edge120,strict,9,31,47,135,0.940,0.987,0.963,2,30,3,0,15,14,True,localEmpty=0.328; fast greedy budget=450
15,composite_play_cand_015_composite_portrait150_031_composite_greedy_ab_03_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_015_composite_portrait150_031_composite_greedy_ab_03_identity_keep_edge120.asset,composite_portrait150_031_composite_greedy_ab_034_r2_048_a491_r1_152_a661__rot90,identity,keep,0,7,0,edge120,strict,18,32,47,138,0.957,0.994,0.993,1,82,10,3,15,19,True,localEmpty=0.297; fast greedy budget=450
16,composite_play_cand_016_composite_portrait150_036_composite_greedy_ab_03_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_016_composite_portrait150_036_composite_greedy_ab_03_identity_keep_edge120.asset,composite_portrait150_036_composite_greedy_ab_039_r1_273_a948_a946_h0_rot90,identity,keep,0,5,0,edge120,strict,7,32,43,129,0.942,0.993,0.975,1,78,8,6,4,24,True,localEmpty=0.250; fast greedy budget=450
17,composite_play_cand_017_composite_portrait150_053_composite_greedy_ab_05_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_017_composite_portrait150_053_composite_greedy_ab_05_identity_keep_edge120.asset,composite_portrait150_053_composite_greedy_ab_059_r2_069_a526_r1_271_a943__rot90,identity,keep,0,3,0,edge120,strict,17,28,46,130,0.958,0.986,0.986,2,87,10,3,17,22,True,localEmpty=0.188; fast greedy budget=450
18,composite_play_cand_018_composite_portrait150_059_composite_greedy_ab_06_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_018_composite_portrait150_059_composite_greedy_ab_06_identity_keep_edge120.asset,composite_portrait150_059_composite_greedy_ab_065_r2_110_a607_a754_h0_rot90,identity,keep,0,1,0,edge120,strict,12,32,44,138,0.919,0.993,0.965,1,32,3,1,13,10,True,localEmpty=0.453; fast greedy budget=450
