slot,group,kind,levelId,path,sourceA,sourceB,variant,layout,width,height,chains,coverage,crossBlocks,greedy,repair
1,1,A,r1_ab_029_above300_level_456_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_029_above300_level_456_final.asset,r1_ab_029_above300_level_456_final,seed_Above300_level_845,composite_greedy_ab_001_r1_029_a456_a845_h2,H2,47,30,128,0.920,14,True,preserved-repaired reversed=11 removed=3 chains=128 coverage=0.896; edgeFill=4; gapCompact=2 removedChains=4 coverage=0.920
2,1,B,seed_Above300_level_845,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_845.asset,r1_ab_029_above300_level_456_final,seed_Above300_level_845,composite_greedy_ab_001_r1_029_a456_a845_h2,H2,47,30,128,0.920,14,True,preserved-repaired reversed=11 removed=3 chains=128 coverage=0.896; edgeFill=4; gapCompact=2 removedChains=4 coverage=0.920
3,1,A+B greedy,composite_greedy_ab_001_r1_029_a456_a845_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABScoreTop/composite_greedy_ab_001_r1_029_a456_a845_h2.asset,r1_ab_029_above300_level_456_final,seed_Above300_level_845,composite_greedy_ab_001_r1_029_a456_a845_h2,H2,47,30,128,0.920,14,True,preserved-repaired reversed=11 removed=3 chains=128 coverage=0.896; edgeFill=4; gapCompact=2 removedChains=4 coverage=0.920
4,2,A,r1_ab_029_above300_level_456_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_029_above300_level_456_final.asset,r1_ab_029_above300_level_456_final,r1_ab_232_above300_level_845_final,composite_greedy_ab_002_r1_029_a456_r1_232_a845_h0,H0,49,30,141,0.931,17,True,preserved-repaired reversed=9 removed=0 chains=137 coverage=0.904; edgeFill=4
5,2,B,r1_ab_232_above300_level_845_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_232_above300_level_845_final.asset,r1_ab_029_above300_level_456_final,r1_ab_232_above300_level_845_final,composite_greedy_ab_002_r1_029_a456_r1_232_a845_h0,H0,49,30,141,0.931,17,True,preserved-repaired reversed=9 removed=0 chains=137 coverage=0.904; edgeFill=4
6,2,A+B greedy,composite_greedy_ab_002_r1_029_a456_r1_232_a845_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABScoreTop/composite_greedy_ab_002_r1_029_a456_r1_232_a845_h0.asset,r1_ab_029_above300_level_456_final,r1_ab_232_above300_level_845_final,composite_greedy_ab_002_r1_029_a456_r1_232_a845_h0,H0,49,30,141,0.931,17,True,preserved-repaired reversed=9 removed=0 chains=137 coverage=0.904; edgeFill=4
7,3,A,r1_ab_254_above300_level_887_final_sparse_prefill_fill4_hole11_addcells_rewrite_v2_v2_t2_added41_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_254_above300_level_887_final_sparse_prefill_fill4_hole11_addcells_rewrite_v2_v2_t2_added41_rotation_vflip.asset,r1_ab_254_above300_level_887_final_sparse_prefill_fill4_hole11_addcells_rewrite_v2_v2_t2_added41_rotation_vflip,seed_Above300_level_845,composite_greedy_ab_003_r2_254_a887_a845_h0,H0,46,30,139,0.913,12,True,preserved-repaired reversed=5 removed=0 chains=138 coverage=0.906; edgeFill=1
8,3,B,seed_Above300_level_845,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_845.asset,r1_ab_254_above300_level_887_final_sparse_prefill_fill4_hole11_addcells_rewrite_v2_v2_t2_added41_rotation_vflip,seed_Above300_level_845,composite_greedy_ab_003_r2_254_a887_a845_h0,H0,46,30,139,0.913,12,True,preserved-repaired reversed=5 removed=0 chains=138 coverage=0.906; edgeFill=1
9,3,A+B greedy,composite_greedy_ab_003_r2_254_a887_a845_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABScoreTop/composite_greedy_ab_003_r2_254_a887_a845_h0.asset,r1_ab_254_above300_level_887_final_sparse_prefill_fill4_hole11_addcells_rewrite_v2_v2_t2_added41_rotation_vflip,seed_Above300_level_845,composite_greedy_ab_003_r2_254_a887_a845_h0,H0,46,30,139,0.913,12,True,preserved-repaired reversed=5 removed=0 chains=138 coverage=0.906; edgeFill=1
10,4,A,r1_ab_249_above300_level_879_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_249_above300_level_879_final.asset,r1_ab_249_above300_level_879_final,seed_Above300_level_845,composite_greedy_ab_004_r1_249_a879_a845_h2,H2,44,30,131,0.930,20,True,preserved-repaired reversed=9 removed=0 chains=131 coverage=0.904; edgeFill=4; gapCompact=2 removedChains=4 coverage=0.930
