rank,status,pack,sourceId,sourcePath,outputId,outputPath,mode,width,height,chainsBefore,chainsAfter,tilesBefore,tilesAfter,coverageBefore,coverageAfter,outer1Before,outer1After,outer2Before,outer2After,maxOuterEmptyBefore,maxOuterEmptyAfter,edgeShortBefore,edgeShortAfter,edgeLongBefore,edgeLongAfter,maxEdgeRunBefore,maxEdgeRunAfter,trimmedOuterExit,trimmedOuterShort,filled,greedy,score,details
1,repaired,R1,r1_ab_001_seed_001_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_001_seed_001_final.asset,r1_outer_strong_001_r1_001_a001,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_001_r1_001_a001.asset,fill_outer,5,5,3,5,8,20,0.320,0.800,0.438,0.813,0.333,0.833,3,1,3,3,0,0,3,5,0,0,4,True,8783.7,original:greedy=True:outer1=0.438:outer2=0.333:empty=3:edgeShort=3:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.813:outer2=0.833:empty=1:edgeShort=3:edgeLong=0:filled=4:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.813:outer2=0.833:empty=1:edgeShort=3:edgeLong=0:filled=4:trim=0/0:fast greedy budget=450
2,repaired,R1,r1_ab_003_seed_002_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_003_seed_002_final.asset,r1_outer_strong_002_r1_003_a002,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_002_r1_003_a002.asset,trim_refill,6,5,4,7,10,30,0.333,1.000,0.556,1.000,0.357,1.000,2,0,4,2,0,0,3,6,0,2,5,True,10968.0,original:greedy=True:outer1=0.556:outer2=0.357:empty=2:edgeShort=4:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.889:outer2=0.929:empty=1:edgeShort=4:edgeLong=0:filled=5:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=1.000:outer2=1.000:empty=0:edgeShort=2:edgeLong=0:filled=5:trim=0/2:fast greedy budget=450
3,repaired,R1,r1_ab_004_seed_003_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_004_seed_003_final.asset,r1_outer_strong_003_r1_004_a003,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_003_r1_004_a003.asset,fill_outer,6,6,4,8,12,35,0.333,0.972,0.450,0.950,0.344,0.969,4,1,4,5,0,0,4,5,0,0,8,True,10269.4,original:greedy=True:outer1=0.450:outer2=0.344:empty=4:edgeShort=4:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.950:outer2=0.969:empty=1:edgeShort=5:edgeLong=0:filled=8:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.950:outer2=0.969:empty=1:edgeShort=5:edgeLong=0:filled=8:trim=0/0:fast greedy budget=450
4,repaired,R1,r1_ab_005_seed_004_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_005_seed_004_final.asset,r1_outer_strong_004_r1_005_a004,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_004_r1_005_a004.asset,fill_outer,8,6,7,11,25,46,0.521,0.958,0.583,0.917,0.550,0.950,4,1,6,7,0,0,3,5,0,0,5,True,9886.3,original:greedy=True:outer1=0.583:outer2=0.550:empty=4:edgeShort=6:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.917:outer2=0.950:empty=1:edgeShort=7:edgeLong=0:filled=5:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.917:outer2=0.950:empty=1:edgeShort=7:edgeLong=0:filled=5:trim=0/0:fast greedy budget=450
5,repaired,R1,r1_ab_006_above300_level_401_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_006_above300_level_401_final.asset,r1_outer_strong_005_r1_006_a401,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_005_r1_006_a401.asset,fill_outer,23,33,106,107,724,733,0.954,0.966,0.935,0.991,0.952,0.986,1,1,22,23,1,2,12,12,0,0,6,True,10281.0,original:greedy=True:outer1=0.935:outer2=0.952:empty=1:edgeShort=22:edgeLong=1:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.991:outer2=0.986:empty=1:edgeShort=23:edgeLong=2:filled=6:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.991:outer2=0.986:empty=1:edgeShort=23:edgeLong=2:filled=6:trim=0/0:fast greedy budget=450
6,repaired,R1,r1_ab_008_above300_level_409_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_008_above300_level_409_final.asset,r1_outer_strong_006_r1_008_a409,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_006_r1_008_a409.asset,fill_outer,35,34,138,141,1159,1165,0.974,0.979,0.948,0.993,0.962,0.985,1,1,21,21,7,7,16,16,0,0,6,True,9966.9,original:greedy=True:outer1=0.948:outer2=0.962:empty=1:edgeShort=21:edgeLong=7:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.993:outer2=0.985:empty=1:edgeShort=21:edgeLong=7:filled=6:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.993:outer2=0.985:empty=1:edgeShort=21:edgeLong=7:filled=6:trim=0/0:fast greedy budget=450
7,repaired,R1,r1_ab_010_above300_level_417_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_010_above300_level_417_final.asset,r1_outer_strong_007_r1_010_a417,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_007_r1_010_a417.asset,fill_outer,23,30,67,70,637,663,0.923,0.961,0.716,0.961,0.832,0.964,21,2,14,14,5,7,29,29,0,0,8,True,9426.4,original:greedy=True:outer1=0.716:outer2=0.832:empty=21:edgeShort=14:edgeLong=5:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.961:outer2=0.964:empty=2:edgeShort=14:edgeLong=7:filled=8:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.961:outer2=0.964:empty=2:edgeShort=14:edgeLong=7:filled=8:trim=0/0:fast greedy budget=450
8,kept,R1,r1_ab_012_above300_level_419_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_012_above300_level_419_final.asset,r1_outer_strong_008_r1_012_a419,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_008_r1_012_a419.asset,original,19,23,52,52,422,422,0.966,0.966,0.975,0.975,0.980,0.980,1,1,10,10,3,3,16,16,0,0,0,True,10176.4,original:greedy=True:outer1=0.975:outer2=0.980:empty=1:edgeShort=10:edgeLong=3:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=False:outer1=0.988:outer2=0.987:empty=1:edgeShort=10:edgeLong=3:filled=1:trim=0/0:build failed 第 5 条箭头头部前方被自身占用。 | trim_refill:greedy=False:outer1=0.988:outer2=0.987:empty=1:edgeShort=10:edgeLong=3:filled=1:trim=0/0:build failed 第 5 条箭头头部前方被自身占用。
9,repaired,R1,r1_ab_013_above300_level_421_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_013_above300_level_421_final.asset,r1_outer_strong_009_r1_013_a421,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_009_r1_013_a421.asset,fill_outer,22,24,52,56,490,497,0.928,0.941,0.875,0.955,0.911,0.952,4,1,7,10,1,1,10,10,0,0,7,True,10155.6,original:greedy=True:outer1=0.875:outer2=0.911:empty=4:edgeShort=7:edgeLong=1:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.955:outer2=0.952:empty=1:edgeShort=10:edgeLong=1:filled=7:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.955:outer2=0.952:empty=1:edgeShort=10:edgeLong=1:filled=7:trim=0/0:fast greedy budget=450
10,kept,R1,r1_ab_014_above300_level_423_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_014_above300_level_423_final.asset,r1_outer_strong_010_r1_014_a423,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_010_r1_014_a423.asset,original,32,38,118,118,1153,1153,0.948,0.948,0.735,0.735,0.837,0.837,30,30,19,19,2,2,13,13,0,0,0,True,4163.3,original:greedy=True:outer1=0.735:outer2=0.837:empty=30:edgeShort=19:edgeLong=2:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=False:outer1=0.971:outer2=0.962:empty=1:edgeShort=21:edgeLong=3:filled=15:trim=0/0:fast greedy failed budget=450 | trim_refill:greedy=False:outer1=0.971:outer2=0.962:empty=1:edgeShort=21:edgeLong=3:filled=15:trim=0/0:fast greedy failed budget=450
