pack,rank,decision,sourceId,sourcePath,selectedPath,mode,edgeLongBefore,edgeLongAfter,maxEdgeRunAfter,selectedChains,selectedTiles,reason
R1,1,filter_sparse,r1_ab_001_seed_001_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_001_seed_001_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_001_r1_001_a001.asset,fill_outer,0,0,5,5,20,too_small
R1,2,filter_sparse,r1_ab_003_seed_002_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_003_seed_002_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_002_r1_003_a002.asset,trim_refill,0,0,6,7,30,too_small
R1,3,filter_sparse,r1_ab_004_seed_003_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_004_seed_003_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_003_r1_004_a003.asset,fill_outer,0,0,5,8,35,too_small
R1,4,filter_sparse,r1_ab_005_seed_004_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_005_seed_004_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_004_r1_005_a004.asset,fill_outer,0,0,5,11,46,too_small
R1,5,keep_repair,r1_ab_006_above300_level_401_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_006_above300_level_401_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_005_r1_006_a401.asset,fill_outer,1,2,12,107,733,ok
R1,6,keep_repair,r1_ab_008_above300_level_409_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_008_above300_level_409_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_006_r1_008_a409.asset,fill_outer,7,7,16,141,1165,ok
R1,7,keep_repair,r1_ab_010_above300_level_417_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_010_above300_level_417_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_007_r1_010_a417.asset,fill_outer,5,7,29,70,663,ok
R1,8,keep_repair,r1_ab_012_above300_level_419_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_012_above300_level_419_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_008_r1_012_a419.asset,original,3,3,16,52,422,ok
R1,9,keep_repair,r1_ab_013_above300_level_421_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_013_above300_level_421_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_009_r1_013_a421.asset,fill_outer,1,1,10,56,497,ok
R1,10,keep_repair,r1_ab_014_above300_level_423_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_014_above300_level_423_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_010_r1_014_a423.asset,original,2,2,13,118,1153,ok
