"order","section10","category","replacementMark","finalStatus","sourcePool","rhythmStyleGroup","productionLane","productionChainLanguage","initialAssetPath","finalAssetPath","initialWidth","initialHeight","initialArea","initialArrowCount","initialChainCount","initialArrowCoverage","finalWidth","finalHeight","finalArea","finalArrowCount","finalChainCount","finalArrowCoverage","arrowDelta","areaDelta","finalIsLargeCanvas","finalIsLowArrowLate"
"1","1","normal","KEPT_CURRENT","OriginalKeptRhythmV4","","original","","","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","10","7","70","21","6","0.3","10","7","70","21","6","0.3","0","0","False","False"
"2","1","hole","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","16","18","288","130","22","0.4514","16","18","288","130","22","0.4514","0","0","False","False"
"3","1","normal","REPLACED","ReplacedRhythmV4","Campaign500NormalFullV1UnusedStrict","flow","FlowRail","rail_chain","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3TinyPreview/level3_tiny_03_level3_tiny_mini_maze_17.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset","9","14","126","122","19","0.9683","18","24","432","427","36","0.9884","305","306","False","False"
"4","1","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset","20","24","480","327","30","0.6812","24","28","672","459","55","0.683","132","192","False","False"
"5","1","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","flow","FlowPatch","patch_chain","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset","16","23","368","364","26","0.9891","18","24","432","429","36","0.9931","65","64","False","False"
"6","1","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset","26","18","468","369","32","0.7885","28","32","896","479","53","0.5346","110","428","True","False"
"7","1","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","neutral","NeutralMixed","mixed_chain","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_08_double_room_lock_b.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset","18","24","432","424","39","0.9815","20","27","540","527","50","0.9759","103","108","False","False"
"8","1","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","flow","FlowPatch","patch_chain","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset","16","22","352","347","46","0.9858","20","27","540","535","46","0.9907","188","188","False","False"
"9","1","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset","22","22","484","194","32","0.4008","26","26","676","221","34","0.3269","27","192","False","False"
"10","1","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","neutral","NeutralMixed","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset","14","27","378","372","60","0.9841","20","27","540","529","52","0.9796","157","162","False","False"
"11","2","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","flow","FlowCurve","rail_chain","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3ThirtyPreview/level3_thirty_03_level3_thirty_mini_maze_30.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset","12","18","216","209","31","0.9676","18","24","432","425","34","0.9838","216","216","False","False"
"12","2","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","flow","FlowPatch","patch_chain","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_23_center_cross_b.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset","17","24","408","400","50","0.9804","20","27","540","535","48","0.9907","135","132","False","False"
"13","2","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset","24","24","576","201","37","0.349","44","44","1936","503","60","0.2598","302","1360","True","False"
