"section10","count","initialArrowAvg","finalArrowAvg","finalArrowMin","finalArrowMax","finalAreaAvg","finalLargeCanvasCount","finalLowArrowLateCount"
"1","10","267","375.7","21","535","508.6","1","0"
"2","10","355.5","496.2","195","756","662.8","2","0"
"3","10","574.7","673.6","385","871","766.4","6","0"
"4","10","603.9","688.3","357","1010","827.8","5","0"
"5","10","606.4","658.9","437","814","806.9","5","0"
"6","10","625.6","728.9","388","1116","838","5","0"
"7","10","591.5","642.4","386","869","788.2","5","0"
"8","10","648.3","700.6","447","955","891.1","6","0"
"9","10","627.5","737.9","428","1201","878.1","7","0"
"10","10","613.2","679.5","427","962","813","6","0"
"11","10","690.6","684.2","448","960","878.6","7","0"
"12","10","704.7","772.2","489","1343","968.1","7","0"
"13","10","636.2","670.2","439","867","780.8","6","0"
"14","10","647.2","757","510","1364","918.7","7","0"
"15","10","768.6","709.5","536","902","903.5","6","0"
"16","10","775.7","756.4","649","1056","937.8","8","0"
"17","10","740.2","817.6","485","1404","1007.1","6","0"
"18","10","751.5","716.7","529","977","876.3","6","0"
"19","10","753.5","648.6","376","749","822.3","5","0"
"20","10","753.7","740.5","384","1406","929.5","5","0"
"21","10","819.8","624.6","365","856","787.5","2","0"
"22","10","741.5","696.8","540","935","872.4","3","0"
"23","10","812.4","720.8","527","953","924.5","5","0"
"24","10","754.7","645.5","370","961","811.4","3","0"
"25","10","849.7","715.3","627","913","877.8","4","0"
"26","10","794.2","638.6","355","823","790.5","3","0"
"27","10","873.2","618.1","355","822","775.7","3","0"
"28","10","844.4","594.5","360","884","752.9","2","0"
"29","10","871.2","527.8","181","929","700.4","3","0"
"30","10","870.2","468.9","180","1026","614.5","2","0"
"31","10","900.5","830.5","649","985","985","9","0"
"32","10","885.4","783.5","538","962","902.1","8","0"
"33","10","939.9","826.8","535","1078","983.4","9","0"
"34","10","975.9","899.2","538","1262","1050.6","8","0"
"35","10","983.9","907.6","631","1263","1061.3","8","0"
"36","10","939.5","830.2","649","1142","1010.9","8","0"
"37","10","1043.5","961.3","654","1194","1098.4","9","0"
"38","10","911.1","860","651","1134","981.4","8","0"
"39","10","999.8","920.5","622","1575","1073.2","9","0"
"40","10","1016.1","913","756","1246","1063.7","10","0"
"41","10","948.9","865.5","637","1143","989.4","8","0"
"42","10","994.4","867.9","646","1273","1021.9","8","0"
"43","10","1028.8","930.5","650","1311","1055.3","8","0"
"44","10","1050.4","967.3","678","1427","1101.1","10","0"
"45","10","938.6","891.9","714","1128","998.4","10","0"
"46","10","1031.9","931.8","648","1609","1100.4","9","0"
"47","10","893.6","846.5","591","1044","947.6","8","0"
"48","10","945.8","854.3","536","1395","993.6","7","0"
"49","10","930.3","894.7","554","1262","1029.4","8","0"
"50","10","943","876","578","1167","1048.5","8","0"
