"section10","count","initialChainAvg","finalChainAvg","finalChainMin","finalChainMax","normalFinalChainAvg","replacedCount"
"1","10","31.2","39","6","55","37.7","8"
"2","10","49.2","50.8","34","79","51.4","9"
"3","10","72.6","71.4","42","90","73.3","9"
"4","10","79.2","72.1","41","88","72.7","9"
"5","10","77.6","71.5","43","84","73.6","9"
"6","10","82","75","43","92","74.7","9"
"7","10","80.3","71.6","43","94","73.1","9"
"8","10","79.7","70.4","45","86","70.4","8"
"9","10","83.5","73.7","43","95","72.3","9"
"10","10","79.8","72.2","42","100","73.3","9"
"11","10","91.7","76.6","36","101","76.9","9"
"12","10","90.3","78","43","98","76.9","9"
"13","10","84.3","68.8","42","88","66.3","9"
"14","10","86.4","76.9","50","99","77","9"
"15","10","98.3","74.1","34","106","70.9","9"
"16","10","95.5","86.1","69","131","78.6","9"
"17","10","95.7","77.7","37","118","73.7","9"
"18","10","99.6","74.8","52","107","71.3","9"
"19","10","99.2","69.3","22","91","65.3","9"
"20","10","100.8","79","24","125","71.9","9"
"21","10","106.2","67.6","27","112","58.1","9"
"22","10","98.5","75.3","56","114","68.1","9"
"23","10","108.2","74.5","57","117","66.9","9"
"24","10","107.3","68.5","26","112","58.4","9"
"25","10","115.1","74.6","50","115","62.1","9"
"26","10","113.7","69","26","108","59.4","9"
"27","10","118.1","62.4","22","95","50.4","9"
"28","10","117.4","61.7","21","116","47","9"
"29","10","123.7","51","15","114","33.3","9"
"30","10","118.7","49.5","15","128","28.4","9"
"31","10","126.2","100.1","71","122","99.7","2"
"32","10","123.8","96","47","119","94.7","3"
"33","10","128.8","100.5","48","165","99.3","3"
"34","10","135.7","108.8","45","207","105.7","3"
"35","10","140.8","109.9","54","213","109.4","4"
"36","10","126.4","104.5","67","148","100.7","4"
"37","10","150.8","119.8","72","177","115.7","2"
"38","10","134.8","108.7","67","157","109","3"
"39","10","142.6","116.7","66","164","117.1","3"
"40","10","138.8","115.6","72","154","109.4","3"
"41","10","139.4","109.7","68","155","107.1","2"
"42","10","140","112.6","69","153","109.7","4"
"43","10","151","116.8","66","180","111.9","4"
"44","10","151.8","127.1","76","172","123","4"
"45","10","138.2","119.6","81","196","133.4","3"
"46","10","144.4","109.1","74","156","113.6","3"
"47","10","130.9","110.9","63","168","125.1","4"
"48","10","140.1","107.3","46","231","119.9","4"
"49","10","140.1","119.4","62","213","136.3","4"
"50","10","133.3","108.8","69","192","119.7","3"
