"order","category","finalStatus","finalLevelId","loadMode","loadedAssetPath","loadedAssetGuid","syncAssetPath","assemblyAction","assemblySourcePool","assemblyGateClass","productionLane","productionStyle","productionChainLanguage","chains","sourceCoverage","maxChoices","localPatchSolveRunMax","solveTraceQualityScore","templateTargetChains","actualChains","effectiveChainLoad","rhythmStageBand","sectionWaveRole","rhythmStyleGroup","rhythmPlacementReason"
"1","normal","OriginalKeptRhythmV4","tutorial_simple_01_hi","BasePreviewFallback","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","c7475ef21e814ea4a946ec2a0d7f304d","U/Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","KeepCurrent","","","","","","","","","","","6","","","S00_front20_soft","Normal","original","first_level_keep_current"
"2","hole","OriginalNonTarget","seed_Arrowz_level_035_holeblock_multiseed_final","BasePreviewFallback","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","9595af5f4e73af041850c0510d56c48c","U/Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","KeepCurrent","","","","","","","","","","","22","","","S00_front20_soft","HoleRescue","","unchanged_from_v3_or_non_normal"
"3","normal","ReplacedRhythmV4","campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset","3c91d272d5866a74d975240889939c30","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset","ActiveReplace","Campaign500NormalFullV1UnusedStrict","RhythmV4Front300TraceKeep","FlowRail","flow","rail_chain","36","0.988","7","3","0.809","19","36","36.51","S00_front20_soft","Normal","flow","target=19;stageTarget=19;effective=36.5;chains=36;role=Normal;style=flow;chain=rail_chain;cost=50.6"
"4","shape","ShapeCandidatePlanned","campaign500_shape_psg_newbie4_01_L004_crystalball","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset","eaba78ee4bab22847a2ce9b36a31ec32","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset","ActiveReplace","ShapeMaskInventory","FormalAccepted","","CoreBurst","","55","0.989","8","8","","30","55","","S00_front20_soft","Shape","","unchanged_from_v3_or_non_normal"
"5","normal","ReplacedRhythmV4","campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset","a4d9901d831f12143b6d996cc7b4a25a","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset","ActiveReplace","Campaign500_HardGateUntil0910","RhythmV4Front300TraceKeep","FlowPatch","flow","patch_chain","36","0.993","8","4","0.905","26","36","37.13","S00_front20_soft","Normal","flow","target=26;stageTarget=26;effective=37.1;chains=36;role=Normal;style=flow;chain=patch_chain;cost=52.4"
"6","shape","ShapeCandidatePlanned","campaign500_shape_psg_newbie4_02_L006_potionbottle","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset","7b12cc727e6e3f946867411a083f8502","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset","ActiveReplace","ShapeMaskInventory","FormalAccepted","","DenseWeave","","53","0.984","6","8","","32","53","","S00_front20_soft","Shape","","unchanged_from_v3_or_non_normal"
"7","normal","ReplacedRhythmV4","campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset","1428c7eb28f898345ab810eaf534c0ae","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset","ActiveReplace","Campaign500_HardGateUntil0910","RhythmV4Front300TraceKeep","NeutralMixed","neutral","mixed_chain","50","0.976","8","5","0.851","39","50","51.15","S00_front20_soft","Normal","neutral","target=39;stageTarget=39;effective=51.1;chains=50;role=Normal;style=neutral;chain=mixed_chain;cost=49.6"
"8","normal","ReplacedRhythmV4","campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset","e86dbea9763f7b54fa39c61d21a360ad","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset","ActiveReplace","Campaign500_HardGateUntil0910","RhythmV4Front300TraceKeep","FlowPatch","flow","patch_chain","46","0.991","7","3","0.94","46","46","45.68","S00_front20_soft","Hard","flow","target=46;stageTarget=46;effective=45.7;chains=46;role=Hard;style=flow;chain=patch_chain;cost=-9.1"
"9","shape","ShapeCandidatePlanned","campaign500_shape_psg_newbie4_03_L009_ruler","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset","2225599075eb5c24f94f323070d3b62c","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset","ActiveReplace","ShapeMaskInventory","FormalAccepted","","SectionUnlock","","34","0.987","4","8","","32","34","","S00_front20_soft","Shape","","unchanged_from_v3_or_non_normal"
"10","normal","ReplacedRhythmV4","campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset","541351506e0f93941828e12b8235e728","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset","ActiveReplace","Campaign500_HardGateUntil0910","RhythmV4Front300TraceKeep","NeutralMixed","neutral","mixed_chain","52","0.98","6","4","0.833","60","52","53.84","S00_front20_soft","PeakExtreme","neutral","target=60;stageTarget=48;effective=53.8;chains=52;role=PeakExtreme;style=neutral;chain=mixed_chain;cost=19.9"
