"relativePath","bytes"
"IMPORT_README.md","2620"
"Docs/campaign500_rhythm_v4_final_arrow_count_audit_summary.md","1530"
"Docs/campaign500_rhythm_v4_final_arrow_count_by_replacement_mark.csv","394"
"Docs/campaign500_rhythm_v4_final_arrow_count_compare_vs_initial.csv","247549"
"Docs/campaign500_rhythm_v4_final_arrow_count_section10_summary.csv","2924"
"Docs/campaign500_rhythm_v4_final_chain_count_audit_summary.md","1369"
"Docs/campaign500_rhythm_v4_final_chain_count_by_section_difficulty_bucket.csv","8217"
"Docs/campaign500_rhythm_v4_final_chain_count_by_section_wave_role.csv","10101"
"Docs/campaign500_rhythm_v4_final_chain_count_difficulty_bucket_review.md","2008"
"Docs/campaign500_rhythm_v4_final_chain_count_section10_summary.csv","2492"
"Docs/campaign500_rhythm_v4_final_chain_count_section_bucket_wide.csv","2238"
"Docs/campaign500_rhythm_v4_final_chain_count_wave_role_band_trend.csv","1110"
"Docs/campaign500_rhythm_v4_final_front100_chain_rhythm_review.md","1813"
"Docs/campaign500_rhythm_v4_final_missing_assets.csv","3"
"Docs/campaign500_rhythm_v4_final_missing_metas.csv","3"
"Docs/campaign500_rhythm_v4_final_normal_chain_count_section10_summary.csv","5239"
"Docs/campaign500_rhythm_v4_final_per_level_config_index.csv","357855"
"Docs/campaign500_rhythm_v4_final_sync_asset_inventory.csv","248026"
"Docs/campaign500_rhythm_v4_final_sync_file_list.csv","155633"
"Docs/campaign500_rhythm_v4_final_sync_summary.csv","464"
"Docs/campaign500_rhythm_v4_final_template_replacement_diff.csv","591493"
"Docs/campaign500_rhythm_v4_final_template_replacement_summary.csv","120"
"Docs/Exports/Campaign500_FirstAssembly_20260701_RhythmV4Final/campaign500_first_assembly_rhythm_v4_final_500_manifest.csv","519401"
"Docs/Exports/Campaign500_FirstAssembly_20260701_RhythmV4Final/campaign500_first_assembly_rhythm_v4_final_front20_compare.csv","5051"
"Docs/Exports/Campaign500_FirstAssembly_20260701_RhythmV4Final/campaign500_first_assembly_rhythm_v4_final_front300_normal_plan.csv","112885"
"Docs/Exports/Campaign500_FirstAssembly_20260701_RhythmV4Final/campaign500_first_assembly_rhythm_v4_final_pack_build_report.csv","266716"
"Docs/Exports/Campaign500_FirstAssembly_20260701_RhythmV4Final/campaign500_first_assembly_rhythm_v4_final_pack_build_summary.md","877"
"Docs/Exports/Campaign500_FirstAssembly_20260701_RhythmV4Final/campaign500_first_assembly_rhythm_v4_final_section10_profile.csv","9032"
"Docs/Exports/Campaign500_FirstAssembly_20260701_RhythmV4Final/campaign500_rhythm_v4_final_template_replacement_diff.csv","591493"
