"order","section10","category","difficultyCode","difficultyLabel","difficultyNameZh","rhythmBucket","rhythmExperienceRole","finalLevelAssetPath","finalLevelGuid","syncAssetPath","replacementMark","changedFromOriginalTemplate","changedFromC5V4FSC","projectionReason","linkedOrder","sourcePool","productionLane","chainLanguage","targetChains","baseChain","finalChain","canvasAdjustedChain","finalArrow","finalArea","originalTemplateAssetPath","baseC5V4FSCAssetPath","finalReviewNote"
"1","1","normal","1","??1","普通/恢复","Ordinary","Normal","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","c7475ef21e814ea4a946ec2a0d7f304d","U/Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","KEPT_ORIGINAL_TEMPLATE","False","False","keep_current","","","","","6","6","6","6","21","70","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset",""
"2","1","hole","1","??1","普通/恢复","HoleRescue","HoleRescue","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","9595af5f4e73af041850c0510d56c48c","U/Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","KEPT_ORIGINAL_TEMPLATE","False","False","keep_current","","","","","22","22","22","22","130","288","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset",""
"3","1","normal","1","??1","普通/恢复","Ordinary","Normal","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset","5b69a6445e550cd4dadf612854d415ba","U/Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset","V5_FRONT100_TARGET_REPLACED","True","True","v11_review_target","290","SeedV5LongChain30Front300","slot_seedweave_braid_carrier","family_profile_chain","19","36","15","15","181","192","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3TinyPreview/level3_tiny_03_level3_tiny_mini_maze_17.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset","s1 ordinary 36->15"
"4","1","shape","1","??1","普通/恢复","Shape","Shape","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset","eaba78ee4bab22847a2ce9b36a31ec32","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset","KEPT_C5V4FSC_REPLACEMENT","True","False","keep_current","","ShapeMaskInventory","","","30","55","55","55","459","672","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset",""
"5","1","normal","1","??1","普通/恢复","Ordinary","Normal","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_17_l022_long_normal_b_section_s03_slot_seedweave_braid_carrier.asset","774c8417579e9f849aba4c7ba7a0d579","U/Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_17_l022_long_normal_b_section_s03_slot_seedweave_braid_carrier.asset","V5_FRONT100_TARGET_REPLACED","True","True","v11_review_target","272","SeedV5LongChain30Front300","slot_seedweave_braid_carrier","family_profile_chain","26","36","21","21","360","378","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset","s1 ordinary 36->21"
"6","1","shape","1","??1","普通/恢复","Shape","Shape","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset","7b12cc727e6e3f946867411a083f8502","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset","KEPT_C5V4FSC_REPLACEMENT","True","False","keep_current","","ShapeMaskInventory","","","32","53","53","53","479","896","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset",""
"7","1","normal","1","??1","普通/恢复","Ordinary","Normal","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_05_l005_long_normal_b_normal_s01_slot_seedmaze_chamber_corridor.asset","37244031406c31148a0310c93047db9a","U/Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_05_l005_long_normal_b_normal_s01_slot_seedmaze_chamber_corridor.asset","V5_FRONT100_TARGET_REPLACED","True","True","v11_review_target","286","SeedV5LongChain30Front300","slot_seedmaze_chamber_corridor","family_profile_chain","39","50","24","24","349","374","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_08_double_room_lock_b.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset","s1 ordinary 50->24"
"8","1","normal","1","??1","普通/恢复","Hard","Normal","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_175_l234_long_normal_b_sweep_s24_slot_seedmaze_chamber_corridor.asset","f9fc7a8560338174a92214766601f1ac","U/Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_175_l234_long_normal_b_sweep_s24_slot_seedmaze_chamber_corridor.asset","V5_FRONT100_TARGET_REPLACED","True","True","v11_review_target","204","SeedV5LongChain30Front300","slot_seedmaze_chamber_corridor","family_profile_chain","46","46","35","35","426","450","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset","s1 hard 46->35"
"9","1","shape","1","??1","普通/恢复","Shape","Shape","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset","2225599075eb5c24f94f323070d3b62c","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset","KEPT_C5V4FSC_REPLACEMENT","True","False","keep_current","","ShapeMaskInventory","","","32","34","34","34","221","676","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset",""
"10","1","normal","2","??2","困难","Peak","Normal","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain.asset","3e466eb48d519db47b24aad386b55d26","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain.asset","V5_FRONT100_TARGET_REPLACED","True","True","v11_review_target","295","Campaign500_HardGateUntil0910","FlowRail","rail_chain","60","52","38","38","430","432","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset","s1 no real peak pressure 52->38"
