"section10","AdjNormalOrdinaryAvg","AdjNormalHardAvg","AdjNormalPeakAvg","AdjShapeAvg","AdjShapeMax","AdjHoleAvg","AdjPeakOrShapeMax","AdjHardMinusOrdinary","AdjPeakOrShapeMinusHard"
"1","16.5","35","38","47.3","55","22","55","18.5","20"
"2","36.2","50","66","60","60","37","66","13.8","16"
"3","46","67","81","79.5","87","42","87","21","20"
"4","54.4","74","86","85.5","88","41","88","19.6","14"
"5","61.8","81.5","94","78.5","81","43","94","19.7","12.5"
"6","69.5","82","92.5","92","92","43","100","12.5","18"
"7","71","87.5","100","80.5","91","43","100","16.5","12.5"
"8","76.5","87","107.5","83","84","45","123","10.5","36"
"9","79.7","92.3","121","93","95","45","121","12.6","28.7"
"10","85","97","136","81","92","47","136","12","39"
