"targetOrder","section10","templateDifficultyCode","difficultyLabel","difficultyTag","bucket","oldChain","initialChain","targetChain","newChain","chainLift","selectionMode","donorOrder","donorSection","donorBucket","donorCurrentChain","donorInitialChain","donorSafety","patchKind","candidateArea","candidateArrows","candidateSourcePool","candidateProductionLane","candidateChainLanguage","targetOldAssetPath","candidateAssetPath","donorRevertAssetPath","finalizationVersion","difficultyCodePolicy","note"
"3","1","1","??1","Normal1","Ordinary","36","19","15","15","-21","V11S1LowChain","290","29","Ordinary","15","114","99","ReviewOnlyV12FinalNoResourceReplacement","192","181","SeedV5LongChain30Front300","slot_seedweave_braid_carrier","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_82_direct_normal_rect_section_unlock_g2_v09.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s1 ordinary 36->15"
"5","1","1","??1","Normal1","Ordinary","36","26","21","21","-15","V11S1Low20s","272","28","Ordinary","21","115","94","ReviewOnlyV12FinalNoResourceReplacement","378","360","SeedV5LongChain30Front300","slot_seedweave_braid_carrier","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_17_l022_long_normal_b_section_s03_slot_seedweave_braid_carrier.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_33_direct_normal_rect_lock_buckle_g3_v04.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s1 ordinary 36->21"
"7","1","1","??1","Normal1","Ordinary","50","39","24","24","-26","V11S1Low20s","286","29","Ordinary","24","107","83","ReviewOnlyV12FinalNoResourceReplacement","374","349","SeedV5LongChain30Front300","slot_seedmaze_chamber_corridor","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_05_l005_long_normal_b_normal_s01_slot_seedmaze_chamber_corridor.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_39_direct_normal_topup_rect_quasi_symmetry_g10_v05.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s1 ordinary 50->24"
"8","1","1","??1","Normal1","Hard","46","46","35","35","-11","V11S1Hard35","204","21","Hard","35","107","72","ReviewOnlyV12FinalNoResourceReplacement","450","426","SeedV5LongChain30Front300","slot_seedmaze_chamber_corridor","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_175_l234_long_normal_b_sweep_s24_slot_seedmaze_chamber_corridor.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_67_direct_normal_rect_dual_zone_g0_v07.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s1 hard 46->35"
"10","1","2","??2","Hard2","Peak","52","60","38","38","-14","V11S1NoPeakLow","295","30","Ordinary","38","105","67","ReviewOnlyV12FinalNoResourceReplacement","432","430","Campaign500_HardGateUntil0910","FlowRail","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_53_direct_normal_topup_rect_dual_zone_g6_v07.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s1 no real peak pressure 52->38"
"11","2","1","??1","Normal1","Ordinary","34","31","29","29","-5","V11S2Ordinary30s","284","29","Hard","29","172","143","ReviewOnlyV12FinalNoResourceReplacement","391","373","SeedV5LongChain30Front300","slot_headmix_outerclean","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_72_l092_long_normal_a_lock_s10_slot_headmix_outerclean.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_22_direct_polish_hard_pure_rect_lock_buckle_g11_v03.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s2 ordinary 34->29"
"12","2","1","??1","Normal1","Ordinary","48","50","34","34","-14","V11S2Ordinary30s","148","15","Hard","34","111","77","ReviewOnlyV12FinalNoResourceReplacement","567","539","SeedV5LongChain30Front300","slot_headmix_outerclean","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_50_l064_long_normal_b_maze_s07_slot_headmix_outerclean.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV4/shape_refresh_v4_L148_sgp_merged_final_outer_repair_quality_filtered26_harde_02_sgp_linework.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s2 ordinary 48->34"
"14","2","1","??1","Normal1","Ordinary","54","42","36","36","-18","V11S2Ordinary30s","104","11","Hard","36","102","66","ReviewOnlyV12FinalNoResourceReplacement","513","486","SeedV5LongChain30Front300","slot_seedmaze_section_weave","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_129_l161_long_normal_a_sweep_s17_slot_seedmaze_section_weave.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_20_direct_normal_topup_rect_core_burst_g8_v03.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s2 ordinary 54->36"
"15","2","1","??1","Normal1","Ordinary","55","53","38","38","-17","V11S2Ordinary30s","297","30","Ordinary","38","114","76","ReviewOnlyV12FinalNoResourceReplacement","432","430","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_03_nutation_flow_rail_v1_rect_s06_o060_v02_flowrail_patch_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_128_direct_normal_rect_stair_push_g0_v13.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s2 ordinary 55->38"
"16","2","1","??1","Normal1","Hard","56","54","50","50","-6","V11S2Hard50","134","14","Ordinary","50","56","6","ReviewOnlyV12FinalNoResourceReplacement","540","535","Campaign500NormalFullV1UnusedStrict","FlowRail","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_10_nutation_flow_rail_v1_rect_s26_o254_v00_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03.asset","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","s2 hard 56->50"
