"section10","normal1","hard2","specialHard3","extreme4","ordinaryAvgRawChain","hardAvgRawChain","peakAvgRawChain","shapeCount","holeCount"
"1","9","1","0","0","16.5","35","38","3","1"
"2","9","0","1","0","36","50","60","1","1"
"3","8","1","0","1","44.6","64","75","2","1"
"4","6","3","1","0","53.8","70","86","2","1"
"5","4","4","1","1","61","81.5","94","2","1"
"6","6","2","2","0","69.5","82","92.5","2","1"
"7","5","3","1","1","71","87.5","100","2","1"
"8","8","0","2","0","76.5","87","100","2","1"
"9","3","5","1","1","79.67","92.33","101","2","1"
"10","4","4","1","1","85","97","121","2","1"
"11","5","3","2","0","74","109.5","97.5","2","1"
"12","5","3","2","0","86","89","67.5","2","1"
"13","7","1","2","0","76.6","76","102","2","1"
"14","5","4","0","1","73.5","80.5","99","2","1"
"15","7","1","1","1","81","75.5","98","2","1"
"16","3","5","2","0","78.75","82","86.5","2","1"
"17","6","2","2","0","81","78","109","2","1"
"18","7","1","2","0","72.75","89.5","65","2","1"
"19","8","1","1","0","78.8","75","22","2","1"
"20","9","0","0","1","74.2","24","125","2","1"
"21","6","3","0","1","71","67","153","2","1"
"22","5","3","1","1","70.5","68","59","2","1"
"23","5","4","0","1","69.67","66.33","163","2","1"
"24","6","2","1","1","62.75","105.5","26","2","1"
"25","7","1","2","0","66.8","137","51","2","1"
"26","7","1","1","1","66.8","56","26","2","1"
"27","7","1","1","1","69.4","26","22","2","1"
"28","7","1","1","1","88.6","63","23","2","1"
"29","5","3","1","1","95.5","143.5","29","2","1"
"30","6","2","1","1","75.2","17","15","2","1"
"31","7","1","1","1","104.6","82","93","2","1"
"32","7","1","1","1","92.8","99","233","2","1"
"33","5","2","2","1","85.75","114","203","2","1"
"34","5","2","2","1","87","146","216","2","1"
"35","4","3","2","1","81","150.67","71","2","1"
"36","5","2","2","1","95","124.5","76","2","1"
"37","8","0","2","0","128.2","84","85","2","1"
"38","8","1","0","1","119","79","89","2","1"
"39","6","1","2","1","111.25","124","181","2","1"
"40","6","2","1","1","114.2","81","84","2","1"
"41","4","4","1","1","92.67","126.67","196","2","1"
"42","5","2","2","1","106.5","125","92","2","1"
"43","7","1","1","1","122.6","84","86","2","1"
"44","6","3","0","1","126.6","99","84","2","1"
"45","6","1","2","1","107.67","184","86","2","1"
"46","7","1","1","1","116.5","118.5","92","2","1"
"47","8","1","1","0","141.5","77","104","2","1"
"48","7","1","1","1","141.67","127","93","2","1"
"49","9","0","1","0","151.4","76","189","2","1"
"50","9","0","1","0","143.25","86","135.5","2","1"
