"order","levelId","assetPath","guid","category","type","relativeDifficulty","slotRole","status","flags","width","height","chains","arrowTiles","maxChainLength","shapeId","shapeNameZh"
"1","tutorial_simple_01_hi","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","c7475ef21e814ea4a946ec2a0d7f304d","normal","tutorial","","","Yellow","HardBottleneckHeavy","10","7","6","21","5","",""
"2","seed_Arrowz_level_035_holeblock_multiseed_final","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","9595af5f4e73af041850c0510d56c48c","hole","hole_rescue","","","Green","BottleneckHeavy","16","18","22","130","15","",""
"3","level3_tiny_03_level3_tiny_mini_maze_17","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3TinyPreview/level3_tiny_03_level3_tiny_mini_maze_17.asset","cf4f0ee35c7141d40a8fe8ef2ef93ed8","normal","normal","","","Green","None","9","14","19","122","9","",""
"4","r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset","184e146ce1f8e9341988c3dd9e0fb5e0","shape","shape","","","Green","None","20","24","30","327","20","crystalball","水晶球"
"5","nomask_style_01_hui_spiral","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset","b0906372515e5244aab0364e478ccbba","normal","normal","","","Green","None","16","23","26","364","204","",""
"6","r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset","135c3bbb9b229944b82df75754575c8c","shape","shape","","","Green","BottleneckHeavy","26","18","32","369","20","eraser","橡皮擦"
"7","nomask_style_expansion_08_double_room_lock_b","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_08_double_room_lock_b.asset","7018ce1bc440cd041a771ae7d90d958d","normal","lock","","","Green","None","18","24","39","424","90","",""
"8","nomask_08_dual_zone","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset","369804ef619bf0746a914a2bc8762fce","normal","normal","","","Green","None","16","22","46","347","13","",""
"9","r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset","a48f5ef76e8085443a62ebfc08932b95","shape","shape","","","Green","ShapeLowFill","22","22","32","194","14","ruler","标尺"
"10","direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset","36bb2d43d80639f448883f29034180f3","normal","lock","","","Green","PeakTooFlat","14","27","60","372","9","",""
