level,missionId,missionType,difficulty,levelName,chains,sourceType,sourceScore,sourceLevelId,sourcePath
1,101,1,1,Main/Level_Main_1,6,tutorial,25,tutorial_simple_01_hi,Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset
2,102,2,1,Main/Level_Main_2_hole,22,hole_rescue,67,seed_Arrowz_level_035_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset
3,103,1,1,Main/Level_Main_3,19,normal,170,level3_tiny_03_level3_tiny_mini_maze_17,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3TinyPreview/level3_tiny_03_level3_tiny_mini_maze_17.asset
4,104,1,2,Main/Level_Main_4,30,shape,105,r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset
5,105,1,1,Main/Level_Main_5,26,normal,82,nomask_style_01_hui_spiral,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset
6,106,1,2,Main/Level_Main_6,32,shape,109,r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset
7,107,1,2,Main/Level_Main_7,39,lock,117,nomask_style_expansion_08_double_room_lock_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_08_double_room_lock_b.asset
8,108,1,1,Main/Level_Main_8,46,normal,131,nomask_08_dual_zone,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset
9,109,1,2,Main/Level_Main_9,32,shape,109,r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset
10,110,1,3,Main/Level_Main_10,60,lock,237,direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset
11,111,1,1,Main/Level_Main_11,31,normal,128,level3_thirty_03_level3_thirty_mini_maze_30,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3ThirtyPreview/level3_thirty_03_level3_thirty_mini_maze_30.asset
