order,stage,currentDifficulty,proposedDifficulty,difficultyDelta,reviewWarnings,evidenceScore,chainPctInStage,dependencyPctInStage,openerPressure,choicePressure,levelType,type,slotRole,relativeDifficulty,chains,score,openers,avgChoices,dependencyBlocks,validationMatched,validationStatus,validationFlags,shapeId,levelId,proposalReason,sourceAsset
1,1-50,1,1,0,ValidationYellow:HardBottleneckHeavy,0.251,0.02,0.45,0.45,0.45,普通,tutorial,FixedFront40,Tutorial,6,25.0,,,,1,Yellow,HardBottleneckHeavy,,tutorial_simple_01_hi,front20_fixed_keep_label; review evidence only,Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset
2,1-50,1,1,0,NeedRevalidate,0.188,0.06,0.45,0.45,0.45,hole,hole_rescue,FixedFront40,Mechanic,22,67.0,,,,0,Missing,Missing,,seed_Arrowz_level_035_holeblock_multiseed_final,front20_fixed_keep_label; review evidence only,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset
3,1-50,1,1,0,NeedRevalidate,0.116,0.04,0.182,0.118,0.545,普通,normal,FixedFront40,Recovery,19,170.0,5.0,7.0,44.0,0,Missing,Missing,,level3_tiny_03_level3_tiny_mini_maze_17,front20_fixed_keep_label; review evidence only,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3TinyPreview/level3_tiny_03_level3_tiny_mini_maze_17.asset
4,1-50,1,1,0,,0.285,0.1,0.45,0.45,0.45,普通,shape,FixedFront40,Novelty,30,105.0,,,,1,Green,None,shape_early_prop01_crystal_ball,r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball,front20_fixed_keep_label; review evidence only,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset
5,1-50,1,1,0,,0.227,0.08,0.45,0.45,0.45,普通,normal,FixedFront40,Recovery,26,82.0,,,,1,Green,None,,nomask_style_01_hui_spiral,front20_fixed_keep_label; review evidence only,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset
6,1-50,1,1,0,,0.31,0.16,0.45,0.45,0.45,普通,shape,FixedFront40,Novelty,32,109.0,,,,1,Green,BottleneckHeavy,shape_early_prop02_eraser,r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser,front20_fixed_keep_label; review evidence only,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset
7,1-50,1,1,0,,0.228,0.22,0.212,0.0,0.273,普通,lock,FixedFront40,Normal,39,117.0,14.0,8.41,67.0,1,Green,None,,nomask_style_expansion_08_double_room_lock_b,front20_fixed_keep_label; review evidence only,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_08_double_room_lock_b.asset
8,1-50,1,1,0,,0.394,0.36,0.45,0.45,0.45,普通,normal,FixedFront40,Normal,46,131.0,,,,1,Green,None,,nomask_08_dual_zone,front20_fixed_keep_label; review evidence only,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset
9,1-50,1,1,0,,0.31,0.16,0.45,0.45,0.45,普通,shape,FixedFront40,Novelty,32,109.0,,,,1,Green,ShapeLowFill,shape_early_prop03_ruler,r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler,front20_fixed_keep_label; review evidence only,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset
10,1-50,2,2,0,,0.531,0.48,0.485,0.588,0.818,普通,lock,FixedFront40,Hard,60,237.0,10.0,5.08,192.0,1,Green,PeakTooFlat,,direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03,front20_fixed_keep_label; review evidence only,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset
11,1-50,1,1,0,NeedRevalidate,0.243,0.12,0.45,0.45,0.45,普通,normal,FixedFront40,Recovery,31,128.0,,,,0,Missing,Missing,,level3_thirty_03_level3_thirty_mini_maze_30,front20_fixed_keep_label; review evidence only,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3ThirtyPreview/level3_thirty_03_level3_thirty_mini_maze_30.asset
12,1-50,1,1,0,,0.403,0.38,0.45,0.45,0.45,普通,normal,FixedFront40,Normal,50,153.0,,,,1,Green,None,,nomask_style_expansion_23_center_cross_b,front20_fixed_keep_label; review evidence only,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_23_center_cross_b.asset
13,1-50,1,1,0,,0.327,0.2,0.45,0.45,0.45,普通,shape,FixedFront40,Novelty,37,130.0,,,,1,Green,ShapeLowFill,shape_early_prop04_magic_wand,r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand,front20_fixed_keep_label; review evidence only,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset
14,1-50,1,1,0,,0.319,0.3,0.45,0.45,0.45,普通,normal,FixedFront40,Recovery,42,121.0,,,,1,Green,None,,nomask_06_sweep,front20_fixed_keep_label; review evidence only,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_06_sweep.asset
15,1-50,2,2,0,,0.383,0.42,0.303,0.176,0.182,普通,section,FixedFront40,Pressure,53,147.0,13.0,9.32,120.0,1,Green,None,,direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05,front20_fixed_keep_label; review evidence only,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05.asset
16,1-50,2,2,0,,0.45,0.44,0.364,0.265,0.879,普通,lock,FixedFront40,Pressure,54,180.0,12.0,4.87,148.0,1,Green,None,,direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04,front20_fixed_keep_label; review evidence only,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04.asset
17,1-50,1,1,0,NeedRevalidate,0.247,0.2,0.45,0.45,0.45,hole,hole_rescue,FixedFront40,Mechanic,37,91.0,,,,0,Missing,Missing,,r1_ab_091_above300_level_571_final_holeblock_multiseed_final,front20_fixed_keep_label; review evidence only,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset
18,1-50,1,1,0,,0.419,0.42,0.45,0.45,0.45,普通,normal,FixedFront40,Normal,53,155.0,,,,1,Green,None,,nomask_style_10_zig_river,front20_fixed_keep_label; review evidence only,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_10_zig_river.asset
19,1-50,4,4,0,,0.836,0.88,0.818,0.824,0.121,普通,lock,FixedFront40,VeryHard,94,386.0,11.0,9.45,426.0,1,Green,PeakTooFlat,,direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09,front20_fixed_keep_label; review evidence only,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09.asset
20,1-50,1,1,0,,0.266,0.26,0.273,0.441,0.727,普通,shell,FixedFront40,Recovery,41,112.0,8.0,5.54,103.0,1,Green,None,,nomask_01_outer_shell,front20_fixed_keep_label; review evidence only,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_01_outer_shell.asset
21,1-50,1,1,0,NeedRevalidate,0.31,0.34,0.242,0.088,0.606,普通,sweep,FixedFront40,Normal,44,181.1,12.0,6.25,72.0,0,Missing,Missing,,nomask_style_02_snake_spine,needs_revalidation,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_02_snake_spine.asset
22,1-50,1,1,0,NeedRevalidate,0.389,0.46,0.394,0.147,0.242,普通,section,FixedFront40,Normal,55,150.5,14.0,8.53,154.0,0,Missing,Missing,,nomask_style_expansion_26_stair_ladder_a,needs_revalidation,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_26_stair_ladder_a.asset
