order,关卡类型,难度,campaignType,chains,width,height,theme,subtheme,shapeRole,difficultyBand,maskName,displayShapeId,maskWidth,maskHeight,maskArea,maskCoverage,maskFill,levelId,sourceAsset,exportAsset,shapeSourceAsset,suggestedRevealPng,suggestedThumbPng,suggestedNameKey
4,普通,1,shape,30,20,24,Magic,alchemy,object,early,EarlyProp01CrystalBall,shape_early_prop01_crystal_ball,20,24,330,0.688,0.991,r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset,Levels/004_shape_r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crysta.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset,Art/ShapeReveal/shape_early_prop01_crystal_ball.png,Art/ShapeRevealThumb/shape_early_prop01_crystal_ball_thumb.png,shape.name.shape_early_prop01_crystal_ball
6,普通,1,shape,32,26,18,Object,tools-items,object,early,EarlyProp02Eraser,shape_early_prop02_eraser,26,18,372,0.795,0.992,r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset,Levels/006_shape_r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset,Art/ShapeReveal/shape_early_prop02_eraser.png,Art/ShapeRevealThumb/shape_early_prop02_eraser_thumb.png,shape.name.shape_early_prop02_eraser
9,普通,1,shape,32,22,22,Object,tools-items,object,early,EarlyProp03Ruler,shape_early_prop03_ruler,22,22,197,0.407,0.985,r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset,Levels/009_shape_r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset,Art/ShapeReveal/shape_early_prop03_ruler.png,Art/ShapeRevealThumb/shape_early_prop03_ruler_thumb.png,shape.name.shape_early_prop03_ruler
13,普通,1,shape,37,24,24,Magic,academy,object,early,EarlyProp04MagicWand,shape_early_prop04_magic_wand,24,24,205,0.356,0.98,r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset,Levels/013_shape_r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwa.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset,Art/ShapeReveal/shape_early_prop04_magic_wand.png,Art/ShapeRevealThumb/shape_early_prop04_magic_wand_thumb.png,shape.name.shape_early_prop04_magic_wand
23,普通,1,shape_magic,80,30,44,Magic,academy,object,main,MainMagicQuillTall,shape_main_magic_quill_tall,30,44,682,0.517,0.974,r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall_20260611_111340.asset,Levels/023_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall_20260611_111340.asset,Art/ShapeReveal/shape_main_magic_quill_tall.png,Art/ShapeRevealThumb/shape_main_magic_quill_tall_thumb.png,shape.name.shape_main_magic_quill_tall
27,普通,1,shape_object,80,28,42,Object,tools-items,object,main,MainHourglassTall,shape_main_hourglass_tall,28,42,640,0.544,0.992,r2_outer_strong_005_r2_006_a401_procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall_20260611_111009.asset,Levels/027_shape_object_r2_outer_strong_005_r2_006_a401_procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall_20260611_111009.asset,Art/ShapeReveal/shape_main_hourglass_tall.png,Art/ShapeRevealThumb/shape_main_hourglass_tall_thumb.png,shape.name.shape_main_hourglass_tall
32,普通,1,shape_magic,83,28,40,Magic,adventure-relic,object,main,MainShieldTall,shape_main_shield_tall,28,40,682,0.609,0.985,r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_02_long_maskproceduralvertical_28x40-mainshieldtall_20260611_110409.asset,Levels/032_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_02_long_maskproceduralvertical_28x40-mainshieldtall_20260611_110409.asset,Art/ShapeReveal/shape_main_shield_tall.png,Art/ShapeRevealThumb/shape_main_shield_tall_thumb.png,shape.name.shape_main_shield_tall
38,普通,1,shape_magic,88,30,42,Magic,adventure-relic,object,main,MainKeyTall,shape_main_key_tall,30,42,733,0.582,0.986,r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_06_long_maskproceduralvertical_30x42-mainkeytall_20260611_110435.asset,Levels/038_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_06_long_maskproceduralvertical_30x42-mainkeytall_20260611_110435.asset,Art/ShapeReveal/shape_main_key_tall.png,Art/ShapeRevealThumb/shape_main_key_tall_thumb.png,shape.name.shape_main_key_tall
43,普通,1,shape_magic,87,32,42,Magic,creature,creature,main,MainMagicBatTall,shape_main_magic_bat_tall,32,42,770,0.573,0.978,r2_outer_strong_005_r2_006_a401_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall_20260611_111351.asset,Levels/043_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall_20260611_111351.asset,Art/ShapeReveal/shape_main_magic_bat_tall.png,Art/ShapeRevealThumb/shape_main_magic_bat_tall_thumb.png,shape.name.shape_main_magic_bat_tall
48,普通,1,shape_magic,88,32,44,Magic,creature,creature,main,MainMagicBlackCatTall,shape_main_magic_black_cat_tall,32,44,766,0.544,0.99,r2_outer_strong_005_r2_006_a401_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall_20260611_111352.asset,Levels/048_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcatt.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall_20260611_111352.asset,Art/ShapeReveal/shape_main_magic_black_cat_tall.png,Art/ShapeRevealThumb/shape_main_magic_black_cat_tall_thumb.png,shape.name.shape_main_magic_black_cat_tall
