displayShapeId,maskName,theme,subtheme,shapeRole,usedOrders,useCount,revealPng,thumbPng,nameKey,priority,notes
shape_main_classic_portrait_tall,MainClassicPortraitTall,Art,studio,character,343,1,Art/ShapeReveal/shape_main_classic_portrait_tall.png,Art/ShapeRevealThumb/shape_main_classic_portrait_tall_thumb.png,shape.name.shape_main_classic_portrait_tall,P2,transparent centered full-object reveal art
shape_main_paint_palette_tall,MainPaintPaletteTall,Art,studio,object,87,1,Art/ShapeReveal/shape_main_paint_palette_tall.png,Art/ShapeRevealThumb/shape_main_paint_palette_tall_thumb.png,shape.name.shape_main_paint_palette_tall,P0,transparent centered full-object reveal art
shape_main_painter_bust_tall,MainPainterBustTall,Art,studio,character,178,1,Art/ShapeReveal/shape_main_painter_bust_tall.png,Art/ShapeRevealThumb/shape_main_painter_bust_tall_thumb.png,shape.name.shape_main_painter_bust_tall,P1,transparent centered full-object reveal art
shape_main_bean_mascot_tall,MainBeanMascotTall,Character,animals-mascots,character,453,1,Art/ShapeReveal/shape_main_bean_mascot_tall.png,Art/ShapeRevealThumb/shape_main_bean_mascot_tall_thumb.png,shape.name.shape_main_bean_mascot_tall,P2,transparent centered full-object reveal art
shape_main_bunny_tall,MainBunnyTall,Character,animals-mascots,character,318,1,Art/ShapeReveal/shape_main_bunny_tall.png,Art/ShapeRevealThumb/shape_main_bunny_tall_thumb.png,shape.name.shape_main_bunny_tall,P2,transparent centered full-object reveal art
shape_main_fox_tall,MainFoxTall,Character,animals-mascots,character,493,1,Art/ShapeReveal/shape_main_fox_tall.png,Art/ShapeRevealThumb/shape_main_fox_tall_thumb.png,shape.name.shape_main_fox_tall,P2,transparent centered full-object reveal art
shape_main_owl_tall,MainOwlTall,Character,animals-mascots,character,127,1,Art/ShapeReveal/shape_main_owl_tall.png,Art/ShapeRevealThumb/shape_main_owl_tall_thumb.png,shape.name.shape_main_owl_tall,P1,transparent centered full-object reveal art
shape_main_raised_hand_mascot_tall,MainRaisedHandMascotTall,Character,animals-mascots,character,153,1,Art/ShapeReveal/shape_main_raised_hand_mascot_tall.png,Art/ShapeRevealThumb/shape_main_raised_hand_mascot_tall_thumb.png,shape.name.shape_main_raised_hand_mascot_tall,P1,transparent centered full-object reveal art
shape_main_snowman_tall,MainSnowmanTall,Character,animals-mascots,character,238,1,Art/ShapeReveal/shape_main_snowman_tall.png,Art/ShapeRevealThumb/shape_main_snowman_tall_thumb.png,shape.name.shape_main_snowman_tall,P1,transparent centered full-object reveal art
shape_big_mega_monument05_tall,BigMegaMonument05Tall,Landmark,architecture,landmark,413,1,Art/ShapeReveal/shape_big_mega_monument05_tall.png,Art/ShapeRevealThumb/shape_big_mega_monument05_tall_thumb.png,shape.name.shape_big_mega_monument05_tall,P2,transparent centered full-object reveal art
shape_main_clock_tower_tall,MainClockTowerTall,Landmark,architecture,landmark,187,1,Art/ShapeReveal/shape_main_clock_tower_tall.png,Art/ShapeRevealThumb/shape_main_clock_tower_tall_thumb.png,shape.name.shape_main_clock_tower_tall,P1,transparent centered full-object reveal art
shape_main_iron_tower_tall,MainIronTowerTall,Landmark,architecture,landmark,463,1,Art/ShapeReveal/shape_main_iron_tower_tall.png,Art/ShapeRevealThumb/shape_main_iron_tower_tall_thumb.png,shape.name.shape_main_iron_tower_tall,P2,transparent centered full-object reveal art
shape_main_leaning_tower_tall,MainLeaningTowerTall,Landmark,architecture,landmark,303,1,Art/ShapeReveal/shape_main_leaning_tower_tall.png,Art/ShapeRevealThumb/shape_main_leaning_tower_tall_thumb.png,shape.name.shape_main_leaning_tower_tall,P2,transparent centered full-object reveal art
shape_main_liberty_statue_tall,MainLibertyStatueTall,Landmark,architecture,landmark,147,1,Art/ShapeReveal/shape_main_liberty_statue_tall.png,Art/ShapeRevealThumb/shape_main_liberty_statue_tall_thumb.png,shape.name.shape_main_liberty_statue_tall,P1,transparent centered full-object reveal art
shape_main_pyramid_tall,MainPyramidTall,Landmark,architecture,landmark,473,1,Art/ShapeReveal/shape_main_pyramid_tall.png,Art/ShapeRevealThumb/shape_main_pyramid_tall_thumb.png,shape.name.shape_main_pyramid_tall,P2,transparent centered full-object reveal art
shape_main_windmill_tall,MainWindmillTall,Landmark,architecture,landmark,483,1,Art/ShapeReveal/shape_main_windmill_tall.png,Art/ShapeRevealThumb/shape_main_windmill_tall_thumb.png,shape.name.shape_main_windmill_tall,P2,transparent centered full-object reveal art
shape_transition_bridge_tower_tall,TransitionBridgeTowerTall,Landmark,architecture,landmark,378,1,Art/ShapeReveal/shape_transition_bridge_tower_tall.png,Art/ShapeRevealThumb/shape_transition_bridge_tower_tall_thumb.png,shape.name.shape_transition_bridge_tower_tall,P2,transparent centered full-object reveal art
shape_transition_dome_palace_tall,TransitionDomePalaceTall,Landmark,architecture,landmark,398,1,Art/ShapeReveal/shape_transition_dome_palace_tall.png,Art/ShapeRevealThumb/shape_transition_dome_palace_tall_thumb.png,shape.name.shape_transition_dome_palace_tall,P2,transparent centered full-object reveal art
shape_transition_obelisk_tall,TransitionObeliskTall,Landmark,architecture,landmark,363,1,Art/ShapeReveal/shape_transition_obelisk_tall.png,Art/ShapeRevealThumb/shape_transition_obelisk_tall_thumb.png,shape.name.shape_transition_obelisk_tall,P2,transparent centered full-object reveal art
shape_transition_pagoda_tall,TransitionPagodaTall,Landmark,architecture,landmark,348,1,Art/ShapeReveal/shape_transition_pagoda_tall.png,Art/ShapeRevealThumb/shape_transition_pagoda_tall_thumb.png,shape.name.shape_transition_pagoda_tall,P2,transparent centered full-object reveal art
shape_transition_wide_landmark01_tall,TransitionWideLandmark01Tall,Landmark,architecture,landmark,293,1,Art/ShapeReveal/shape_transition_wide_landmark01_tall.png,Art/ShapeRevealThumb/shape_transition_wide_landmark01_tall_thumb.png,shape.name.shape_transition_wide_landmark01_tall,P1,transparent centered full-object reveal art
shape_transition_wide_landmark05_tall,TransitionWideLandmark05Tall,Landmark,architecture,landmark,338,1,Art/ShapeReveal/shape_transition_wide_landmark05_tall.png,Art/ShapeRevealThumb/shape_transition_wide_landmark05_tall_thumb.png,shape.name.shape_transition_wide_landmark05_tall,P2,transparent centered full-object reveal art
shape_transition_wide_landmark06_tall,TransitionWideLandmark06Tall,Landmark,architecture,landmark,327,1,Art/ShapeReveal/shape_transition_wide_landmark06_tall.png,Art/ShapeRevealThumb/shape_transition_wide_landmark06_tall_thumb.png,shape.name.shape_transition_wide_landmark06_tall,P2,transparent centered full-object reveal art
shape_early_prop01_crystal_ball,EarlyProp01CrystalBall,Magic,alchemy,object,4,1,Art/ShapeReveal/shape_early_prop01_crystal_ball.png,Art/ShapeRevealThumb/shape_early_prop01_crystal_ball_thumb.png,shape.name.shape_early_prop01_crystal_ball,P0,transparent centered full-object reveal art
shape_early_prop04_magic_wand,EarlyProp04MagicWand,Magic,academy,object,13,1,Art/ShapeReveal/shape_early_prop04_magic_wand.png,Art/ShapeRevealThumb/shape_early_prop04_magic_wand_thumb.png,shape.name.shape_early_prop04_magic_wand,P0,transparent centered full-object reveal art
shape_main_candle_tall,MainCandleTall,Magic,alchemy,object,173,1,Art/ShapeReveal/shape_main_candle_tall.png,Art/ShapeRevealThumb/shape_main_candle_tall_thumb.png,shape.name.shape_main_candle_tall,P1,transparent centered full-object reveal art
shape_main_distinct_ghost_tall,MainDistinctGhostTall,Magic,creature,creature,228,1,Art/ShapeReveal/shape_main_distinct_ghost_tall.png,Art/ShapeRevealThumb/shape_main_distinct_ghost_tall_thumb.png,shape.name.shape_main_distinct_ghost_tall,P1,transparent centered full-object reveal art
shape_main_key_tall,MainKeyTall,Magic,adventure-relic,object,38,1,Art/ShapeReveal/shape_main_key_tall.png,Art/ShapeRevealThumb/shape_main_key_tall_thumb.png,shape.name.shape_main_key_tall,P0,transparent centered full-object reveal art
shape_main_knight_mascot_tall,MainKnightMascotTall,Magic,adventure-relic,object,133,1,Art/ShapeReveal/shape_main_knight_mascot_tall.png,Art/ShapeRevealThumb/shape_main_knight_mascot_tall_thumb.png,shape.name.shape_main_knight_mascot_tall,P1,transparent centered full-object reveal art
shape_main_magic_bat_tall,MainMagicBatTall,Magic,creature,creature,43,1,Art/ShapeReveal/shape_main_magic_bat_tall.png,Art/ShapeRevealThumb/shape_main_magic_bat_tall_thumb.png,shape.name.shape_main_magic_bat_tall,P0,transparent centered full-object reveal art
shape_main_magic_black_cat_tall,MainMagicBlackCatTall,Magic,creature,creature,48,1,Art/ShapeReveal/shape_main_magic_black_cat_tall.png,Art/ShapeRevealThumb/shape_main_magic_black_cat_tall_thumb.png,shape.name.shape_main_magic_black_cat_tall,P0,transparent centered full-object reveal art
shape_main_magic_dragon_egg_tall,MainMagicDragonEggTall,Magic,creature,creature,123,1,Art/ShapeReveal/shape_main_magic_dragon_egg_tall.png,Art/ShapeRevealThumb/shape_main_magic_dragon_egg_tall_thumb.png,shape.name.shape_main_magic_dragon_egg_tall,P1,transparent centered full-object reveal art
shape_main_magic_hat_tall,MainMagicHatTall,Magic,academy,object,143,1,Art/ShapeReveal/shape_main_magic_hat_tall.png,Art/ShapeRevealThumb/shape_main_magic_hat_tall_thumb.png,shape.name.shape_main_magic_hat_tall,P1,transparent centered full-object reveal art
shape_main_magic_quill_tall,MainMagicQuillTall,Magic,academy,object,23,1,Art/ShapeReveal/shape_main_magic_quill_tall.png,Art/ShapeRevealThumb/shape_main_magic_quill_tall_thumb.png,shape.name.shape_main_magic_quill_tall,P0,transparent centered full-object reveal art
shape_main_magic_rune_stone_tall,MainMagicRuneStoneTall,Magic,academy,object,113,1,Art/ShapeReveal/shape_main_magic_rune_stone_tall.png,Art/ShapeRevealThumb/shape_main_magic_rune_stone_tall_thumb.png,shape.name.shape_main_magic_rune_stone_tall,P0,transparent centered full-object reveal art
shape_main_shield_tall,MainShieldTall,Magic,adventure-relic,object,32,1,Art/ShapeReveal/shape_main_shield_tall.png,Art/ShapeRevealThumb/shape_main_shield_tall_thumb.png,shape.name.shape_main_shield_tall,P0,transparent centered full-object reveal art
shape_main_treasure_chest_tall,MainTreasureChestTall,Magic,adventure-relic,object,298,1,Art/ShapeReveal/shape_main_treasure_chest_tall.png,Art/ShapeRevealThumb/shape_main_treasure_chest_tall_thumb.png,shape.name.shape_main_treasure_chest_tall,P1,transparent centered full-object reveal art
shape_transition_castle_gate_tall,TransitionCastleGateTall,Magic,fantasy-architecture,landmark,393,1,Art/ShapeReveal/shape_transition_castle_gate_tall.png,Art/ShapeRevealThumb/shape_transition_castle_gate_tall_thumb.png,shape.name.shape_transition_castle_gate_tall,P2,transparent centered full-object reveal art
shape_transition_magic_broom_tall,TransitionMagicBroomTall,Magic,alchemy,object,268,1,Art/ShapeReveal/shape_transition_magic_broom_tall.png,Art/ShapeRevealThumb/shape_transition_magic_broom_tall_thumb.png,shape.name.shape_transition_magic_broom_tall,P1,transparent centered full-object reveal art
shape_transition_magic_cauldron_tall,TransitionMagicCauldronTall,Magic,alchemy,object,368,1,Art/ShapeReveal/shape_transition_magic_cauldron_tall.png,Art/ShapeRevealThumb/shape_transition_magic_cauldron_tall_thumb.png,shape.name.shape_transition_magic_cauldron_tall,P2,transparent centered full-object reveal art
shape_transition_magic_knight_helmet_tall,TransitionMagicKnightHelmetTall,Magic,adventure-relic,object,353,1,Art/ShapeReveal/shape_transition_magic_knight_helmet_tall.png,Art/ShapeRevealThumb/shape_transition_magic_knight_helmet_tall_thumb.png,shape.name.shape_transition_magic_knight_helmet_tall,P2,transparent centered full-object reveal art
shape_main_distinct_music_note_tall,MainDistinctMusicNoteTall,Music,stage,object,78,1,Art/ShapeReveal/shape_main_distinct_music_note_tall.png,Art/ShapeRevealThumb/shape_main_distinct_music_note_tall_thumb.png,shape.name.shape_main_distinct_music_note_tall,P0,transparent centered full-object reveal art
shape_main_microphone_tall,MainMicrophoneTall,Music,stage,object,98,1,Art/ShapeReveal/shape_main_microphone_tall.png,Art/ShapeRevealThumb/shape_main_microphone_tall_thumb.png,shape.name.shape_main_microphone_tall,P0,transparent centered full-object reveal art
shape_main_music_drum_tall,MainMusicDrumTall,Music,stage,object,223,1,Art/ShapeReveal/shape_main_music_drum_tall.png,Art/ShapeRevealThumb/shape_main_music_drum_tall_thumb.png,shape.name.shape_main_music_drum_tall,P1,transparent centered full-object reveal art
shape_main_music_headphones_tall,MainMusicHeadphonesTall,Music,stage,object,207,1,Art/ShapeReveal/shape_main_music_headphones_tall.png,Art/ShapeRevealThumb/shape_main_music_headphones_tall_thumb.png,shape.name.shape_main_music_headphones_tall,P1,transparent centered full-object reveal art
shape_main_music_vinyl_record_tall,MainMusicVinylRecordTall,Music,stage,object,313,1,Art/ShapeReveal/shape_main_music_vinyl_record_tall.png,Art/ShapeRevealThumb/shape_main_music_vinyl_record_tall_thumb.png,shape.name.shape_main_music_vinyl_record_tall,P2,transparent centered full-object reveal art
shape_big_grove02_tall,BigGrove02Tall,Nature,plants-creatures,natural,427,1,Art/ShapeReveal/shape_big_grove02_tall.png,Art/ShapeRevealThumb/shape_big_grove02_tall_thumb.png,shape.name.shape_big_grove02_tall,P2,transparent centered full-object reveal art
shape_big_grove04_tall,BigGrove04Tall,Nature,plants-creatures,natural,438,1,Art/ShapeReveal/shape_big_grove04_tall.png,Art/ShapeRevealThumb/shape_big_grove04_tall_thumb.png,shape.name.shape_big_grove04_tall,P2,transparent centered full-object reveal art
shape_main_cactus_tall,MainCactusTall,Nature,plants-creatures,natural,213,1,Art/ShapeReveal/shape_main_cactus_tall.png,Art/ShapeRevealThumb/shape_main_cactus_tall_thumb.png,shape.name.shape_main_cactus_tall,P1,transparent centered full-object reveal art
