order,????,??,type,slotRole,relativeDifficulty,chains,width,height,score,coverage,openers,packs,levelId,sourceAsset,exportAsset,exportMeta,qualityFlags,portableQuality
1,??,1,tutorial,,,6,10,7,25,,,tutorial_simple,tutorial_simple_01_hi,Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset,Levels/001_tutorial_tutorial_simple_01_hi.asset,Levels/001_tutorial_tutorial_simple_01_hi.asset.meta,fixed_front20,fixed_front20
2,hole,1,hole_rescue,,,22,16,18,67,0.451,,hole_mask_early_front,seed_Arrowz_level_035_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset,Levels/002_hole_rescue_seed_Arrowz_level_035_holeblock_multiseed_final.asset,Levels/002_hole_rescue_seed_Arrowz_level_035_holeblock_multiseed_final.asset.meta,restored-early-hole-2,restored-early-hole-2
3,??,1,normal,,,19,9,14,170,0.968,5,level3_tiny_preview,level3_tiny_03_level3_tiny_mini_maze_17,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3TinyPreview/level3_tiny_03_level3_tiny_mini_maze_17.asset,Levels/003_normal_level3_tiny_03_level3_tiny_mini_maze_17.asset,Levels/003_normal_level3_tiny_03_level3_tiny_mini_maze_17.asset.meta,level3-tiny-pack-third,level3-tiny-pack-third
4,??,1,shape,,,30,20,24,105,,,shape_early_prop,r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset,Levels/004_shape_r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crysta.asset,Levels/004_shape_r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crysta.asset.meta,fixed_front20,fixed_front20
5,??,1,normal,,,26,16,23,82,,,normal_campaign500,nomask_style_01_hui_spiral,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset,Levels/005_normal_nomask_style_01_hui_spiral.asset,Levels/005_normal_nomask_style_01_hui_spiral.asset.meta,fixed_front20,fixed_front20
6,??,1,shape,,,32,26,18,109,,,shape_early_prop,r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset,Levels/006_shape_r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser.asset,Levels/006_shape_r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser.asset.meta,fixed_front20,fixed_front20
7,??,1,lock,,,39,18,24,117,0.981,14,no_mask_style_expansion_preview,nomask_style_expansion_08_double_room_lock_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_08_double_room_lock_b.asset,Levels/007_lock_nomask_style_expansion_08_double_room_lock_b.asset,Levels/007_lock_nomask_style_expansion_08_double_room_lock_b.asset.meta,fixed_front20_replace,long-straight-run
8,??,1,normal,,,46,16,22,131,,,normal_campaign500,nomask_08_dual_zone,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset,Levels/008_normal_nomask_08_dual_zone.asset,Levels/008_normal_nomask_08_dual_zone.asset.meta,fixed_front20,fixed_front20
9,??,1,shape,,,32,22,22,109,,,shape_early_prop,r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset,Levels/009_shape_r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler.asset,Levels/009_shape_r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler.asset.meta,fixed_front20,fixed_front20
10,??,2,lock,,,60,14,27,237,0.984,10,direct_pure_topup_slice01_candidates,direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset,Levels/010_lock_direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset,Levels/010_lock_direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset.meta,fixed_front20_replace,ok
11,??,1,normal,,,31,12,18,128,0.968,,normal_campaign500,level3_thirty_03_level3_thirty_mini_maze_30,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3ThirtyPreview/level3_thirty_03_level3_thirty_mini_maze_30.asset,Levels/011_normal_level3_thirty_03_level3_thirty_mini_maze_30.asset,Levels/011_normal_level3_thirty_03_level3_thirty_mini_maze_30.asset.meta,level3-thirty-mini-maze-30,level3-thirty-mini-maze-30
12,??,1,normal,,,50,17,24,153,,,normal_campaign500,nomask_style_expansion_23_center_cross_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_23_center_cross_b.asset,Levels/012_normal_nomask_style_expansion_23_center_cross_b.asset,Levels/012_normal_nomask_style_expansion_23_center_cross_b.asset.meta,fixed_front20,fixed_front20
13,??,1,shape,,,37,24,24,130,,,shape_early_prop,r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset,Levels/013_shape_r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwa.asset,Levels/013_shape_r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwa.asset.meta,fixed_front20,fixed_front20
14,??,1,normal,,,42,15,21,121,,,normal_campaign500,nomask_06_sweep,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_06_sweep.asset,Levels/014_normal_nomask_06_sweep.asset,Levels/014_normal_nomask_06_sweep.asset.meta,fixed_front20,fixed_front20
15,??,2,section,,,53,14,26,147,0.975,13,direct_pure_topup_slice02_candidates,direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05.asset,Levels/015_section_direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05.asset,Levels/015_section_direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05.asset.meta,fixed_front20_replace,ok
16,??,2,lock,,,54,15,29,180,0.979,12,direct_pure_topup_slice02_candidates,direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04.asset,Levels/016_lock_direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04.asset,Levels/016_lock_direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04.asset.meta,fixed_front20_replace,ok
17,hole,1,hole_rescue,,,37,18,20,91,0.542,,hole_mask_early_30_40,r1_ab_091_above300_level_571_final_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset,Levels/017_hole_rescue_r1_ab_091_above300_level_571_final_holeblock_multiseed_final.asset,Levels/017_hole_rescue_r1_ab_091_above300_level_571_final_holeblock_multiseed_final.asset.meta,early30to40-hole-17,early30to40-hole-17
18,??,1,normal,,,53,18,25,155,,,normal_campaign500,nomask_style_10_zig_river,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_10_zig_river.asset,Levels/018_normal_nomask_style_10_zig_river.asset,Levels/018_normal_nomask_style_10_zig_river.asset.meta,fixed_front20,fixed_front20
