section10,levels,score,avgChain,minChain,maxChain,normalAvg,hardAvg,peakAvg,code1,code2,code3,code4,shape,hole,styleDiversity,findingCount,sectionRole,playerExperience,topRisk
1,1-10,88,27.2,6.0,38.0,26.0,38.0,0.0,9,1,0,0,3,1,7,1,教学开场,每关一个教学/主题职责；低压但变化密集,section is almost strictly rising; add intentional retreats if it feels mechanical.
2,11-20,100,42.8,33.0,61.0,41.6,0.0,61.0,9,0,1,0,1,1,9,0,前20标杆,正式前20收束；19作为第一个可记住挑战，20释放,
3,21-30,100,52.0,36.0,84.0,46.6,62.0,84.0,8,1,0,1,2,1,9,0,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,
4,31-40,100,59.8,42.0,79.0,50.5,74.0,78.0,6,3,1,0,2,1,9,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
5,41-50,100,72.1,50.0,91.0,61.0,73.5,88.5,4,4,1,1,2,1,8,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
6,51-60,100,72.9,54.0,96.0,63.0,82.0,93.0,6,2,2,0,2,1,10,0,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,
7,61-70,100,77.6,59.0,96.0,68.3,84.7,95.0,5,3,1,1,2,1,10,0,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,
8,71-80,100,77.9,63.0,104.0,72.8,0.0,98.5,8,0,2,0,2,1,8,0,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,
9,81-90,100,90.6,66.0,114.0,74.0,92.4,112.0,3,5,1,1,2,1,8,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
10,91-100,100,91.9,71.0,112.0,82.7,96.0,108.0,4,4,1,1,2,1,9,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
11,101-110,100,93.1,72.0,111.0,85.3,98.7,107.5,5,3,2,0,2,1,9,0,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,
12,111-120,100,95.1,73.0,113.0,83.2,106.7,110.5,5,3,2,0,2,1,9,0,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,
13,121-130,100,92.5,74.0,115.0,84.6,98.0,114.5,7,1,2,0,2,1,10,0,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,
14,131-140,100,98.4,76.0,137.0,81.2,108.5,137.0,5,4,0,1,2,1,8,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
15,141-150,100,97.0,77.0,132.0,89.2,113.0,123.5,7,1,1,1,2,1,9,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
16,151-160,100,104.1,81.0,124.0,90.0,106.2,120.0,3,5,2,0,2,1,7,0,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,
17,161-170,100,100.3,80.0,120.0,89.5,116.5,119.0,6,2,2,0,2,1,10,0,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,
