"chokeClass","chokeScore","levelId","order","category","difficultyCode","sampleRole","chains","arrows","solved","processTier","avgChoices","choiceP80","maxChoices","remoteChokes","remoteScore","compositeBreakWindows","afterLocalFrontierBreaks","switchFrontierBreaks","choiceChokeWindows","meaningfulOptionRate","localOnlyRate","usefulTensionRate","flatConsequenceRate","branchDivergenceAvg","localRun","nearOuterRun","depFollowRun","sts","collapse","riskTags","assetPath","sourceFile"
"StrongChokeReview","105.9","rdsb_03_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_lba","","","","","61","","True","B","4.08","6","7","4","0.96","2","2","3","4","0.363","0.073","0.182","0.618","5.424","4","4","6","0.844","0.133","flatConsequenceHigh","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening-runner\Assets\ArrowMagic\SOData\Levels\DirectProcedural\RDSB\rdsb_03_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_lba.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_scheduled_break_smoke7_metrics.csv"
"ChokeReview","88.445","rdsb_11_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_lbc","","","","","64","","True","B","4.98","7","9","8","1","2","1","2","3","0.324","0.186","0.068","0.475","4.644","6","3","4","0.893","0.173","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening-runner\Assets\ArrowMagic\SOData\Levels\DirectProcedural\RDSB\rdsb_11_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_lbc.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_scheduled_break_smoke11_metrics.csv"
"ChokeReview","75.563","rdsb_05_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_dwb","","","","","62","","True","B","5.29","7","10","5","1","2","0","1","3","0.316","0.153","0.153","0.424","5.281","6","2","4","0.82","0.286","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening-runner\Assets\ArrowMagic\SOData\Levels\DirectProcedural\RDSB\rdsb_05_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_dwb.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_scheduled_break_smoke1_metrics.csv"
"StrongChokeReview","57.344","sgp_rdcm_v2_s02_01_c16","","","","","63","","True","B","4.62","6","8","2","0.867","1","0","0","4","0.378","0.065","0.113","0.419","5.256","5","3","4","0.903","0.139","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s02_01_c16.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_choice_value_v2_review5_diag_metrics.csv"
"StrongChokeReview","55.42","sgp_rdcm_v2_s02_07_c13","","","","","63","","True","B","4.56","6","7","3","0.911","0","0","0","3","0.326","0.081","0.113","0.468","4.716","5","3","5","0.856","0.205","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s02_07_c13.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_choke_mutation_v2_drainbreak2_metrics.csv"
"ChokeSignalRisky","53.253","nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine","112","normal","3","high_arrow_peak","92","1343","True","B","3.71","5","8","2","0","3","0","0","6","0","0","0","0","0","7","4","5","0.825","0.245","localRunHigh","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NutationLongChainCandidate80V1\nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\campaign500_trace_v2_calibration30_metrics_partial20_joined_selection.csv"
"StrongChokeReview","51.709","sgp_rdcm_v2_s01_01_c46","","","","","","","","B","4.42","6","8","2","0.876","0","0","0","0","0.391","0.179","0.214","0.304","5.642","4","4","4","0","0","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s01_01_c46.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choice_value_v2_review_ranked.csv"
"StrongChokeReview","51.104","c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain","100","normal","1","section_landing_heavy","83","763","True","B","4.87","7","9","2","0","2","0","0","5","0","0","0","0","0","5","5","4","0.85","0.247","","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500NormalFullV1\w10smp\c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\campaign500_trace_v2_calibration30_metrics_partial20_joined_selection.csv"
"StrongChokeReview","45.114","sgp_rdcm_v2_s02_03_c3","","","","","","","","A","4.94","6","8","2","0.763","0","0","0","0","0.415","0.065","0.065","0.435","4.921","4","3","5","0","0","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s02_03_c3.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choice_value_v2_review_ranked.csv"
"ChokeSignalRisky","41.361","rdsb_08_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_sub","","","","","64","","True","B","5.84","9","11","2","0.866","1","0","1","3","0.317","0.21","0.065","0.581","4.448","4","3","3","0.823","0.264","choicePeakHigh;localOnlyHigh;flatConsequenceHigh","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening-runner\Assets\ArrowMagic\SOData\Levels\DirectProcedural\RDSB\rdsb_08_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_sub.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_scheduled_break_smoke1_metrics.csv"
