"reviewGroup","reviewReason","sourceFamily","chokeClass","chokeScore","order","levelId","avgChoices","maxChoices","remoteChokes","compositeBreakWindows","afterLocalFrontierBreaks","meaningfulOptionRate","localRun","nearOuterRun","depFollowRun","sts","collapse","riskTags","assetPath","sourceFile"
"global_top","highest choke/key-arrow evidence across all known sources","ScheduledBreak","StrongChokeReview","105.9","","rdsb_03_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_lba","4.08","7","4","2","2","0.363","4","4","6","0.844","0.133","flatConsequenceHigh","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening-runner\Assets\ArrowMagic\SOData\Levels\DirectProcedural\RDSB\rdsb_03_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_lba.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_scheduled_break_smoke7_metrics.csv"
"global_top","highest choke/key-arrow evidence across all known sources","ScheduledBreak","ChokeReview","88.445","","rdsb_11_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_lbc","4.98","9","8","2","1","0.324","6","3","4","0.893","0.173","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening-runner\Assets\ArrowMagic\SOData\Levels\DirectProcedural\RDSB\rdsb_11_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_lbc.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_scheduled_break_smoke11_metrics.csv"
"global_top","highest choke/key-arrow evidence across all known sources","ScheduledBreak","ChokeReview","75.563","","rdsb_05_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_dwb","5.29","10","5","2","0","0.316","6","2","4","0.82","0.286","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening-runner\Assets\ArrowMagic\SOData\Levels\DirectProcedural\RDSB\rdsb_05_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_dwb.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_scheduled_break_smoke1_metrics.csv"
"global_top","highest choke/key-arrow evidence across all known sources","Other","StrongChokeReview","69.703","","c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain","4.87","9","2","2","0","0.491","5","5","4","0.85","0.247","","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500NormalFullV1\w10smp\c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk4\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk4_metrics.csv"
"global_top","highest choke/key-arrow evidence across all known sources","NutationLongChain","StrongChokeReview","59.633","","nutation_longchain_candidate80_holefix_v1_03_nutation_longchain_patch_v1_rect_c80hf_01_d1_lock_patch","4.62","8","2","1","0","0.397","5","5","3","0.833","0.184","","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NutationLongChainCandidate80HolefixV1\nutation_longchain_candidate80_holefix_v1_03_nutation_longchain_patch_v1_rect_c80hf_01_d1_lock_patch.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk2\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk2_metrics.csv"
"global_top","highest choke/key-arrow evidence across all known sources","ReadDemandMutation","StrongChokeReview","57.344","","sgp_rdcm_v2_s02_01_c16","4.62","8","2","1","0","0.378","5","3","4","0.903","0.139","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s02_01_c16.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_choice_value_v2_review5_diag_metrics.csv"
"global_top","highest choke/key-arrow evidence across all known sources","ReadDemandMutation","StrongChokeReview","55.42","","sgp_rdcm_v2_s02_07_c13","4.56","7","3","0","0","0.326","5","3","5","0.856","0.205","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s02_07_c13.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_choke_mutation_v2_drainbreak2_metrics.csv"
"global_top","highest choke/key-arrow evidence across all known sources","ReadDemandMutation","StrongChokeReview","51.709","","sgp_rdcm_v2_s01_01_c46","4.42","8","2","0","0","0.391","4","4","4","0","0","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s01_01_c46.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choice_value_v2_review_ranked.csv"
"global_top","highest choke/key-arrow evidence across all known sources","NutationHub","ChokeReview","46.798","","nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180","5.99","10","2","1","0","0.478","6","5","5","0.82","0.277","flatConsequenceHigh","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NutationHubMixedV1Strict30TransformWidePool\nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk3\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk3_metrics.csv"
"global_top","highest choke/key-arrow evidence across all known sources","ReadDemandMutation","StrongChokeReview","45.114","","sgp_rdcm_v2_s02_03_c3","4.94","8","2","0","0","0.415","4","3","5","0","0","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s02_03_c3.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choice_value_v2_review_ranked.csv"
