index,reviewGroup,sourceFamily,chokeClass,chokeScore,campaignOrder,levelId,loadedAssetPath,avgChoices,maxChoices,remoteChokes,compositeBreakWindows,localRun,riskTags
1,global_top,ScheduledBreak,StrongChokeReview,105.9,,rdsb_03_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_lba,Assets/ArrowMagic/SOData/Levels/DirectProcedural/RDSB/rdsb_03_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_lba.asset,4.08,7,4,2,4,flatConsequenceHigh
2,global_top,ScheduledBreak,ChokeReview,88.445,,rdsb_11_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_lbc,Assets/ArrowMagic/SOData/Levels/DirectProcedural/RDSB/rdsb_11_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_lbc.asset,4.98,9,8,2,6,
3,global_top,ScheduledBreak,ChokeReview,75.563,,rdsb_05_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_dwb,Assets/ArrowMagic/SOData/Levels/DirectProcedural/RDSB/rdsb_05_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_dwb.asset,5.29,10,5,2,6,
4,global_top,Other,StrongChokeReview,69.703,,c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain.asset,4.87,9,2,2,5,
5,global_top,NutationLongChain,StrongChokeReview,59.633,,nutation_longchain_candidate80_holefix_v1_03_nutation_longchain_patch_v1_rect_c80hf_01_d1_lock_patch,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_03_nutation_longchain_patch_v1_rect_c80hf_01_d1_lock_patch.asset,4.62,8,2,1,5,
6,global_top,ReadDemandMutation,StrongChokeReview,57.344,,sgp_rdcm_v2_s02_01_c16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureReadDemandV1ChokeMutationV2/sgp_rdcm_v2_s02_01_c16.asset,4.62,8,2,1,5,
7,global_top,ReadDemandMutation,StrongChokeReview,55.42,,sgp_rdcm_v2_s02_07_c13,Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureReadDemandV1ChokeMutationV2/sgp_rdcm_v2_s02_07_c13.asset,4.56,7,3,0,5,
8,global_top,ReadDemandMutation,StrongChokeReview,51.709,,sgp_rdcm_v2_s01_01_c46,Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureReadDemandV1ChokeMutationV2/sgp_rdcm_v2_s01_01_c46.asset,4.42,8,2,0,4,
9,global_top,NutationHub,ChokeReview,46.798,,nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30TransformWidePool/nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset,5.99,10,2,1,6,flatConsequenceHigh
10,global_top,ReadDemandMutation,StrongChokeReview,45.114,,sgp_rdcm_v2_s02_03_c3,Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureReadDemandV1ChokeMutationV2/sgp_rdcm_v2_s02_03_c3.asset,4.94,8,2,0,4,
11,global_top,NutationLongChain,ChokeReview,41.394,,campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset,4.07,8,1,1,3,
12,global_top,NutationLongChain,ChokeReview,40.446,,nutation_longchain_candidate80_holefix_v1_15_nutation_longchain_patch_v1_rect_c80hf_04_d1_core_patch,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_15_nutation_longchain_patch_v1_rect_c80hf_04_d1_core_patch.asset,6.17,10,2,0,4,
13,campaign_order_signal,Other,ChokeReview,19.559,2,seed_Arrowz_level_035_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset,3.73,6,1,0,4,
14,campaign_order_signal,Other,ChokeReview,15.597,1,tutorial_simple_01_hi,Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset,2.33,4,0,1,3,
15,campaign_order_signal,NutationFlow,ChokeReview,15.294,10,campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain.asset,4.79,8,1,0,6,
