"order","sampleRole","reviewQuestion","category","difficultyCode","finalChain","finalArrow","finalWidth","finalHeight","sourceTag","levelId","solved","processTier","rankClass","avgChoices","maxChoices","choiceP80","choiceChokeWindowCount","frontierDrainRemoteChokeCount","frontierDrainRemoteChokeScore","choiceChokeCompositeBreakWindowCount","localPatchSolveRunMax","nearOuterPatchSolveRunMax","dependencyFollowRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","hardStructureV3Class","hardStructureV3Score","difficultyScoreV1","tracePath","traceMetricsFile"
"1","front20_control",,"normal","1","6","21",,,,"tutorial_simple_01_hi","True","A",,"2.33","4","3","1","0",,"1","3","3","1","0.866","0.097","MediumStructure","0.229","0.711","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\LevelImportV1\TutorialSimple\tutorial_simple_01_hi.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk1\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk1_metrics.csv"
"2","hole_theme_control",,"hole","1","22","130",,,,"seed_Arrowz_level_035_holeblock_multiseed_final","True","B",,"3.73","6","5","2","1",,"0","4","4","3","0.855","0.055","LocalEasy","0.083","0.713","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Production\HoleMask\Early\hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk1\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk1_metrics.csv"
"3","scale_intro_control",,"normal","1","15","181",,,,"campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier","True","A",,"4.07","8","7","1","1",,"1","3","3","1","0.924","0.123","LocalEasy","0.115","0.627","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500LongChainProd200PoolV1\campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk1\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk1_metrics.csv"
"4","early_shape_jump",,"shape","1","55","459",,,,"campaign500_shape_psg_newbie4_01_L004_crystalball","True","B",,"4.35","8","5","3","0",,"1","8","6","4","0.707","0.401","LocalEasy","0.068","0.648","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Production\Campaign500ShapePsgNewbie4\campaign500_shape_psg_newbie4_01_L004_crystalball.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk1\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk1_metrics.csv"
"10","first_hard_quiz",,"normal","2","38","430",,,,"campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain","True","B",,"4.79","8","6","2","1",,"0","6","3","4","0.878","0.163","LocalEasy","0.079","0.594","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500NormalFullV1\s01_s13\campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk1\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk1_metrics.csv"
"19","front20_peak",,"normal","3","60","772",,,,"nutation_longchain_candidate80_holefix_v1_16_nutation_longchain_spine_v1_rect_c80hf_04_d1_core_spine","True","A",,"6.07","8","7","1","0",,"0","4","3","7","0.848","0.261","LocalEasy","0.135","0.549","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NutationLongChainCandidate80HolefixV1\nutation_longchain_candidate80_holefix_v1_16_nutation_longchain_spine_v1_rect_c80hf_04_d1_core_spine.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk2\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk2_metrics.csv"
"20","post_front20_release",,"normal","1","40","427",,,,"campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain","True","B",,"5.08","9","7","3","0",,"0","5","5","2","0.919","0.113","LocalEasy","0.107","0.555","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500NormalFullV1\s01_s13\campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk2\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk2_metrics.csv"
"23","early_shape_heavy",,"shape","1","87","735",,,,"campaign500_shape_psg_direction3_01_L023_train","True","B",,"5.43","10","7","2","0",,"0","7","2","5","0.749","0.284","LocalEasy","0.075","0.503","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Production\Campaign500ShapePsgDirection3\campaign500_shape_psg_direction3_01_L023_train.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk2\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk2_metrics.csv"
"25","early_hard_read",,"normal","2","64","626",,,,"nutation_longchain_candidate80_holefix_v1_03_nutation_longchain_patch_v1_rect_c80hf_01_d1_lock_patch","True","B",,"4.62","8","6","3","2",,"1","5","5","3","0.833","0.184","LocalEasy","0.071","0.614","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NutationLongChainCandidate80HolefixV1\nutation_longchain_candidate80_holefix_v1_03_nutation_longchain_patch_v1_rect_c80hf_01_d1_lock_patch.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk2\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk2_metrics.csv"
"29","early_extreme_peak",,"normal","4","75","772",,,,"nutation_longchain_candidate80_holefix_v1_15_nutation_longchain_patch_v1_rect_c80hf_04_d1_core_patch","True","B",,"6.17","10","8","2","2",,"0","4","4","3","0.907","0.141","LocalEasy","0.157","0.546","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NutationLongChainCandidate80HolefixV1\nutation_longchain_candidate80_holefix_v1_15_nutation_longchain_patch_v1_rect_c80hf_04_d1_core_patch.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk2\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk2_metrics.csv"
