"selected","levelId","path","source","order","slotDuty","sampleRole","finalChain","finalArrow"
"1","L001_front20_control","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","C5V5F100_trace_v2_calibration30","1","新手消除规则引导","front20_control","6","21"
"1","L002_hole_theme_control","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","C5V5F100_trace_v2_calibration30","2","营救主题与洞洞空间初见","hole_theme_control","22","130"
"1","L003_scale_intro_control","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset","C5V5F100_trace_v2_calibration30","3","镜头/画布尺度引导","scale_intro_control","15","181"
"1","L004_early_shape_jump","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset","C5V5F100_trace_v2_calibration30","4","特殊图形解锁：水晶球","early_shape_jump","55","459"
"1","L010_first_hard_quiz","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain.asset","C5V5F100_trace_v2_calibration30","10","前10关小考：轻困难lock","first_hard_quiz","38","430"
"1","L019_front20_peak","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_16_nutation_longchain_spine_v1_rect_c80hf_04_d1_core_spine.asset","C5V5F100_trace_v2_calibration30","19","前20第一标杆/小Boss","front20_peak","60","772"
"1","L020_post_front20_release","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset","C5V5F100_trace_v2_calibration30","20","前20收束/新主题预告","post_front20_release","40","427"
"1","L023_early_shape_heavy","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset","C5V5F100_trace_v2_calibration30","23","ShapeAnchor","early_shape_heavy","87","735"
"1","L025_early_hard_read","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_03_nutation_longchain_patch_v1_rect_c80hf_01_d1_lock_patch.asset","C5V5F100_trace_v2_calibration30","25","LocalRunBreaker","early_hard_read","64","626"
"1","L029_early_extreme_peak","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_15_nutation_longchain_patch_v1_rect_c80hf_04_d1_core_patch.asset","C5V5F100_trace_v2_calibration30","29","ExtremeMemory","early_extreme_peak","75","772"
"1","L030_post_extreme_release","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_40_nutation_flow_rail_v1_rect_s32_o311_v00_flowrail_rail_chain.asset","C5V5F100_trace_v2_calibration30","30","NormalPractice","post_extreme_release","47","538"
"1","L038_shape_hard_jump","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section.asset","C5V5F100_trace_v2_calibration30","38","ShapeReadAnchor","shape_hard_jump","88","718"
"1","L047_early_extreme_hub","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30TransformWidePool/nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset","C5V5F100_trace_v2_calibration30","47","ExtremeMemory","early_extreme_hub","94","667"
"1","L072_mid_peak_pressure","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain.asset","C5V5F100_trace_v2_calibration30","72","DependencyPeak","mid_peak_pressure","92","862"
"1","L083_shape_hard_mid","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_02_L083_ballmouse.asset","C5V5F100_trace_v2_calibration30","83","ShapeReadAnchor","shape_hard_mid","91","709"
"1","L096_longchain_extreme","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_47_nutation_longchain_patch_v1_rect_c80hf2_12_d3_maze_patch.asset","C5V5F100_trace_v2_calibration30","96","ExtremeMemory","longchain_extreme","121","1155"
"1","L100_section_landing_heavy","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain.asset","C5V5F100_trace_v2_calibration30","100","NormalPractice","section_landing_heavy","83","763"
"1","L112_high_arrow_peak","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine.asset","C5V5F100_trace_v2_calibration30","112","DependencyPeak","high_arrow_peak","92","1343"
