phase,slotDutyV2,productionNeed,count,minOrder,maxOrder,avgTargetEffectiveLoad,minTargetEffectiveLoad,maxTargetEffectiveLoad,priorityMix
after300,BridgeRamp,normal_pool_available_match_by_band,11,308,495,109.5,105,112,P3_late_fill:11
after300,CanvasStep,partial_supply_need_normalplus_readcheck,7,331,469,121.6,113,128,P3_late_fill:7
after300,DependencyPeak,needs_hard_or_special_peak_supply,25,305,500,137.8,129,146,P2_late_peak:25
after300,ExtremeMemory,needs_extreme_peak_supply,16,309,479,153.7,144,160,P2_late_peak:16
after300,HoleSpatialAnchor,use_existing_hole_anchor_pool,20,301,492,103.9,94,112,P2_category_anchor:20
after300,LanguageVariation,normal_pool_available_match_by_band,11,304,494,105.9,102,110,P3_late_fill:11
after300,LocalRunBreaker,partial_supply_need_normalplus_readcheck,3,405,475,128.7,127,130,P2_late_readcheck:3
after300,NormalPractice,normal_pool_available_match_by_band,21,302,496,107.3,98,112,P3_late_fill:21
after300,ReadCheck,partial_supply_need_shape_readcheck,19,307,438,125.8,118,130,P2_category_anchor:19
after300,RecoveryFlow,normal_pool_available_match_by_band,20,311,497,99.2,94,104,P3_late_fill:20
after300,SetupOrBreath,normal_pool_available_match_by_band,26,310,499,110.9,104,112,P3_late_fill:26
after300,ShapeAnchor,use_existing_shape_anchor_pool,20,303,498,109.3,104,112,P2_category_anchor:20
after300,StylePeak,needs_underlying_hard_supply_shape_cameo,1,338,338,146,146,146,P2_late_peak:1
front100,BridgeRamp,normal_pool_available_match_by_band,7,28,95,66.1,53,81,P1_front100_lock:7
front100,CanvasStep,partial_supply_need_normalplus_readcheck,9,34,99,82.6,65,103,P1_front100_lock:9
front100,DependencyPeak,needs_hard_or_special_peak_supply,4,39,69,87,78,94,P1_front100_lock:4
front100,ExtremeMemory,needs_extreme_peak_supply,5,29,96,99.4,84,114,P1_front100_lock:5
front100,HoleSpatialAnchor,use_existing_hole_anchor_pool,8,26,91,61.8,46,72,P1_front100_lock:8
front100,LanguageVariation,normal_pool_available_match_by_band,4,24,74,57.2,44,70,P1_front100_lock:4
front100,LocalRunBreaker,partial_supply_need_normalplus_readcheck,3,25,97,80.7,62,92,P1_front100_lock:3
front100,NormalPractice,normal_pool_available_match_by_band,5,22,92,63.8,41,82,P1_front100_lock:5
front100,ReadCheck,partial_supply_need_normalplus_readcheck,1,66,66,80,80,80,P1_front100_lock:1
front100,ReadCheck,partial_supply_need_shape_readcheck,9,38,98,86.3,75,106,P1_front100_lock:9
front100,RecoveryFlow,normal_pool_available_match_by_band,7,21,81,52.9,36,66,P1_front100_lock:7
front100,SetupOrBreath,normal_pool_available_match_by_band,6,30,100,75.7,58,92,P1_front100_lock:6
front100,ShapeAnchor,use_existing_shape_anchor_pool,7,23,78,60.7,42,83,P1_front100_lock:7
front100,StylePeak,needs_hard_or_special_peak_supply,5,56,94,101.4,93,110,P1_front100_lock:5
front20,BridgeRamp,normal_pool_available_match_by_band,1,18,18,50,50,50,P0_front20_manual:1
front20,CanvasStep,normal_pool_available_match_by_band,2,3,15,33.5,23,44,P0_front20_manual:2
front20,DependencyPeak,needs_hard_or_special_peak_supply,1,19,19,61,61,61,P0_front20_manual:1
front20,HoleSpatialAnchor,use_existing_hole_anchor_pool,2,2,17,25.5,13,38,P0_front20_manual:2
front20,LanguageVariation,normal_pool_available_match_by_band,1,14,14,40,40,40,P0_front20_manual:1
front20,NormalPractice,normal_pool_available_match_by_band,3,5,12,34,29,37,P0_front20_manual:3
front20,ReadCheck,partial_supply_need_normalplus_readcheck,3,7,16,39.7,35,46,P0_front20_manual:3
front20,RecoveryFlow,normal_pool_available_match_by_band,2,11,20,37.5,33,42,P0_front20_manual:2
front20,ShapeAnchor,use_existing_shape_anchor_pool,4,4,13,32.2,25,38,P0_front20_manual:4
front20,TutorialRule,keep_original,1,1,1,6,6,6,P0_front20_manual:1
front300,BridgeRamp,normal_pool_available_match_by_band,15,115,295,95.9,84,106,P1_front300_quality:15
front300,CanvasStep,partial_supply_need_normalplus_readcheck,13,104,289,107.8,97,120,P1_front300_quality:13
front300,DependencyPeak,needs_hard_or_special_peak_supply,15,109,296,123.8,111,139,P1_front300_quality:15
front300,ExtremeMemory,needs_extreme_peak_supply,12,136,299,142.8,132,152,P1_front300_quality:12
front300,HoleSpatialAnchor,use_existing_hole_anchor_pool,19,101,292,90.2,72,104,P1_front300_quality:19
front300,LanguageVariation,normal_pool_available_match_by_band,9,114,294,90.9,81,101,P1_front300_quality:9
front300,LocalRunBreaker,partial_supply_need_normalplus_readcheck,2,105,185,106,100,112,P1_front300_quality:2
front300,NormalPractice,normal_pool_available_match_by_band,18,102,286,93.9,76,108,P1_front300_quality:18
front300,ReadCheck,partial_supply_need_normalplus_readcheck,5,116,236,115.4,107,122,P1_front300_quality:5
front300,ReadCheck,partial_supply_need_shape_readcheck,22,103,298,116.1,98,130,P1_front300_quality:22
front300,RecoveryFlow,normal_pool_available_match_by_band,21,111,297,84.9,73,96,P1_front300_quality:21
front300,SetupOrBreath,normal_pool_available_match_by_band,23,110,300,102.5,86,108,P1_front300_quality:23
front300,ShapeAnchor,use_existing_shape_anchor_pool,18,108,273,95.2,83,108,P1_front300_quality:18
front300,StylePeak,needs_hard_or_special_peak_supply,8,107,176,115.9,104,127,P1_front300_quality:8
