"section10","levelRange","normalCode1","hardCode2","specialCode3","extremeCode4","categoryNormal","categoryShape","categoryHole","templateChainsAvg","templateChainsMin","templateChainsMax"
"1","1-10","9","1","0","0","6","3","1","31.2","6","60"
"2","11-20","9","0","1","0","8","1","1","49.2","31","94"
"3","21-30","8","1","0","1","7","2","1","72.6","42","98"
"4","31-40","6","3","1","0","7","2","1","79.2","41","103"
"5","41-50","4","4","1","1","7","2","1","77.6","43","117"
"6","51-60","6","2","2","0","7","2","1","82","43","108"
"7","61-70","5","3","1","1","7","2","1","80.3","43","104"
"8","71-80","8","0","2","0","7","2","1","79.7","45","104"
"9","81-90","3","5","1","1","7","2","1","83.5","45","107"
"10","91-100","4","4","1","1","7","2","1","79.8","47","110"
"11","101-110","5","3","2","0","7","2","1","91.7","47","117"
"12","111-120","5","3","2","0","7","2","1","90.3","49","108"
"13","121-130","7","1","2","0","7","2","1","84.3","50","102"
"14","131-140","5","4","0","1","7","2","1","86.4","52","113"
"15","141-150","7","1","1","1","7","2","1","98.3","50","114"
"16","151-160","3","5","2","0","7","2","1","95.5","76","115"
"17","161-170","6","2","2","0","7","2","1","95.7","53","124"
"18","171-180","7","1","2","0","7","2","1","99.6","52","115"
"19","181-190","8","1","1","0","7","2","1","99.2","55","113"
"20","191-200","9","0","0","1","7","2","1","100.8","82","135"
"21","201-210","6","3","0","1","7","2","1","106.2","56","153"
"22","211-220","5","3","1","1","7","2","1","98.5","56","144"
"23","221-230","5","4","0","1","7","2","1","108.2","57","163"
"24","231-240","6","2","1","1","7","2","1","107.3","54","171"
"25","241-250","7","1","2","0","7","2","1","115.1","83","150"
"26","251-260","7","1","1","1","7","2","1","113.7","59","159"
"27","261-270","7","1","1","1","7","2","1","118.1","82","184"
"28","271-280","7","1","1","1","7","2","1","117.4","61","201"
"29","281-290","5","3","1","1","7","2","1","123.7","62","214"
"30","291-300","6","2","1","1","7","2","1","118.7","60","178"
"31","301-310","7","1","1","1","7","2","1","126.2","82","200"
"32","311-320","7","1","1","1","7","2","1","123.8","65","233"
"33","321-330","5","2","2","1","7","2","1","128.8","66","203"
"34","331-340","5","2","2","1","7","2","1","135.7","80","216"
"35","341-350","4","3","2","1","7","2","1","140.8","67","213"
"36","351-360","5","2","2","1","7","2","1","126.4","72","176"
"37","361-370","8","0","2","0","7","2","1","150.8","85","204"
"38","371-380","8","1","0","1","7","2","1","134.8","72","186"
"39","381-390","6","1","2","1","7","2","1","142.6","71","181"
"40","391-400","6","2","1","1","7","2","1","138.8","87","174"
"41","401-410","4","4","1","1","7","2","1","139.4","73","196"
"42","411-420","5","2","2","1","7","2","1","140","75","203"
"43","421-430","7","1","1","1","7","2","1","151","80","213"
"44","431-440","6","3","0","1","7","2","1","151.8","76","194"
"45","441-450","6","1","2","1","7","2","1","138.2","78","197"
"46","451-460","7","1","1","1","7","2","1","144.4","90","224"
"47","461-470","8","1","1","0","7","2","1","130.9","63","213"
"48","471-480","7","1","1","1","7","2","1","140.1","60","231"
"49","481-490","9","0","1","0","7","2","1","140.1","62","213"
"50","491-500","9","0","1","0","7","2","1","133.3","64","200"
