order,category,difficultyCode,slotDutyV2,targetEffectiveLoad,effectiveLoadBand,selectedLevelId,selectedAssetPath,sourceOrder,sourceStatus,selectedLoad,rawChains,bandFit,matchMode,matchScore,matchReason,productionStyle,chainLanguage
1,normal,1,TutorialRule,6,3-8,tutorial_simple_01_hi,Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset,1,OriginalKeptRhythmV4,6.0,,theme_anchor_unscored_load,exact-theme-keep,0.0,preserve tutorial/category theme,,
2,hole,1,HoleSpatialAnchor,13,8-18,seed_Arrowz_level_035_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset,2,OriginalNonTarget,13.0,,theme_anchor_unscored_load,exact-theme-keep,0.0,preserve tutorial/category theme,,
3,normal,1,CanvasStep,23,18-28,campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset,3,ReplacedRhythmV4,36.51,36,out_of_band,scored-match,21.04,load:near-band;style:flow;lang:rail;same-order-stable;near-order;replaced,flow,rail_chain
4,shape,1,ShapeAnchor,25,20-30,campaign500_shape_psg_newbie4_01_L004_crystalball,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset,4,ShapeCandidatePlanned,25.0,55,theme_anchor_unscored_load,exact-theme-keep,0.0,preserve tutorial/category theme,CoreBurst,
5,normal,1,NormalPractice,29,24-34,campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset,5,ReplacedRhythmV4,37.13,36,out_of_band,scored-match,-0.48,load:near-band;style:flow;lang:rail;same-order-stable;near-order;replaced,flow,patch_chain
6,shape,1,ShapeAnchor,30,24-36,campaign500_shape_psg_newbie4_02_L006_potionbottle,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset,6,ShapeCandidatePlanned,30.0,53,theme_anchor_unscored_load,exact-theme-keep,0.0,preserve tutorial/category theme,DenseWeave,
7,normal,1,ReadCheck,35,30-40,campaign500_normal_early_plus_v1_topup_fastlane1_04_nutation_flow_rail_v1_rect_s07_o068_v00_flowrail_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_04_nutation_flow_rail_v1_rect_s07_o068_v00_flowrail_mixed_chain.asset,300,ReplacedRhythmV4,38.84,36,in_band,scored-match,-21.248,load:in-band;style:mixed;style:neutral-mixed;lang:rail;replaced,flow,curve_chain
8,normal,1,NormalPractice,37,32-42,campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset,11,ReplacedRhythmV4,36.92,34,in_band,scored-match,-32.776,load:in-band;style:flow;lang:rail;near-order;replaced,flow,rail_chain
9,shape,1,ShapeAnchor,36,30-42,campaign500_shape_psg_newbie4_03_L009_ruler,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset,9,ShapeCandidatePlanned,36.0,34,theme_anchor_unscored_load,exact-theme-keep,0.0,preserve tutorial/category theme,SectionUnlock,
10,normal,2,ReadCheck,38,34-42,campaign500_longchain_prod200_pool_v1_01_l003_long_normal_a_normal_s01_slot_headmix_outerclean,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_01_l003_long_normal_a_normal_s01_slot_headmix_outerclean.asset,299,ReplacedRhythmV4,36.69,15,in_band,scored-match,-21.332,load:in-band;readcheck-suitable;replaced,longchain,family_profile_chain
