order,category,difficultyCode,slotDutyV2,finalLevelId,finalAssetPath,levelGuid,sourceOrder,finalChain,candidateRawChains,bandFit
1,normal,1,TutorialRule,tutorial_simple_01_hi,Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset,c7475ef21e814ea4a946ec2a0d7f304d,1,6,,theme_anchor_unscored_load
2,hole,1,HoleSpatialAnchor,seed_Arrowz_level_035_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset,9595af5f4e73af041850c0510d56c48c,2,13,,theme_anchor_unscored_load
3,normal,1,CanvasStep,campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset,3c91d272d5866a74d975240889939c30,3,37,36,out_of_band
4,shape,1,ShapeAnchor,campaign500_shape_psg_newbie4_01_L004_crystalball,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset,eaba78ee4bab22847a2ce9b36a31ec32,4,25,55,theme_anchor_unscored_load
5,normal,1,NormalPractice,campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset,a4d9901d831f12143b6d996cc7b4a25a,5,37,36,out_of_band
6,shape,1,ShapeAnchor,campaign500_shape_psg_newbie4_02_L006_potionbottle,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset,7b12cc727e6e3f946867411a083f8502,6,30,53,theme_anchor_unscored_load
7,normal,1,ReadCheck,campaign500_normal_early_plus_v1_topup_fastlane1_04_nutation_flow_rail_v1_rect_s07_o068_v00_flowrail_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_04_nutation_flow_rail_v1_rect_s07_o068_v00_flowrail_mixed_chain.asset,5226600ec8b16b642b045943faf04601,300,39,36,in_band
8,normal,1,NormalPractice,campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset,1a39b1086109f7943b4bac5d221c1ecc,11,37,34,in_band
9,shape,1,ShapeAnchor,campaign500_shape_psg_newbie4_03_L009_ruler,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset,2225599075eb5c24f94f323070d3b62c,9,36,34,theme_anchor_unscored_load
10,normal,2,ReadCheck,campaign500_longchain_prod200_pool_v1_01_l003_long_normal_a_normal_s01_slot_headmix_outerclean,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_01_l003_long_normal_a_normal_s01_slot_headmix_outerclean.asset,1437d7d623afe224a99085d38d138db9,299,37,15,in_band
11,normal,1,RecoveryFlow,campaign500_normal_early_plus_v1_topup_fastlane1_03_nutation_flow_rail_v1_rect_s06_o060_v02_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_03_nutation_flow_rail_v1_rect_s06_o060_v02_flowrail_patch_chain.asset,e9eda0e3b60352e42b887b0fc4fea45d,297,39,38,out_of_band
12,normal,1,NormalPractice,campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset,50e5ed3f376fe3a45b1bd6b490b04776,20,41,38,in_band
13,shape,1,ShapeAnchor,campaign500_shape_psg_newbie4_04_L013_magicwand,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset,fd689808545c7f74aba24f8da94c56e5,13,38,60,theme_anchor_unscored_load
14,normal,1,LanguageVariation,campaign500_normal_full_v1_s14_s26_02_nutation_flow_rail_v1_rect_s14_o134_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_02_nutation_flow_rail_v1_rect_s14_o134_v01_flowrail_rail_chain.asset,6fbda651b7888d64bab5c2ab6bdd7001,289,42,39,in_band
15,normal,1,CanvasStep,campaign500_normal_early_plus_v1_topup_fastlane1_48_nutation_flow_rail_v1_rect_s34_o337_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_48_nutation_flow_rail_v1_rect_s34_o337_v02_flowrail_rail_chain.asset,203519e5275847c40b6986eaabb28a3c,337,45,45,in_band
16,normal,1,ReadCheck,campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain.asset,3590208550bd829439ee02e0e09ddfa6,471,46,46,in_band
17,hole,1,HoleSpatialAnchor,r1_ab_091_above300_level_571_final_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset,91c65810f3519934da8552fd7cd504a1,17,38,,theme_anchor_unscored_load
18,normal,1,BridgeRamp,campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset,1428c7eb28f898345ab810eaf534c0ae,7,51,50,in_band
19,normal,3,DependencyPeak,nutation_longchain_candidate80_v1_08_nutation_longchain_spine_v1_rect_c80_02_d1_maze_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_08_nutation_longchain_spine_v1_rect_c80_02_d1_maze_spine.asset,aec13838f3baaea4cb6aa1222a5dd7e7,281,61,43,in_band
20,normal,1,RecoveryFlow,campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain.asset,3e466eb48d519db47b24aad386b55d26,295,42,38,in_band
21,normal,1,RecoveryFlow,campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset,69dc4408c31742b4fbe137341abc93d4,291,43,40,out_of_band
22,normal,1,NormalPractice,campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset,e86dbea9763f7b54fa39c61d21a360ad,8,46,46,in_band
23,shape,1,ShapeAnchor,campaign500_shape_psg_direction3_01_L023_train,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset,9f2bda30d1d97484a9c98b1e3e7039b0,23,46,87,theme_anchor_unscored_load
24,normal,1,LanguageVariation,campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain.asset,2da7a69636a5eec4eb59b4d9720bddd4,81,46,43,in_band
25,normal,2,LocalRunBreaker,campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain.asset,e08fe147aa6c429ba10392e94bf058c4,357,67,67,in_band
26,hole,1,HoleSpatialAnchor,hole_candidate_058_tall_18x26_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset,cbf7398778e0d2b4da618201fb4b2383,26,53,,theme_anchor_unscored_load
27,shape,1,ShapeAnchor,campaign500_shape_psg_direction3_02_L027_crownvarianta,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_02_L027_crownvarianta.asset,940d4bf35338d604ebeb2f799b3fb904,27,42,72,theme_anchor_unscored_load
28,normal,1,BridgeRamp,campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain.asset,c44554b6ee4ae3e4fba85aa920676bbe,346,54,54,in_band
29,normal,4,ExtremeMemory,c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain.asset,949ce8d7c727cfd4783a0a031fb44a16,384,84,84,in_band
30,normal,1,SetupOrBreath,campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain.asset,92ae28f4aaefe2a4c89b146e6d9fe5f9,68,58,52,in_band
31,normal,1,RecoveryFlow,campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset,5b69a6445e550cd4dadf612854d415ba,290,45,15,in_band
