order,experienceRole,oldLevelId,newLevelId,newAssetPath,sourcePool,gateClass,sourceClass,sourceOrder,style,chain,band,coverage,maxChoices,local,near,sts,collapse,copyRequired,sourceRoot
1,Normal,tutorial_simple_01_hi,campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,79,,mixed_chain,NormalNeutral,0.98,6,4,2,0.833,0.194,False,
3,Normal,campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain,campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,35,,mixed_chain,NormalNeutral,0.974,8,6,5,0.895,0.123,False,
5,Normal,campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain,campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,20,,mixed_chain,NormalNeutral,0.976,8,5,5,0.851,0.14,False,
7,Normal,nomask_style_expansion_08_double_room_lock_b,campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,21,,mixed_chain,NormalNeutral,0.993,8,6,3,0.857,0.209,False,
8,Normal,c5nep_w4pl_04_nutation_peel_rect_s01_o008_v03_peellight_curve_chain,campaign500_normal_full_v1_s01_s13_66_nutation_mixed_neutral_v1_rect_s06_o057_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_66_nutation_mixed_neutral_v1_rect_s06_o057_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,57,,mixed_chain,NormalNeutral,0.988,8,4,3,0.82,0.258,False,
10,Normal,c5nep_w11a_01_nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain,campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,86,,mixed_chain,NormalNeutral,0.98,8,5,4,0.83,0.241,False,
11,Normal,campaign500_longchain_prod200_pool_v1_09_l011_long_normal_a_normal_s02_slot_seedmaze_chamber_corridor,campaign500_normal_full_v1_s14_s26_28_nutation_mixed_neutral_v1_rect_s16_o155_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_28_nutation_mixed_neutral_v1_rect_s16_o155_v00_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,155,,mixed_chain,NormalNeutral,0.985,8,5,4,0.916,0.145,False,
12,Normal,nomask_style_expansion_23_center_cross_b,campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,121,,curve_chain,NormalFlow,0.988,10,5,5,0.895,0.133,False,
14,Normal,nomask_06_sweep,campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,3,,curve_chain,NormalFlow,0.988,9,5,5,0.919,0.113,False,
15,Normal,direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05,campaign500_normal_full_v1_s01_s13_114_nutation_mixed_neutral_v1_rect_s10_o100_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_114_nutation_mixed_neutral_v1_rect_s10_o100_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,100,,mixed_chain,NormalNeutral,0.993,9,5,3,0.91,0.067,False,
16,Normal,c5nep_w4pl_06_nutation_peel_rect_s02_o016_v01_peellight_curve_chain,campaign500_normal_full_v1_s01_s13_124_nutation_mixed_neutral_v1_rect_s11_o106_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_124_nutation_mixed_neutral_v1_rect_s11_o106_v00_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,106,,mixed_chain,NormalNeutral,0.991,9,4,3,0.939,0.082,False,
18,Normal,nomask_style_10_zig_river,campaign500_normal_full_v1_s01_s13_150_nutation_mixed_neutral_v1_rect_s13_o128_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_150_nutation_mixed_neutral_v1_rect_s13_o128_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,128,,mixed_chain,NormalNeutral,0.992,9,6,3,0.9,0.149,False,
19,Normal,c5nep_w11b_04_nutation_strict_mixed_hard_v1_rect_s02_o019_v03_strictmixedhard_mixed_chain,campaign500_normal_full_v1_s14_s26_42_nutation_mixed_neutral_v1_rect_s17_o165_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_42_nutation_mixed_neutral_v1_rect_s17_o165_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,111,,mixed_chain,NormalNeutral,0.986,9,6,3,0.859,0.225,False,
20,Normal,campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain,campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,5,,mixed_chain,NormalNeutral,0.981,10,6,2,0.889,0.137,False,
21,FixedFront40,campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain,campaign500_normal_early_plus_v1_topup_fastlane1_04_nutation_flow_rail_v1_rect_s07_o068_v00_flowrail_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_04_nutation_flow_rail_v1_rect_s07_o068_v00_flowrail_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,68,,curve_chain,NormalFlow,0.986,9,3,3,0.89,0.1,False,
22,FixedFront40,campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain,campaign500_normal_full_v1_s01_s13_86_nutation_flow_rail_v1_rect_s08_o077_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_86_nutation_flow_rail_v1_rect_s08_o077_v01_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,77,,rail_chain,NormalFlow,0.984,9,5,5,0.893,0.138,False,
24,FixedFront40,direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04,campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,102,,rail_chain,NormalFlow,0.991,9,4,4,0.911,0.106,False,
