metric,value,details
front300_normal_total,210,
front300_normal_active_replace,210,
front300_normal_old_kept,0,
hardgate145_used_in_front300,145,
supplement_used_in_front300,65,
after300_deferred_reclaimed,47,
total_active_replacements,334,
remaining_gaps,9,
copy_required,7,
front300_source_pool,145,Campaign500_HardGateUntil0910
front300_source_pool,24,NutationLongChainStrict60Front300
front300_source_pool,22,SeedV5LongChain30Front300
front300_source_pool,14,Campaign500NormalFullV1UnusedStrict
front300_source_pool,3,HubMixedRefill30Front300
front300_source_pool,2,ExternalHardGateDedupFront300
front300_source_class,61,hardgate_hard
front300_source_class,47,longchain
front300_source_class,45,neutral
front300_source_class,37,flow
front300_source_class,9,light_peel
front300_source_class,7,peel_hard
front300_source_class,4,hub
front300_role_source,62,Normal|Campaign500_HardGateUntil0910
front300_role_source,29,Recovery|Campaign500_HardGateUntil0910
front300_role_source,26,Pressure|Campaign500_HardGateUntil0910
front300_role_source,14,FixedFront40|Campaign500_HardGateUntil0910
front300_role_source,14,Peak|Campaign500_HardGateUntil0910
front300_role_source,9,Normal|SeedV5LongChain30Front300
front300_role_source,8,Normal|NutationLongChainStrict60Front300
front300_role_source,7,Recovery|NutationLongChainStrict60Front300
front300_role_source,7,Recovery|SeedV5LongChain30Front300
front300_role_source,5,Recovery|Campaign500NormalFullV1UnusedStrict
front300_role_source,5,Pressure|Campaign500NormalFullV1UnusedStrict
front300_role_source,5,Peak|NutationLongChainStrict60Front300
front300_role_source,5,Pressure|SeedV5LongChain30Front300
front300_role_source,4,Normal|Campaign500NormalFullV1UnusedStrict
front300_role_source,4,Pressure|NutationLongChainStrict60Front300
front300_role_source,2,Recovery|HubMixedRefill30Front300
front300_role_source,1,Pressure|ExternalHardGateDedupFront300
front300_role_source,1,Normal|HubMixedRefill30Front300
front300_role_source,1,Peak|ExternalHardGateDedupFront300
front300_role_source,1,Peak|SeedV5LongChain30Front300
front300_band_source,35,1|Campaign500_HardGateUntil0910
front300_band_source,32,51|Campaign500_HardGateUntil0910
front300_band_source,30,101|Campaign500_HardGateUntil0910
front300_band_source,25,151|Campaign500_HardGateUntil0910
front300_band_source,23,201|Campaign500_HardGateUntil0910
front300_band_source,20,251|SeedV5LongChain30Front300
front300_band_source,15,251|NutationLongChainStrict60Front300
front300_band_source,9,201|NutationLongChainStrict60Front300
front300_band_source,7,151|Campaign500NormalFullV1UnusedStrict
front300_band_source,5,101|Campaign500NormalFullV1UnusedStrict
front300_band_source,3,151|HubMixedRefill30Front300
front300_band_source,2,51|Campaign500NormalFullV1UnusedStrict
front300_band_source,2,201|SeedV5LongChain30Front300
front300_band_source,1,51|ExternalHardGateDedupFront300
front300_band_source,1,201|ExternalHardGateDedupFront300
