order,oldLevelId,newLevelId,newAssetPath,sourcePool,gateClass,experienceRole,oldStatus,style,chain,band,coverage,maxChoices,local,near,sts,collapse,copyRequired,sourceRoot
1,tutorial_simple_01_hi,campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Normal,OriginalNonTarget,flow_continuous,rail_chain,NormalFlow,0.988,7,3,3,0.809,0.051,False,
7,nomask_style_expansion_08_double_room_lock_b,campaign500_normal_full_v1_s01_s13_76_nutation_mixed_neutral_v1_rect_s07_o062_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_76_nutation_mixed_neutral_v1_rect_s07_o062_v00_neutralmixed_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Normal,OriginalNonTarget,psg_like_neutral,mixed_chain,NormalNeutral,0.987,8,6,3,0.797,0.287,False,
12,nomask_style_expansion_23_center_cross_b,c5nep_w2fr_10_nutation_flow_rail_v1_rect_s26_o254_v00_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_10_nutation_flow_rail_v1_rect_s26_o254_v00_flowrail_rail_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Normal,OriginalNonTarget,flow_continuous,rail_chain,NormalFlow,0.991,8,7,7,0.845,0.218,False,
14,nomask_06_sweep,c5nep_w11d_34_nutation_strict_mixed_hard_v1_rect_s39_o390_v03_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_34_nutation_strict_mixed_hard_v1_rect_s39_o390_v03_strictmixedhard_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Normal,OriginalNonTarget,psg_like_neutral,mixed_chain,NormalNeutral,0.988,9,7,5,0.827,0.282,False,
15,direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05,campaign500_normal_early_plus_v1_topup_fastlane1_25_nutation_flow_rail_v1_rect_s21_o202_v00_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_25_nutation_flow_rail_v1_rect_s21_o202_v00_flowrail_patch_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Normal,OriginalNonTarget,flow_continuous,patch_chain,NormalFlow,0.991,9,9,4,0.912,0.159,False,
18,nomask_style_10_zig_river,campaign500_normal_full_v1_s39_s50_tail_31_nutation_mixed_neutral_v1_rect_s44_o431_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_31_nutation_mixed_neutral_v1_rect_s44_o431_v00_neutralmixed_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Normal,OriginalNonTarget,psg_like_neutral,mixed_chain,NormalNeutral,0.994,8,5,5,0.803,0.259,False,
24,direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04,nutation_hub_mixed_v1_strict30_refill_23_s06_r03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_23_s06_r03.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,FixedFront40,OriginalNonTarget,HubMixed,,HubMixed,0.955,10,6,5,0.825,0.276,True,.worktrees/nutation-hub-maze-mixed
28,direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06,c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,FixedFront40,OriginalNonTarget,peel_mid,rail_chain,Hard,0.987,10,6,4,0.818,0.28,False,
30,direct_diff120_42_direct_diff_normal_room_gate_double_room_lock_g0_v01,campaign500_normal_full_v1_s46_s50_tail_09_nutation_mixed_neutral_v1_rect_s46_o457_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_09_nutation_mixed_neutral_v1_rect_s46_o457_v02_neutralmixed_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,FixedFront40,OriginalNonTarget,flow_continuous,patch_chain,NormalFlow,0.976,10,4,4,0.805,0.178,False,
33,direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03,nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30TransformWidePool/nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,FixedFront40,OriginalNonTarget,HubMixed,,HubMixed,0.935,10,6,5,0.82,0.277,True,.worktrees/nutation-hub-maze-mixed
