metric,value,details
front300_normal_total,210,
front300_normal_active_replace,210,
front300_normal_keep_current,0,
total_active_replacements,381,
total_remaining_gaps,9,
active_source_pool,145,Campaign500_HardGateUntil0910
active_source_pool,99,ShapeMaskInventory
active_source_pool,36,NutationLongChainStrict60
active_source_pool,28,Campaign500NormalFullV1UnusedStrict
active_source_pool,24,ExternalHardGateDedupFront300
active_source_pool,23,HubMixedRefill30Front300
active_source_pool,15,SeedV5LongChain30Front300
active_source_pool,5,NutationLongChainStrict60Front300
active_source_pool,4,HubMixedStrict30Refill
active_source_pool,1,SeedV5LongChainExact30
active_source_pool,1,Campaign500NormalFullV1ExactVariant
front300_v2_new_source_pool,28,Campaign500NormalFullV1UnusedStrict
front300_v2_new_source_pool,24,ExternalHardGateDedupFront300
front300_v2_new_source_pool,23,HubMixedRefill30Front300
front300_v2_new_source_pool,15,SeedV5LongChain30Front300
front300_v2_new_source_pool,5,NutationLongChainStrict60Front300
front300_v2_role_source,13,Normal|Campaign500NormalFullV1UnusedStrict
front300_v2_role_source,12,Recovery|HubMixedRefill30Front300
front300_v2_role_source,11,Recovery|Campaign500NormalFullV1UnusedStrict
front300_v2_role_source,11,Normal|HubMixedRefill30Front300
front300_v2_role_source,9,Normal|ExternalHardGateDedupFront300
front300_v2_role_source,8,Pressure|ExternalHardGateDedupFront300
front300_v2_role_source,6,Normal|SeedV5LongChain30Front300
front300_v2_role_source,4,FixedFront40|Campaign500NormalFullV1UnusedStrict
front300_v2_role_source,4,Pressure|SeedV5LongChain30Front300
front300_v2_role_source,4,Pressure|NutationLongChainStrict60Front300
front300_v2_role_source,3,Recovery|ExternalHardGateDedupFront300
front300_v2_role_source,3,Recovery|SeedV5LongChain30Front300
front300_v2_role_source,2,FixedFront40|ExternalHardGateDedupFront300
front300_v2_role_source,2,Peak|SeedV5LongChain30Front300
front300_v2_role_source,2,Peak|ExternalHardGateDedupFront300
front300_v2_role_source,1,Peak|NutationLongChainStrict60Front300
