"order","levelName","roleInSection","experienceRole","productionLane","productionDifficultyBand","finalStatus","originalLevelId","originalAssetPath"
"1","Main/Level_Main_1","","Normal","","","OriginalNonTarget","tutorial_simple_01_hi","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L001_tutorial_simple_01_hi.asset"
"7","Main/Level_Main_7","","Normal","","","OriginalNonTarget","nomask_style_expansion_08_double_room_lock_b","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L007_nomask_style_expansion_08_double_room_lock_b.asset"
"12","Main/Level_Main_12","","Normal","","","OriginalNonTarget","nomask_style_expansion_23_center_cross_b","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L012_nomask_style_expansion_23_center_cross_b.asset"
"14","Main/Level_Main_14","","Normal","","","OriginalNonTarget","nomask_06_sweep","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L014_nomask_06_sweep.asset"
"15","Main/Level_Main_15","","Normal","","","OriginalNonTarget","direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L015_direct_pure_topup_02_15_direct_refresh_topup_rect_.asset"
"18","Main/Level_Main_18","","Normal","","","OriginalNonTarget","nomask_style_10_zig_river","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L018_nomask_style_10_zig_river.asset"
"24","Main/Level_Main_24","","FixedFront40","","","OriginalNonTarget","direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L024_direct_pure_topup_05_02_direct_normal_pure_rect_se.asset"
"28","Main/Level_Main_28","","FixedFront40","","","OriginalNonTarget","direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L028_direct_pure_topup_02_24_direct_refresh_topup_rect_.asset"
"30","Main/Level_Main_30","","FixedFront40","","","OriginalNonTarget","direct_diff120_42_direct_diff_normal_room_gate_double_room_lock_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L030_direct_diff120_42_direct_diff_normal_room_gate_dou.asset"
"33","Main/Level_Main_33","","FixedFront40","","","OriginalNonTarget","direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L033_direct_pure_topup_04_17_direct_normal_pure_rect_ou.asset"
"34","Main/Level_Main_34","","FixedFront40","","","OriginalNonTarget","direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L034_direct_pure_topup_04_03_direct_normal_pure_rect_lo.asset"
"36","Main/Level_Main_36","","FixedFront40","","","OriginalNonTarget","direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L036_direct_pure_normal_extra_01_12_direct_normal_pure_.asset"
"42","Main/Level_Main_42","","Normal","","","OriginalNonTarget","direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L042_direct_pure_topup_04_12_direct_normal_pure_rect_de.asset"
"45","Main/Level_Main_45","","Recovery","","","OriginalNonTarget","direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L045_direct_pure_topup_05_03_direct_normal_pure_rect_lo.asset"
"49","Main/Level_Main_49","","Pressure","","","OriginalNonTarget","direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L049_direct_pure_normal_extra_01_23_direct_normal_pure_.asset"
"51","Main/Level_Main_51","","Recovery","","","OriginalNonTarget","direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L051_direct_pure_topup_06_08_direct_normal_pure_rect_ma.asset"
"55","Main/Level_Main_55","","Normal","","","OriginalNonTarget","direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L055_direct_pure_normal_extra_01_13_direct_normal_pure_.asset"
"59","Main/Level_Main_59","","Peak","","","OriginalNonTarget","direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L059_direct_pure_topup_04_11_direct_normal_pure_rect_lo.asset"
"64","Main/Level_Main_64","","Normal","","","OriginalNonTarget","nomask_style_expansion_20_long_corridor_b","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L064_nomask_style_expansion_20_long_corridor_b.asset"
"66","Main/Level_Main_66","","Recovery","","","OriginalNonTarget","direct_pure_topup_04_21_direct_normal_pure_rect_sweep_g8_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L066_direct_pure_topup_04_21_direct_normal_pure_rect_sw.asset"
"69","Main/Level_Main_69","","Pressure","","","OriginalNonTarget","direct_normal_48_direct_normal_rect_stair_push_g4_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L069_direct_normal_48_direct_normal_rect_stair_push_g4_.asset"
"74","Main/Level_Main_74","","Normal","","","OriginalNonTarget","direct_pure_normal_extra_01_21_direct_normal_pure_extra_rect_dual_zone_g17_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L074_direct_pure_normal_extra_01_21_direct_normal_pure_.asset"
"76","Main/Level_Main_76","","Peak","","","OriginalNonTarget","direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L076_direct_pure_normal_extra_02_06_direct_normal_pure_.asset"
"80","Main/Level_Main_80","","Normal","","","OriginalNonTarget","direct_pure_topup_06_02_direct_normal_pure_rect_section_unlock_g6_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L080_direct_pure_topup_06_02_direct_normal_pure_rect_se.asset"
"84","Main/Level_Main_84","","Pressure","","","OriginalNonTarget","direct_pure_normal_extra_01_04_direct_normal_pure_extra_rect_core_burst_g15_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L084_direct_pure_normal_extra_01_04_direct_normal_pure_.asset"
"85","Main/Level_Main_85","","Recovery","","","OriginalNonTarget","direct_pure_topup_04_08_direct_normal_pure_rect_maze_long_chain_g6_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L085_direct_pure_topup_04_08_direct_normal_pure_rect_ma.asset"
"88","Main/Level_Main_88","","Pressure","","","OriginalNonTarget","direct_normal_28_direct_normal_rect_stair_push_g2_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L088_direct_normal_28_direct_normal_rect_stair_push_g2_.asset"
"94","Main/Level_Main_94","","Pressure","","","OriginalNonTarget","direct_normal_112_direct_normal_rect_section_unlock_g5_v12","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L094_direct_normal_112_direct_normal_rect_section_unloc.asset"
"95","Main/Level_Main_95","","Normal","","","OriginalNonTarget","direct_pure_topup_02_04_direct_refresh_topup_rect_dense_weave_g3_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L095_direct_pure_topup_02_04_direct_refresh_topup_rect_.asset"
"99","Main/Level_Main_99","","Normal","","","OriginalNonTarget","direct_normal_topup_07_direct_normal_topup_rect_quasi_symmetry_g6_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L099_direct_normal_topup_07_direct_normal_topup_rect_qu.asset"
"104","Main/Level_Main_104","","Pressure","","","OriginalNonTarget","direct_normal_topup_20_direct_normal_topup_rect_core_burst_g8_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L104_direct_normal_topup_20_direct_normal_topup_rect_co.asset"
"107","Main/Level_Main_107","","Peak","","","OriginalNonTarget","direct_normal_53_direct_normal_rect_lock_buckle_g5_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L107_direct_normal_53_direct_normal_rect_lock_buckle_g5.asset"
"110","Main/Level_Main_110","","Recovery","","","OriginalNonTarget","direct_normal_72_direct_normal_rect_section_unlock_g1_v08","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L110_direct_normal_72_direct_normal_rect_section_unlock.asset"
"114","Main/Level_Main_114","","Recovery","","","OriginalNonTarget","direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L114_direct_pure_topup_04_16_direct_normal_pure_rect_ma.asset"
"119","Main/Level_Main_119","","Peak","","","OriginalNonTarget","direct_normal_32_direct_normal_rect_section_unlock_g3_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L119_direct_normal_32_direct_normal_rect_section_unlock.asset"
"120","Main/Level_Main_120","","Recovery","","","OriginalNonTarget","direct_normal_65_direct_normal_rect_sweep_g0_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L120_direct_normal_65_direct_normal_rect_sweep_g0_v07.asset"
"122","Main/Level_Main_122","","Normal","","","OriginalNonTarget","direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L122_direct_pure_normal_extra_01_19_direct_normal_pure_.asset"
"124","Main/Level_Main_124","","Normal","","","OriginalNonTarget","direct_diff120_56_direct_diff_normal_dag_unlock_center_cross_g3_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L124_direct_diff120_56_direct_diff_normal_dag_unlock_ce.asset"
"130","Main/Level_Main_130","","Normal","","","OriginalNonTarget","direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L130_direct_pure_topup_06_07_direct_normal_pure_rect_du.asset"
"131","Main/Level_Main_131","","Normal","","","OriginalNonTarget","direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L131_direct_pure_topup_04_01_direct_normal_pure_rect_ou.asset"
"132","Main/Level_Main_132","","Pressure","","","OriginalNonTarget","direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L132_direct_pure_topup_04_22_direct_normal_pure_rect_co.asset"
"139","Main/Level_Main_139","","Recovery","","","OriginalNonTarget","direct_normal_68_direct_normal_rect_stair_push_g0_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L139_direct_normal_68_direct_normal_rect_stair_push_g0_.asset"
"141","Main/Level_Main_141","","Recovery","","","OriginalNonTarget","direct_normal_35_direct_normal_rect_sweep_g3_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L141_direct_normal_35_direct_normal_rect_sweep_g3_v04.asset"
"144","Main/Level_Main_144","","Pressure","","","OriginalNonTarget","direct_normal_103_direct_normal_rect_lock_buckle_g4_v11","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L144_direct_normal_103_direct_normal_rect_lock_buckle_g.asset"
"150","Main/Level_Main_150","","Normal","","","OriginalNonTarget","direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L150_direct_normal_topup_65_direct_normal_topup_rect_se.asset"
"156","Main/Level_Main_156","","Peak","","","OriginalNonTarget","direct_diff120_55_direct_diff_normal_near_square_stair_ladder_g3_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L156_direct_diff120_55_direct_diff_normal_near_square_s.asset"
"157","Main/Level_Main_157","","Recovery","","","OriginalNonTarget","direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L157_direct_pure_topup_06_05_direct_normal_pure_rect_sw.asset"
"159","Main/Level_Main_159","","Normal","","","OriginalNonTarget","direct_normal_137_direct_normal_rect_dual_zone_g1_v14","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L159_direct_normal_137_direct_normal_rect_dual_zone_g1_.asset"
"162","Main/Level_Main_162","","Normal","","","OriginalNonTarget","direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L162_direct_pure_topup_06_04_direct_normal_pure_rect_de.asset"
"164","Main/Level_Main_164","","Pressure","","","OriginalNonTarget","direct_normal_topup_18_direct_normal_topup_rect_lock_buckle_g8_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L164_direct_normal_topup_18_direct_normal_topup_rect_lo.asset"
