"order","pool","srcRoot","rel","srcExists","srcMetaExists","dstExists","dstMetaExists","same","metaSame","status"
"4","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset","True","True","False","False","False","False","copy_needed"
"6","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset","True","True","False","False","False","False","copy_needed"
"9","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset","True","True","False","False","False","False","copy_needed"
"11","SeedV5LongChainExact30",".worktrees/campaign500-longchain-prod200-pool","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_09_l011_long_normal_a_normal_s02_slot_seedmaze_chamber_corridor.asset","True","True","False","False","False","False","copy_needed"
"13","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset","True","True","False","False","False","False","copy_needed"
"23","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset","True","True","False","False","False","False","copy_needed"
"27","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_02_L027_crownvarianta.asset","True","True","False","False","False","False","copy_needed"
"32","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_03_L032_wavecrest.asset","True","True","False","False","False","False","copy_needed"
"38","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section.asset","True","True","False","False","False","False","copy_needed"
"40","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_06_nutation_longchain_rail_v1_rect_c80hf3_02_d1_maze_rail.asset","True","True","False","False","False","False","copy_needed"
"43","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_05_L043_sunglasses.asset","True","True","False","False","False","False","copy_needed"
"48","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_06_L048_kite.asset","True","True","False","False","False","False","copy_needed"
"53","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_07_L053_camera.asset","True","True","False","False","False","False","copy_needed"
"58","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_04_L058_bicycle_dense.asset","True","True","False","False","False","False","copy_needed"
"63","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_09_L063_sailboat.asset","True","True","False","False","False","False","copy_needed"
"67","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_10_L067_pager.asset","True","True","False","False","False","False","copy_needed"
"72","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_06_nutation_longchain_rail_v1_rect_c80hf2_02_d1_maze_rail.asset","True","True","False","False","False","False","copy_needed"
"78","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_07_L078_pencil_section.asset","True","True","False","False","False","False","copy_needed"
