"order","rel","action","reason","assetCopied","metaCopied"
"4","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset","processed","copied","True","True"
"6","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset","processed","copied","True","True"
"9","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset","processed","copied","True","True"
"11","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_09_l011_long_normal_a_normal_s02_slot_seedmaze_chamber_corridor.asset","processed","copied","True","True"
"13","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset","processed","copied","True","True"
"23","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset","processed","copied","True","True"
"27","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_02_L027_crownvarianta.asset","processed","copied","True","True"
"32","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_03_L032_wavecrest.asset","processed","copied","True","True"
"38","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section.asset","processed","copied","True","True"
"40","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_06_nutation_longchain_rail_v1_rect_c80hf3_02_d1_maze_rail.asset","processed","copied","True","True"
"43","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_05_L043_sunglasses.asset","processed","copied","True","True"
"48","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_06_L048_kite.asset","processed","copied","True","True"
"53","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_07_L053_camera.asset","processed","copied","True","True"
"58","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_04_L058_bicycle_dense.asset","processed","copied","True","True"
"63","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_09_L063_sailboat.asset","processed","copied","True","True"
"67","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_10_L067_pager.asset","processed","copied","True","True"
"72","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_06_nutation_longchain_rail_v1_rect_c80hf2_02_d1_maze_rail.asset","processed","copied","True","True"
"78","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_07_L078_pencil_section.asset","processed","copied","True","True"
"83","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_02_L083_ballmouse.asset","processed","copied","True","True"
"87","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_03_L087_racingkart.asset","processed","copied","True","True"
"90","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_02_nutation_longchain_rail_v1_rect_c80hf_01_d1_lock_rail.asset","processed","copied","True","True"
"93","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_11_L093_wrappedcandy_sweep.asset","processed","copied","True","True"
"97","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_01_nutation_longchain_curve_v1_rect_c80hf_01_d1_lock_curve.asset","processed","copied","True","True"
"98","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_05_L098_phonehandset.asset","processed","copied","True","True"
"103","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_14_L103_paperplane_core.asset","processed","copied","True","True"
"108","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_16_L108_hammer_lock.asset","processed","copied","True","True"
"113","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_08_L113_lightningbolt.asset","processed","copied","True","True"
"118","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_19_L118_carrot_section.asset","processed","copied","True","True"
"123","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_22_L123_car_core.asset","processed","copied","True","True"
"127","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_25_L127_mushroom_lock.asset","processed","copied","True","True"
"133","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_03_L133_musicnote.asset","processed","copied","True","True"
"138","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_04_L138_bowlingpin.asset","processed","copied","True","True"
"143","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_30_L143_watermelonslice_dense.asset","processed","copied","True","True"
"147","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_06_L147_caveentrance.asset","processed","copied","True","True"
"153","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_07_L153_pumpkin.asset","processed","copied","True","True"
"154","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_20_nutation_longchain_spine_v1_rect_c80hf3_05_d1_section_spine.asset","processed","copied_asset_no_source_meta","True","False"
"158","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_08_L158_starfish.asset","processed","copied","True","True"
"163","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_02_L163_ring_r2dense.asset","processed","copied","True","True"
"168","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_39_L168_brickcellphone_lock.asset","processed","copied","True","True"
"173","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_05_L173_teapot_r2dense.asset","processed","copied","True","True"
"178","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_44_L178_shell_core.asset","processed","copied","True","True"
"183","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_46_L183_airplane_sweep.asset","processed","copied","True","True"
"185","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_08_nutation_longchain_spine_v1_rect_c80hf_02_d1_maze_spine.asset","processed","copied","True","True"
"187","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_07_L187_waterdrop_r2core.asset","processed","copied","True","True"
"189","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_14_nutation_longchain_rail_v1_rect_c80hf2_04_d1_core_rail.asset","processed","copied","True","True"
"193","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10C/campaign500_shape_psg_next10c_05_L193_robothead.asset","processed","copied","True","True"
"198","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10C/campaign500_shape_psg_next10c_06_L198_headphones.asset","processed","copied","True","True"
"203","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10C/campaign500_shape_psg_next10c_07_L203_microphone.asset","processed","copied","True","True"
