"order","section10","roleInSection","productionLane","productionChainLanguage","assemblySourcePool","assemblyGateClass","assemblyCandidateWidth","assemblyCandidateHeight","assemblyCandidateChains","assemblyCandidateMaxChain","assemblyCandidateAvgChoices","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","assemblyCandidateChainLanguage","finalLevelId"
"8","1","Hard","PeelMid","curve_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","5","5","0.912","curve_chain","c5nep_w4pl_04_nutation_peel_rect_s01_o008_v03_peellight_curve_chain"
"10","1","Peak","PeelHard","rail_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","4","4","0.835","rail_chain","c5nep_w11a_01_nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain"
"16","2","Hard","PeelMid","rail_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","8","6","5","0.848","rail_chain","c5nep_w4pl_06_nutation_peel_rect_s02_o016_v01_peellight_curve_chain"
"19","2","Peak","PeelHard","rail_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","9","5","5","0.894","rail_chain","c5nep_w11b_04_nutation_strict_mixed_hard_v1_rect_s02_o019_v03_strictmixedhard_mixed_chain"
"25","3","Hard","","","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","5","5","0.931","","c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1"
"29","3","Peak","PeelHard","rail_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","3","3","0.886","rail_chain","c5nep_w9smp_02_nutation_strict_mixed_peak_v1_rect_s03_o029_v01_strictmixedpeak_mixed_chain"
"39","4","Peak","","","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","7","3","0.868","","c5hole_lowchoice_v1_h01r_19_nutation_strict_mixed_peak_v1_rect_s04_o039_v00_strictmixedpeak_strict_peak_chain_hf1"
"40","4","Hard","PeelMid","rail_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","23","31","59","22","4.78","7","6","2","0.903","rail_chain","nutation_longchain_candidate80_holefix_s3_v1_06_nutation_longchain_rail_v1_rect_c80hf3_02_d1_maze_rail"
"44","5","Hard","PeelMid","curve_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","4","3","0.862","curve_chain","c5nep_w9smh_06_nutation_strict_mixed_hard_v1_rect_s05_o044_v01_strictmixedhard_mixed_chain"
"47","5","Peak","","","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","11","6","3","0.846","","c5hole_lowchoice_v1_h01r_36_nutation_strict_mixed_peak_v1_rect_s05_o047_v05_strictmixedpeak_strict_peak_chain_hf1"
"52","6","Hard","PeelMid","rail_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","5","3","0.851","rail_chain","campaign500_normal_full_v1_s01_s13_67_nutation_peel_rail_v1_rect_s06_o052_v00_peelmid_rail_chain"
"56","6","Peak","","","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","7","6","4","0.893","","c5hole_lowchoice_v1_h01r_37_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1"
"65","7","Peak","PeelHard","rail_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","9","4","4","0.82","rail_chain","c5nep_w9smp_06_nutation_strict_mixed_peak_v1_rect_s07_o065_v01_strictmixedpeak_mixed_chain"
"70","7","Hard","","","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","7","5","5","0.885","","c5hole_lowchoice_v1_h02r_10_nutation_strict_mixed_hard_v1_rect_s07_o070_v03_strictmixedhard_strict_hard_chain_hf1"
"72","8","Peak","PeelHard","rail_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","23","31","63","22","4.68","7","5","2","0.854","rail_chain","nutation_longchain_candidate80_holefix_s2_v1_06_nutation_longchain_rail_v1_rect_c80hf2_02_d1_maze_rail"
"75","8","Hard","PeelMid","curve_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","9","5","3","0.854","curve_chain","campaign500_normal_full_v1_s01_s13_91_nutation_peel_v2_rect_s08_o075_v00_peelmid_curve_chain"
"89","9","Peak","","","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","9","6","3","0.926","","c5hole_lowchoice_v1_h02r_34_nutation_strict_mixed_peak_v1_rect_s09_o089_v03_strictmixedpeak_strict_peak_chain_hf1"
"90","9","Hard","PeelMid","rail_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","22","30","55","22","4.02","7","6","3","0.875","rail_chain","nutation_longchain_candidate80_holefix_v1_02_nutation_longchain_rail_v1_rect_c80hf_01_d1_lock_rail"
"96","10","Peak","","","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","4","3","0.858","","campaign500_normal_full_v1_s01_s13_118_nutation_peel_v2_rect_s10_o096_v00_peelhard_curve_chain"
"97","10","Hard","PeelMid","curve_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","22","30","57","23","4.58","8","3","3","0.887","curve_chain","nutation_longchain_candidate80_holefix_v1_01_nutation_longchain_curve_v1_rect_c80hf_01_d1_lock_curve"
"105","11","Hard","","","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","6","4","0.87","","c5hole_lowchoice_v1_h02r_38_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v01_strictmixedaxisbreak_axis_break_chain_hf1"
"109","11","Peak","PeelHard","curve_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","7","2","0.9","curve_chain","c5nep_w11c_01_nutation_strict_mixed_hard_v1_rect_s11_o109_v00_strictmixedhard_mixed_chain"
"112","12","Peak","","","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","8","5","4","0.919","","c5hole_lowchoice_v1_h03r_11_nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1"
"116","12","Hard","PeelMid","rail_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","9","4","3","0.875","rail_chain","c5nep_w9smh_10_nutation_strict_mixed_hard_v1_rect_s12_o116_v01_strictmixedhard_mixed_chain"
"125","13","Hard","PeelMid","rail_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","8","6","5","0.865","rail_chain","c5nep_w10smh_03_nutation_strict_mixed_hard_v1_rect_s13_o125_v02_strictmixedhard_mixed_chain"
"129","13","Peak","","","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","6","3","0.866","","c5hole_lowchoice_v1_h03r_13_nutation_strict_mixed_axisbreak_v1_rect_s13_o129_v00_strictmixedaxisbreak_axis_break_chain_hf1"
"136","14","Peak","","","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","8","4","4","0.905","","c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1"
"140","14","Hard","PeelMid","curve_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","6","3","0.87","curve_chain","c5nep_w10smh_07_nutation_strict_mixed_hard_v1_rect_s14_o140_v02_strictmixedhard_mixed_chain"
"148","15","Hard","","","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","9","5","4","0.888","","c5hole_lowchoice_v1_h03r_38_nutation_strict_mixed_choiceclamp_v1_rect_s15_o148_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1"
"149","15","Peak","PeelHard","rail_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","9","6","4","0.868","rail_chain","c5nep_w13a_01_nutation_strict_mixed_axisbreak_v1_rect_s15_o149_v00_strictmixedaxisbreak_axis_break_chain"
"152","16","Hard","","","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","8","3","3","0.907","","c5hole_lowchoice_v1_h04r_09_nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1"
"154","16","Peak","PeelHard","curve_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","25","34","60","26","3.25","6","5","5","0.893","spine_chain","nutation_longchain_candidate80_holefix_s3_v1_20_nutation_longchain_spine_v1_rect_c80hf3_05_d1_section_spine"
"166","17","Hard","","","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","6","4","0.916","","c5hole_lowchoice_v1_h04r_18_nutation_strict_mixed_choiceclamp_v1_rect_s17_o166_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1"
"169","17","Peak","PeelHard","rail_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","4","3","0.937","rail_chain","c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain"
"172","18","Hard","","","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","7","6","6","0.845","","c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1"
"179","18","Peak","PeelHard","rail_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","9","7","4","0.879","rail_chain","c5nep_w10smp_24_nutation_strict_mixed_peak_v1_rect_s18_o179_v03_strictmixedpeak_mixed_chain"
"185","19","Hard","PeelMid","curve_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","23","31","49","26","4.33","9","6","6","0.881","spine_chain","nutation_longchain_candidate80_holefix_v1_08_nutation_longchain_spine_v1_rect_c80hf_02_d1_maze_spine"
"189","19","Peak","PeelHard","rail_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","24","34","66","22","4.33","7","4","4","0.886","rail_chain","nutation_longchain_candidate80_holefix_s2_v1_14_nutation_longchain_rail_v1_rect_c80hf2_04_d1_core_rail"
"196","20","Peak","","","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","11","7","3","0.842","","c5hole_lowchoice_v1_h05r_05_nutation_strict_mixed_choiceclamp_v1_rect_s20_o196_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1"
"199","20","Hard","PeelMid","curve_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","5","3","0.88","curve_chain","c5nep_w10smh_12_nutation_strict_mixed_hard_v1_rect_s20_o199_v03_strictmixedhard_mixed_chain"
"208","21","Hard","PeelMid","rail_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","23","31","60","22","4.85","9","4","4","0.921","rail_chain","nutation_longchain_candidate80_holefix_v1_06_nutation_longchain_rail_v1_rect_c80hf_02_d1_maze_rail"
"209","21","Peak","PressurePeak","mixed_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","6","6","0.833","mixed_chain","c5nep_w13a_16_nutation_strict_mixed_axisbreak_v1_rect_s21_o209_v03_strictmixedaxisbreak_axis_break_chain"
"216","22","Peak","PressurePeak","mixed_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","9","5","5","0.85","mixed_chain","c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain"
"219","22","Hard","PeelMid","curve_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","23","31","64","22","5.77","9","5","3","0.889","curve_chain","nutation_longchain_candidate80_holefix_s3_v1_05_nutation_longchain_curve_v1_rect_c80hf3_02_d1_maze_curve"
"221","23","Hard","PeelMid","rail_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","23","31","57","26","4.6","8","6","3","0.848","spine_chain","nutation_longchain_candidate80_holefix_s3_v1_08_nutation_longchain_spine_v1_rect_c80hf3_02_d1_maze_spine"
"227","23","Peak","PressurePeak","mixed_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","4","3","0.884","mixed_chain","c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain"
"236","24","Hard","PeelMid","rail_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","6","3","0.846","rail_chain","c5nep_w10smh_17_nutation_strict_mixed_hard_v1_rect_s24_o236_v00_strictmixedhard_mixed_chain"
"239","24","Peak","PressurePeak","mixed_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","25","34","66","23","5.47","8","5","3","0.899","curve_chain","nutation_longchain_candidate80_holefix_v1_17_nutation_longchain_curve_v1_rect_c80hf_05_d1_section_curve"
"245","25","Peak","PressurePeak","mixed_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","9","6","6","0.853","mixed_chain","c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain"
"249","25","Hard","PeelMid","rail_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","6","6","0.843","rail_chain","c5nep_w11d_14_nutation_strict_mixed_hard_v1_rect_s25_o249_v03_strictmixedhard_mixed_chain"
"252","26","Hard","PeelMid","rail_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","25","34","68","22","5.66","10","7","2","0.892","rail_chain","nutation_longchain_candidate80_holefix_v1_18_nutation_longchain_rail_v1_rect_c80hf_05_d1_section_rail"
"256","26","Peak","PressurePeak","mixed_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","8","4","3","0.859","mixed_chain","c5nep_w12a_14_nutation_strict_mixed_hard_v1_rect_s26_o256_v05_strictmixedhard_mixed_chain"
"264","27","Hard","PeelMid","rail_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","27","36","78","22","4.94","8","4","2","0.895","rail_chain","nutation_longchain_candidate80_holefix_v1_26_nutation_longchain_rail_v1_rect_c80hf_07_d2_maze_rail"
"269","27","Peak","PressurePeak","mixed_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","5","3","0.852","mixed_chain","c5nep_w11b_16_nutation_strict_mixed_hard_v1_rect_s27_o269_v00_strictmixedhard_mixed_chain"
"274","28","Hard","PeelMid","curve_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","24","32","66","23","5.68","9","5","5","0.918","curve_chain","nutation_longchain_candidate80_holefix_s3_v1_09_nutation_longchain_curve_v1_rect_c80hf3_03_d1_weave_curve"
