"order","section10","shapeId","candidateStatus","levelId","assetPath","maxChoices","localPatchRun","nearOuterRun","currentAssemblyAction","selectedInV1","reason"
"31","4","snowflake","FormalAccepted","campaign500_shape_psg_extra16_02_L031_snowflake_extra16sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgExtra16/campaign500_shape_psg_extra16_02_L031_snowflake_extra16sweep.asset","8","5","2","ActiveReplace","False","Allowed by user, but not selected in V1 because the same normal slot already has a stricter HardGate/active candidate or is better left for pacing."
"41","5","umbrella","FormalAccepted","campaign500_shape_psg_extra16_04_L041_umbrella_extra16section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgExtra16/campaign500_shape_psg_extra16_04_L041_umbrella_extra16section.asset","8","7","3","ActiveReplace","False","Allowed by user, but not selected in V1 because the same normal slot already has a stricter HardGate/active candidate or is better left for pacing."
"50","5","cupcake","FormalAccepted","campaign500_shape_psg_extra16_retry4_03_L050_cupcake_extra16r2denseA","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgExtra16Retry4/campaign500_shape_psg_extra16_retry4_03_L050_cupcake_extra16r2denseA.asset","9","7","3","ActiveReplace","False","Allowed by user, but not selected in V1 because the same normal slot already has a stricter HardGate/active candidate or is better left for pacing."
"60","6","ghost","FormalAccepted","campaign500_shape_psg_extra16_10_L060_ghost_extra16sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgExtra16/campaign500_shape_psg_extra16_10_L060_ghost_extra16sweep.asset","12","8","4","ActiveReplace","False","Allowed by user, but not selected in V1 because the same normal slot already has a stricter HardGate/active candidate or is better left for pacing."
"68","7","strawberry","FormalAccepted","campaign500_shape_psg_extra16_15_L068_strawberry_extra16dense","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgExtra16/campaign500_shape_psg_extra16_15_L068_strawberry_extra16dense.asset","8","6","2","ActiveReplace","False","Allowed by user, but not selected in V1 because the same normal slot already has a stricter HardGate/active candidate or is better left for pacing."
"79","8","gamepad","FormalAccepted","campaign500_shape_psg_extra16_18_L079_gamepad_extra16core","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgExtra16/campaign500_shape_psg_extra16_18_L079_gamepad_extra16core.asset","8","6","4","ActiveReplace","False","Allowed by user, but not selected in V1 because the same normal slot already has a stricter HardGate/active candidate or is better left for pacing."
"92","10","guitar","FormalAccepted","campaign500_shape_psg_extra16_20_L092_guitar_extra16sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgExtra16/campaign500_shape_psg_extra16_20_L092_guitar_extra16sweep.asset","8","5","1","ActiveReplace","False","Allowed by user, but not selected in V1 because the same normal slot already has a stricter HardGate/active candidate or is better left for pacing."
"102","11","flower","FormalAccepted","campaign500_shape_psg_extra16_23_L102_flower_extra16sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgExtra16/campaign500_shape_psg_extra16_23_L102_flower_extra16sweep.asset","11","6","3","ActiveReplace","False","Allowed by user, but not selected in V1 because the same normal slot already has a stricter HardGate/active candidate or is better left for pacing."
"115","12","medal","FormalAccepted","campaign500_shape_psg_extra16_27_L115_medal_extra16dual","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgExtra16/campaign500_shape_psg_extra16_27_L115_medal_extra16dual.asset","7","8","5","ActiveReplace","False","Allowed by user, but not selected in V1 because the same normal slot already has a stricter HardGate/active candidate or is better left for pacing."
"128","13","skateboard","FormalAccepted","campaign500_shape_psg_extra16_30_L128_skateboard_extra16dense","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgExtra16/campaign500_shape_psg_extra16_30_L128_skateboard_extra16dense.asset","7","7","1","ActiveReplace","False","Allowed by user, but not selected in V1 because the same normal slot already has a stricter HardGate/active candidate or is better left for pacing."
