"order","section10","mainMissionId","levelName","category","difficultyNameZh","experienceRole","roleInSection","finalStatus","finalLevelId","finalAssetPath","originalLevelId","originalAssetPath","replacementSourceKind","productionLane","productionChainLanguage","productionDifficultyBand","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax","assemblyAction","assemblySourcePool","assemblySourceRoot","assemblyGateClass","assemblySelectionReason","assemblyCopyRequired","assemblyCandidateLevelId","assemblyCandidateAssetPath","assemblyCandidateStyle","assemblyCandidateChainLanguage","assemblyCandidateRole","assemblyManualReview","assemblyRemainingGap","assemblyGapReason","assemblyCandidateWidth","assemblyCandidateHeight","assemblyCandidateChains","assemblyCandidateAvgChoices","assemblyCandidateMaxChain","assemblyCandidateAvgChain","assemblyCandidateStraightness","assemblyCandidateProfile"
"73","8","173","Main/Level_Main_73","shape","普通/恢复","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb08_06_compact_windmill","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L073_r2_outer_strong_005_r2_006_a401_maskonlyb08_06_com.asset","r2_outer_strong_005_r2_006_a401_maskonlyb08_06_compact_windmill","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L073_r2_outer_strong_005_r2_006_a401_maskonlyb08_06_com.asset","","","","","","","","","","","","","KeepOriginalShapeFallback","ShapeMaskInventory","main","ShapePendingGeneration","Shape candidate has no formal asset yet; keep original V11 level so every shape still has a playable level.","False","","","","","","True","True","shape_candidate_missing_asset","","","","","","","",""
"202","21","302","Main/Level_Main_202","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","OriginalTargetMissingHardGate","direct_pure_topup_06_09_direct_normal_pure_rect_outer_shell_g7_v08","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L202_direct_pure_topup_06_09_direct_normal_pure_rect_ou.asset","direct_pure_topup_06_09_direct_normal_pure_rect_outer_shell_g7_v08","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L202_direct_pure_topup_06_09_direct_normal_pure_rect_ou.asset","","FlowPatch","patch_chain","NormalFlow","","","","","","","","","KeepOriginalTargetGap","OriginalV11Fallback","main","NoStrictCandidateYet","No confirmed candidate under selected quality/stage rule; keep original and ask candidate sync to refill.","False","","","","","","False","True","normal_target_missing_after_first_assembly","","","","","","","",""
"206","21","306","Main/Level_Main_206","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","OriginalTargetMissingHardGate","direct_normal_topup_04_direct_normal_topup_rect_core_burst_g6_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L206_direct_normal_topup_04_direct_normal_topup_rect_co.asset","direct_normal_topup_04_direct_normal_topup_rect_core_burst_g6_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L206_direct_normal_topup_04_direct_normal_topup_rect_co.asset","","NeutralMixed","mixed_chain","NormalNeutral","","","","","","","","","KeepOriginalTargetGap","OriginalV11Fallback","main","NoStrictCandidateYet","No confirmed candidate under selected quality/stage rule; keep original and ask candidate sync to refill.","False","","","","","","False","True","normal_target_missing_after_first_assembly","","","","","","","",""
"231","24","331","Main/Level_Main_231","normal","普通/恢复","Recovery","NormalB_NeutralOrPeelLight","OriginalTargetMissingHardGate","direct_pure_normal_extra_03_08_direct_normal_pure_extra_rect_maze_long_chain_g15_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L231_direct_pure_normal_extra_03_08_direct_normal_pure_.asset","direct_pure_normal_extra_03_08_direct_normal_pure_extra_rect_maze_long_chain_g15_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L231_direct_pure_normal_extra_03_08_direct_normal_pure_.asset","","NeutralMixed","mixed_chain","NormalNeutral","","","","","","","","","KeepOriginalTargetGap","OriginalV11Fallback","main","NoStrictCandidateYet","No confirmed candidate under selected quality/stage rule; keep original and ask candidate sync to refill.","False","","","","","","False","True","normal_target_missing_after_first_assembly","","","","","","","",""
"248","25","348","Main/Level_Main_248","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","OriginalTargetMissingHardGate","direct_normal_07_direct_normal_rect_dual_zone_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L248_direct_normal_07_direct_normal_rect_dual_zone_g0_v.asset","direct_normal_07_direct_normal_rect_dual_zone_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L248_direct_normal_07_direct_normal_rect_dual_zone_g0_v.asset","","FlowCurve","curve_chain","NormalFlow","","","","","","","","","KeepOriginalTargetGap","OriginalV11Fallback","main","NoStrictCandidateYet","No confirmed candidate under selected quality/stage rule; keep original and ask candidate sync to refill.","False","","","","","","False","True","normal_target_missing_after_first_assembly","","","","","","","",""
"254","26","354","Main/Level_Main_254","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","OriginalTargetMissingHardGate","direct_normal_topup_38_direct_normal_topup_rect_stair_push_g10_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L254_direct_normal_topup_38_direct_normal_topup_rect_st.asset","direct_normal_topup_38_direct_normal_topup_rect_stair_push_g10_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L254_direct_normal_topup_38_direct_normal_topup_rect_st.asset","","FlowRail","rail_chain","NormalFlow","","","","","","","","","KeepOriginalTargetGap","OriginalV11Fallback","main","NoStrictCandidateYet","No confirmed candidate under selected quality/stage rule; keep original and ask candidate sync to refill.","False","","","","","","False","True","normal_target_missing_after_first_assembly","","","","","","","",""
"302","31","402","Main/Level_Main_302","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","OriginalTargetMissingHardGate","direct_normal_topup_51_direct_normal_topup_rect_dense_weave_g6_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L302_direct_normal_topup_51_direct_normal_topup_rect_de.asset","direct_normal_topup_51_direct_normal_topup_rect_dense_weave_g6_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L302_direct_normal_topup_51_direct_normal_topup_rect_de.asset","","FlowCurve","curve_chain","NormalFlow","","","","","","","","","KeepOriginalTargetGap","OriginalV11Fallback","main","NoStrictCandidateYet","No confirmed candidate under selected quality/stage rule; keep original and ask candidate sync to refill.","False","","","","","","False","True","normal_target_missing_after_first_assembly","","","","","","","",""
"326","33","426","Main/Level_Main_326","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","OriginalTargetMissingHardGate","direct_normal_topup_12_direct_normal_topup_rect_core_burst_g7_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L326_direct_normal_topup_12_direct_normal_topup_rect_co.asset","direct_normal_topup_12_direct_normal_topup_rect_core_burst_g7_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L326_direct_normal_topup_12_direct_normal_topup_rect_co.asset","","NeutralMixed","mixed_chain","NormalNeutral","","","","","","","","","KeepOriginalTargetGap","OriginalV11Fallback","main","NoStrictCandidateYet","No confirmed candidate under selected quality/stage rule; keep original and ask candidate sync to refill.","False","","","","","","False","True","normal_target_missing_after_first_assembly","","","","","","","",""
"390","39","490","Main/Level_Main_390","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","OriginalTargetMissingHardGate","direct_pure_topup_08_11_direct_polish_hard_pure_rect_dual_zone_g12_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L390_direct_pure_topup_08_11_direct_polish_hard_pure_re.asset","direct_pure_topup_08_11_direct_polish_hard_pure_rect_dual_zone_g12_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L390_direct_pure_topup_08_11_direct_polish_hard_pure_re.asset","","NeutralMixed","mixed_chain","NormalNeutral","","","","","","","","","KeepOriginalTargetGap","OriginalV11Fallback","main","NoStrictCandidateYet","No confirmed candidate under selected quality/stage rule; keep original and ask candidate sync to refill.","False","","","","","","False","True","normal_target_missing_after_first_assembly","","","","","","","",""
"397","40","497","Main/Level_Main_397","normal","普通/恢复","Recovery","NormalA_FlowOrNeutral","OriginalTargetMissingHardGate","direct_normal_topup_40_direct_normal_topup_rect_sweep_g10_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L397_direct_normal_topup_40_direct_normal_topup_rect_sw.asset","direct_normal_topup_40_direct_normal_topup_rect_sweep_g10_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L397_direct_normal_topup_40_direct_normal_topup_rect_sw.asset","","NeutralMixed","mixed_chain","NormalNeutral","","","","","","","","","KeepOriginalTargetGap","OriginalV11Fallback","main","NoStrictCandidateYet","No confirmed candidate under selected quality/stage rule; keep original and ask candidate sync to refill.","False","","","","","","False","True","normal_target_missing_after_first_assembly","","","","","","","",""
"431","44","531","Main/Level_Main_431","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","OriginalTargetMissingHardGate","direct_normal_54_direct_normal_rect_dense_weave_g5_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L431_direct_normal_54_direct_normal_rect_dense_weave_g5.asset","direct_normal_54_direct_normal_rect_dense_weave_g5_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L431_direct_normal_54_direct_normal_rect_dense_weave_g5.asset","","NeutralMixed","mixed_chain","NormalNeutral","","","","","","","","","KeepOriginalTargetGap","OriginalV11Fallback","main","NoStrictCandidateYet","No confirmed candidate under selected quality/stage rule; keep original and ask candidate sync to refill.","False","","","","","","False","True","normal_target_missing_after_first_assembly","","","","","","","",""
