"section10","activeReplacements","hardgate","shape","longchain","hubLocal9","seedV5","remainingGaps","hardPeakExternal"
"1","7","4","3","0","0","0","0","0"
"2","5","3","1","0","0","1","0","0"
"3","6","4","2","0","0","0","0","0"
"4","6","3","2","1","0","0","0","1"
"5","6","4","2","0","0","0","0","0"
"6","6","4","2","0","0","0","0","0"
"7","6","3","2","0","0","0","0","0"
"8","5","3","1","1","0","0","1","1"
"9","6","3","2","1","0","0","0","1"
"10","6","3","2","1","0","0","0","1"
"11","6","4","2","0","0","0","0","0"
"12","6","4","2","0","0","0","0","0"
"13","6","4","2","0","0","0","0","0"
"14","6","4","2","0","0","0","0","0"
"15","6","4","2","0","0","0","0","0"
"16","6","3","2","1","0","0","0","1"
"17","6","4","2","0","0","0","0","0"
"18","6","4","2","0","0","0","0","0"
"19","6","2","2","2","0","0","0","2"
"20","6","4","2","0","0","0","0","0"
"21","4","1","2","1","0","0","2","1"
"22","6","3","2","1","0","0","0","1"
"23","6","3","2","1","0","0","0","1"
"24","5","2","2","1","0","0","1","1"
"25","5","3","2","0","0","0","1","0"
"26","5","2","2","1","0","0","1","1"
"27","6","3","2","1","0","0","0","1"
"28","6","3","2","1","0","0","0","1"
"29","6","4","2","0","0","0","0","0"
"30","6","3","2","1","0","0","0","1"
"31","5","3","2","0","0","0","1","0"
"32","6","3","2","0","1","0","0","1"
"33","5","2","2","1","0","0","1","1"
"34","6","3","2","1","0","0","0","1"
"35","6","2","2","2","0","0","0","2"
"36","6","2","2","1","1","0","0","2"
"37","6","4","2","0","0","0","0","0"
"38","6","3","2","1","0","0","0","1"
"39","5","2","2","1","0","0","1","1"
"40","5","2","2","1","0","0","1","1"
"41","6","4","2","0","0","0","0","0"
"42","6","2","2","1","1","0","0","2"
"43","6","2","2","2","0","0","0","2"
"44","5","1","2","1","1","0","1","2"
"45","4","1","2","1","0","0","2","1"
"46","6","3","2","1","0","0","0","1"
"47","5","1","2","2","0","0","1","2"
"48","6","2","2","2","0","0","0","2"
"49","6","2","2","2","0","0","0","2"
"50","6","3","2","1","0","0","0","1"
