order,category,difficultyNameZh,sectionWaveRole,templateTargetChains,v3Action,v3LevelId,v4Action,v4LevelId,v4StyleGroup,v4ChainLanguage,v4ActualChains,v4EffectiveLoad,v4MaxChoices,v4Local,v4Sts,v4PlacementReason
1,normal,普通/恢复,Normal,6,ActiveReplace,campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain,KeepCurrent,tutorial_simple_01_hi,original,,,,,,,first_level_keep_current
2,hole,普通/恢复,HoleRescue,22,KeepCurrent,seed_Arrowz_level_035_holeblock_multiseed_final,KeepCurrent,seed_Arrowz_level_035_holeblock_multiseed_final,,,,,,,,unchanged_from_v3_or_non_normal
3,normal,普通/恢复,Normal,19,ActiveReplace,campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain,ActiveReplace,campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain,flow,rail_chain,36,36.51,7,3,0.809,target=19;stageTarget=19;effective=36.5;chains=36;role=Normal;style=flow;chain=rail_chain;cost=50.6
4,shape,普通/恢复,Shape,30,ActiveReplace,campaign500_shape_psg_newbie4_01_L004_crystalball,ActiveReplace,campaign500_shape_psg_newbie4_01_L004_crystalball,,,55,,8,8,,unchanged_from_v3_or_non_normal
5,normal,普通/恢复,Normal,26,ActiveReplace,campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain,ActiveReplace,campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain,flow,patch_chain,36,37.13,8,4,0.905,target=26;stageTarget=26;effective=37.1;chains=36;role=Normal;style=flow;chain=patch_chain;cost=52.4
6,shape,普通/恢复,Shape,32,ActiveReplace,campaign500_shape_psg_newbie4_02_L006_potionbottle,ActiveReplace,campaign500_shape_psg_newbie4_02_L006_potionbottle,,,53,,6,8,,unchanged_from_v3_or_non_normal
7,normal,普通/恢复,Normal,39,ActiveReplace,campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain,ActiveReplace,campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain,neutral,mixed_chain,50,51.15,8,5,0.851,target=39;stageTarget=39;effective=51.1;chains=50;role=Normal;style=neutral;chain=mixed_chain;cost=49.6
8,normal,普通/恢复,Hard,46,ActiveReplace,campaign500_normal_full_v1_s01_s13_66_nutation_mixed_neutral_v1_rect_s06_o057_v02_neutralmixed_mixed_chain,ActiveReplace,campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain,flow,patch_chain,46,45.68,7,3,0.94,target=46;stageTarget=46;effective=45.7;chains=46;role=Hard;style=flow;chain=patch_chain;cost=-9.1
9,shape,普通/恢复,Shape,32,ActiveReplace,campaign500_shape_psg_newbie4_03_L009_ruler,ActiveReplace,campaign500_shape_psg_newbie4_03_L009_ruler,,,34,,4,8,,unchanged_from_v3_or_non_normal
10,normal,困难,PeakExtreme,60,ActiveReplace,campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain,ActiveReplace,campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain,neutral,mixed_chain,52,53.84,6,4,0.833,target=60;stageTarget=48;effective=53.8;chains=52;role=PeakExtreme;style=neutral;chain=mixed_chain;cost=19.9
11,normal,普通/恢复,Normal,31,ActiveReplace,campaign500_normal_full_v1_s14_s26_28_nutation_mixed_neutral_v1_rect_s16_o155_v00_neutralmixed_mixed_chain,ActiveReplace,campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain,flow,rail_chain,34,36.92,7,6,0.907,target=31;stageTarget=31;effective=36.9;chains=34;role=Normal;style=flow;chain=rail_chain;cost=19.6
12,normal,普通/恢复,Normal,50,ActiveReplace,campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain,ActiveReplace,campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain,flow,patch_chain,48,49.78,9,3,0.932,target=50;stageTarget=50;effective=49.8;chains=48;role=Normal;style=flow;chain=patch_chain;cost=26.0
13,shape,普通/恢复,Shape,37,ActiveReplace,campaign500_shape_psg_newbie4_04_L013_magicwand,ActiveReplace,campaign500_shape_psg_newbie4_04_L013_magicwand,,,60,,9,8,,unchanged_from_v3_or_non_normal
