"order","section10","mainMissionId","levelName","category","difficultyNameZh","experienceRole","roleInSection","finalStatus","finalLevelId","finalAssetPath","originalLevelId","originalAssetPath","replacementSourceKind","productionLane","productionChainLanguage","productionDifficultyBand","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax","assemblyAction","assemblySourcePool","assemblySourceRoot","assemblyGateClass","assemblySelectionReason","assemblyCopyRequired","assemblyCandidateLevelId","assemblyCandidateAssetPath","assemblyCandidateStyle","assemblyCandidateChainLanguage","assemblyCandidateRole","assemblyManualReview","assemblyRemainingGap","assemblyGapReason","assemblyCandidateWidth","assemblyCandidateHeight","assemblyCandidateChains","assemblyCandidateAvgChoices","assemblyCandidateMaxChain","assemblyCandidateAvgChain","assemblyCandidateStraightness","assemblyCandidateProfile","templateTargetChains","templateTargetChainsMin","templateTargetChainsMax","templateTargetWidth","templateTargetHeight","actualChains","actualArrowTiles","actualMaxChain","actualAvgChain","effectiveChainLoad","sectionWaveRole","rhythmStageBand","rhythmPlacementReason","rhythmStyleGroup","rhythmChainDelta","rhythmEffectiveDelta","rhythmCandidateDifficultyScore"
"1","1","101","Main/Level_Main_1","normal","普通/恢复","Normal","","OriginalKeptRhythmV4","tutorial_simple_01_hi","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L001_tutorial_simple_01_hi.asset","tutorial_simple_01_hi","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L001_tutorial_simple_01_hi.asset","","","","","","","","","","","","","KeepCurrent","","basePreviewFallback","","rhythm_v4|first_level_keep_current|do_not_replace","False","","","","","","False","False","","","","","","","","","","6","6","6","10","7","","","","","","Normal","S00_front20_soft","first_level_keep_current","original","","",""
"2","1","102","Main/Level_Main_2_hole","hole","普通/恢复","HoleRescue","","OriginalNonTarget","seed_Arrowz_level_035_holeblock_multiseed_final","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L002_seed_Arrowz_level_035_holeblock_multiseed_final.asset","seed_Arrowz_level_035_holeblock_multiseed_final","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L002_seed_Arrowz_level_035_holeblock_multiseed_final.asset","","","","","","","","","","","","","KeepCurrent","","main","","","False","","","","","","False","False","","","","","","","","","","22","19","25","16","18","","","","","","HoleRescue","S00_front20_soft","unchanged_from_v3_or_non_normal","","","",""
"3","1","103","Main/Level_Main_3","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","ReplacedRhythmV4","campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset","level3_tiny_03_level3_tiny_mini_maze_17","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L003_level3_tiny_03_level3_tiny_mini_maze_17.asset","normal","FlowRail","rail_chain","NormalFlow","0.988","7","3","3","0.809","0.051","","","ActiveReplace","Campaign500NormalFullV1UnusedStrict","","RhythmV4Front300TraceKeep","rhythm_v4|target=19;stageTarget=19;effective=36.5;chains=36;role=Normal;style=flow;chain=rail_chain;cost=50.6","False","campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset","flow","rail_chain","NormalFlow","False","False","","18","24","36","","22","11.86","","11","19","16","22","9","14","36","427","22","11.86","36.51","Normal","S00_front20_soft","target=19;stageTarget=19;effective=36.5;chains=36;role=Normal;style=flow;chain=rail_chain;cost=50.6","flow","17.0","17.5","2.440"
"4","1","104","Main/Level_Main_4","shape","普通/恢复","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_newbie4_01_L004_crystalball","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset","r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L004_r2_outer_strong_005_r2_006_a401_earlyprop_01_early.asset","shape_psg_inventory","","","","0.989","8","8","6","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","FormalAccepted","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_newbie4_01_L004_crystalball","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset","CoreBurst","","NewbieTraceKeeper","False","False","","24","28","55","4.35","","","","CoreBurst","30","27","33","20","24","55","459","17","8.35","","Shape","S00_front20_soft","unchanged_from_v3_or_non_normal","","","",""
"5","1","105","Main/Level_Main_5","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedRhythmV4","campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset","nomask_style_01_hui_spiral","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L005_nomask_style_01_hui_spiral.asset","normal","FlowPatch","patch_chain","NormalFlow","0.993","8","4","3","0.905","0.181","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=26;stageTarget=26;effective=37.1;chains=36;role=Normal;style=flow;chain=patch_chain;cost=52.4","False","campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset","flow","patch_chain","NormalFlow","False","False","","18","24","36","","22","11.92","","81","26","23","29","16","23","36","429","22","11.92","37.13","Normal","S00_front20_soft","target=26;stageTarget=26;effective=37.1;chains=36;role=Normal;style=flow;chain=patch_chain;cost=52.4","flow","10.0","11.1","2.771"
"6","1","106","Main/Level_Main_6","shape","普通/恢复","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_newbie4_02_L006_potionbottle","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset","r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L006_r2_outer_strong_005_r2_006_a401_earlyprop_02_early.asset","shape_psg_inventory","","","","0.984","6","8","3","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","FormalAccepted","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_newbie4_02_L006_potionbottle","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset","DenseWeave","","NewbieTraceKeeper","False","False","","28","32","53","3.68","","","","DenseWeave","32","29","35","26","18","53","479","17","9.04","","Shape","S00_front20_soft","unchanged_from_v3_or_non_normal","","","",""
"7","1","107","Main/Level_Main_7","normal","普通/恢复","Normal","","ReplacedRhythmV4","campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset","nomask_style_expansion_08_double_room_lock_b","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L007_nomask_style_expansion_08_double_room_lock_b.asset","normal","NeutralMixed","mixed_chain","NormalNeutral","0.976","8","5","5","0.851","0.14","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=39;stageTarget=39;effective=51.1;chains=50;role=Normal;style=neutral;chain=mixed_chain;cost=49.6","False","campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset","neutral","mixed_chain","NormalNeutral","False","False","","20","27","50","","21","10.54","","20","39","36","42","18","24","50","527","21","10.54","51.15","Normal","S00_front20_soft","target=39;stageTarget=39;effective=51.1;chains=50;role=Normal;style=neutral;chain=mixed_chain;cost=49.6","neutral","11.0","12.1","3.322"
"8","1","108","Main/Level_Main_8","normal","普通/恢复","Normal","Hard","ReplacedRhythmV4","campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset","nomask_08_dual_zone","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L008_nomask_08_dual_zone.asset","normal","FlowPatch","patch_chain","NormalFlow","0.991","7","3","2","0.94","0.064","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=46;stageTarget=46;effective=45.7;chains=46;role=Hard;style=flow;chain=patch_chain;cost=-9.1","False","campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset","flow","patch_chain","NormalFlow","False","False","","20","27","46","","22","11.63","","145","46","42","50","16","22","46","535","22","11.63","45.68","Hard","S00_front20_soft","target=46;stageTarget=46;effective=45.7;chains=46;role=Hard;style=flow;chain=patch_chain;cost=-9.1","flow","0.0","-0.3","2.681"
"9","1","109","Main/Level_Main_9","shape","普通/恢复","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_newbie4_03_L009_ruler","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset","r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L009_r2_outer_strong_005_r2_006_a401_earlyprop_03_early.asset","shape_psg_inventory","","","","0.987","4","8","1","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","FormalAccepted","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_newbie4_03_L009_ruler","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset","SectionUnlock","","NewbieTraceKeeper","False","False","","26","26","34","2.71","","","","SectionUnlock","32","29","35","22","22","34","221","13","6.50","","Shape","S00_front20_soft","unchanged_from_v3_or_non_normal","","","",""
"10","1","110","Main/Level_Main_10","normal","困难","Normal","Peak","ReplacedRhythmV4","campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset","direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L010_direct_pure_topup_01_22_direct_refresh_topup_rect_.asset","normal","NeutralMixed","mixed_chain","NormalNeutral","0.98","6","4","2","0.833","0.194","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=60;stageTarget=48;effective=53.8;chains=52;role=PeakExtreme;style=neutral;chain=mixed_chain;cost=19.9","False","campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset","neutral","mixed_chain","NormalNeutral","False","False","","20","27","52","","21","10.17","","79","60","55","65","14","27","52","529","21","10.17","53.84","PeakExtreme","S00_front20_soft","target=60;stageTarget=48;effective=53.8;chains=52;role=PeakExtreme;style=neutral;chain=mixed_chain;cost=19.9","neutral","-8.0","5.8","2.944"
