"section10","difficultyBucket","count","initialChainAvg","currentChainAvg","currentMin","currentMax","orders"
"1","Hard","1","46","46","46","46","8"
"1","Ordinary","4","22.5","32","6","50","1|3|5|7"
"1","Peak","1","60","52","52","52","10"
"2","Hard","1","54","56","56","56","16"
"2","Ordinary","6","45","46","34","55","11|12|14|15|18|20"
"2","Peak","1","94","79","79","79","19"
"3","Hard","1","98","89","89","89","25"
"3","Ordinary","5","70.2","66.8","58","79","21|22|24|28|30"
"3","Peak","1","98","90","90","90","29"
"4","Hard","1","103","72","72","72","40"
"4","Ordinary","5","76","70.2","55","79","31|33|34|35|36"
"4","Peak","1","101","86","86","86","39"
"5","Hard","2","87.5","81.5","79","84","44|49"
"5","Ordinary","4","70.8","67","53","76","41|42|45|50"
"5","Peak","1","117","84","84","84","47"
"6","Hard","1","87","75","75","75","52"
"6","Ordinary","4","80.5","71","54","82","51|55|57|60"
"6","Peak","2","92.5","82","79","85","56|59"
"7","Hard","2","101.5","87.5","81","94","69|70"
"7","Ordinary","4","69.2","63.8","52","70","62|64|66|68"
"7","Peak","1","104","82","82","82","65"
"8","Hard","1","103","83","83","83","75"
"8","Ordinary","4","70.5","63","46","82","74|77|79|80"
"8","Peak","2","99","79","72","86","72|76"
"9","Hard","3","95.7","86.7","80","93","84|88|90"
"9","Ordinary","3","64.3","57.7","43","79","81|85|86"
"9","Peak","1","100","73","73","73","89"
"10","Hard","2","104.5","91","82","100","94|97"
"10","Ordinary","4","64.8","57.8","42","94","92|95|99|100"
"10","Peak","1","110","100","100","100","96"
"11","Hard","2","109.5","66.5","36","97","104|105"
"11","Ordinary","3","82.3","73.7","56","87","102|106|110"
"11","Peak","2","106.5","92","90","94","107|109"
"12","Hard","1","89","82","82","82","116"
"12","Ordinary","4","90.8","80.2","70","87","111|114|115|120"
"12","Peak","2","105","67.5","43","92","112|119"
"13","Hard","1","93","76","76","76","125"
"13","Ordinary","5","82.4","69.2","45","82","121|122|124|128|130"
"13","Peak","1","102","42","42","42","129"
"14","Hard","2","94","80.5","80","81","132|140"
"14","Ordinary","4","79.5","69.8","50","85","131|134|137|139"
"14","Peak","1","113","99","99","99","136"
"15","Hard","2","112","37","34","40","144|148"
"15","Ordinary","4","102","81","71","92","141|145|146|150"
"15","Peak","1","114","98","98","98","149"
"16","Hard","1","106","82","82","82","152"
"16","Ordinary","4","86","73.8","69","80","155|157|159|160"
"16","Peak","2","103.5","86.5","74","99","154|156"
"17","Hard","2","116.5","69","37","101","164|166"
"17","Ordinary","4","84.5","67.2","47","76","161|162|165|170"
"17","Peak","1","124","109","109","109","169"
"18","Hard","2","109","71.5","70","73","172|176"
"18","Ordinary","4","100.8","72.8","70","76","171|174|175|180"
"18","Peak","1","115","65","65","65","179"
"19","Hard","1","103","75","75","75","185"
"19","Ordinary","5","103.4","72","69","77","181|182|186|188|190"
"19","Peak","1","112","22","22","22","189"
"20","Hard","1","108","24","24","24","199"
"20","Ordinary","5","95.4","70.8","69","74","191|194|195|197|200"
"20","Peak","1","135","125","125","125","196"
"21","Hard","2","109","31","27","35","204|208"
"21","Ordinary","4","104.8","71","69","74","202|205|206|210"
"21","Peak","1","153","61","61","61","209"
"22","Hard","2","105","68","67","69","214|219"
"22","Ordinary","4","89.5","70.5","70","71","211|212|215|220"
"22","Peak","1","144","59","59","59","216"
"23","Hard","3","113.7","66.3","58","73","221|224|229"
"23","Ordinary","3","103.3","69.7","69","71","222|226|230"
"23","Peak","1","163","60","60","60","227"
"24","Hard","2","125","66","64","68","232|236"
"24","Ordinary","4","94.5","62.8","45","69","231|234|237|240"
"24","Peak","1","171","26","26","26","239"
"25","Hard","1","137","50","50","50","249"
"25","Ordinary","5","110.4","66.8","65","69","241|244|246|248|250"
"25","Peak","1","150","51","51","51","245"
"26","Hard","1","147","56","56","56","252"
"26","Ordinary","5","109","66.8","66","70","254|255|257|259|260"
"26","Peak","1","159","26","26","26","256"
"27","Hard","1","157","26","26","26","264"
"27","Ordinary","5","104.8","61","47","65","261|262|265|266|270"
"27","Peak","1","184","22","22","22","269"
"28","Hard","1","131","63","63","63","274"
"28","Ordinary","5","109.8","48.6","21","66","271|272|275|279|280"
"28","Peak","1","201","23","23","23","276"
"29","Hard","2","143.5","34","29","39","284|289"
"29","Ordinary","4","108.8","34","15","54","281|282|286|290"
"29","Peak","1","214","29","29","29","287"
"30","Hard","1","163","17","17","17","296"
"30","Ordinary","5","109","33.4","15","40","291|294|295|297|300"
"30","Peak","1","178","15","15","15","299"
"31","Hard","1","181","82","82","82","305"
"31","Ordinary","5","111.6","100.2","71","122","302|304|306|308|310"
"31","Peak","1","200","93","93","93","309"
"32","Hard","1","134","99","99","99","312"
"32","Ordinary","5","112","92.8","47","116","311|314|315|319|320"
"32","Peak","1","233","100","100","100","316"
"33","Hard","2","169.5","114","63","165","324|328"
"33","Ordinary","4","106.5","85.8","48","113","321|322|326|330"
"33","Peak","1","203","94","94","94","329"
"34","Hard","2","177","146","85","207","331|334"
"34","Ordinary","4","110.2","87","45","118","332|337|339|340"
"34","Peak","1","216","100","100","100","336"
"35","Hard","3","179","150.7","69","213","341|344|349"
"35","Ordinary","3","115.7","81","54","120","345|346|350"
"35","Peak","1","189","71","71","71","347"
"36","Hard","2","151","124.5","101","148","352|356"
"36","Ordinary","4","113.8","95","67","126","354|355|357|360"
"36","Peak","1","176","76","76","76","359"
"37","Hard","1","198","84","84","84","369"
"37","Ordinary","5","148.6","128.2","72","177","361|362|364|366|370"
"37","Peak","1","204","85","85","85","365"
"38","Hard","1","147","79","79","79","372"
"38","Ordinary","5","133.4","119","67","157","371|374|375|379|380"
"38","Peak","1","186","89","89","89","376"
"39","Hard","2","168","124","84","164","384|388"
"39","Ordinary","4","136.8","111.2","66","150","381|382|386|390"
"39","Peak","1","181","75","75","75","389"
"40","Hard","1","173","81","81","81","394"
"40","Ordinary","5","130.4","114.2","72","144","391|395|397|399|400"
"40","Peak","1","174","84","84","84","396"
"41","Hard","3","156.7","126.7","80","155","404|405|409"
"41","Ordinary","3","117.3","92.7","68","139","402|406|410"
"41","Peak","1","196","92","92","92","407"
"42","Hard","2","153.5","125","101","149","412|416"
"42","Ordinary","4","126.2","106.5","69","143","411|414|415|420"
"42","Peak","1","203","92","92","92","419"
"43","Hard","1","205","84","84","84","429"
"43","Ordinary","5","143","122.6","66","180","421|422|424|428|430"
"43","Peak","1","213","86","86","86","425"
"44","Hard","1","164","99","99","99","432"
"44","Ordinary","5","151.4","126.6","67","164","431|434|437|439|440"
"44","Peak","1","194","84","84","84","436"
"45","Hard","3","184","147.3","87","196","444|445|448"
"45","Ordinary","3","135.3","107.7","75","165","441|446|450"
"45","Peak","1","181","86","86","86","449"
"46","Hard","2","168","118.5","81","156","454|459"
"46","Ordinary","4","144","116.5","74","156","452|455|457|460"
"46","Peak","1","224","92","92","92","456"
"47","Hard","2","135.5","77","65","89","464|469"
"47","Ordinary","4","154.5","141.5","83","168","461|462|466|470"
"47","Peak","1","213","104","104","104","465"
"48","Hard","3","184","127","73","231","472|475|476"
"48","Ordinary","3","141.7","121.7","46","178","471|474|480"
"48","Peak","1","185","93","93","93","479"
"49","Hard","1","108","76","76","76","489"
"49","Ordinary","5","173","151.4","71","213","481|482|486|488|490"
"49","Peak","1","189","121","121","121","485"
"50","Hard","1","199","86","86","86","491"
"50","Ordinary","4","149.8","143.2","71","192","494|495|497|499"
"50","Peak","2","154","89.5","71","108","496|500"
