"order","section10","category","sectionWaveRole","difficultyBucket","experienceRole","difficultyNameZh","replacementMark","finalStatus","sourcePool","productionLane","productionChainLanguage","patchKind","initialAssetPath","currentAssetPath","initialGuid","currentGuid","initialWidth","initialHeight","initialArea","initialArrowCount","initialChainCount","currentWidth","currentHeight","currentArea","currentArrowCount","currentChainCount","currentCoverage","sourceCoverage","maxChoices","localPatchSolveRunMax","solveTraceQualityScore"
"1","1","normal","Normal","Ordinary","Normal","普通/恢复","KEPT_CURRENT","OriginalKeptRhythmV4","","","","","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","c7475ef21e814ea4a946ec2a0d7f304d","c7475ef21e814ea4a946ec2a0d7f304d","10","7","70","21","6","10","7","70","21","6","0.3","","","",""
"2","1","hole","HoleRescue","HoleRescue","HoleRescue","普通/恢复","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","9595af5f4e73af041850c0510d56c48c","9595af5f4e73af041850c0510d56c48c","16","18","288","130","22","16","18","288","130","22","0.4514","","","",""
"3","1","normal","Normal","Ordinary","Normal","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500NormalFullV1UnusedStrict","FlowRail","rail_chain","","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3TinyPreview/level3_tiny_03_level3_tiny_mini_maze_17.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset","cf4f0ee35c7141d40a8fe8ef2ef93ed8","3c91d272d5866a74d975240889939c30","9","14","126","122","19","18","24","432","427","36","0.9884","0.988","7","3","0.809"
"4","1","shape","Shape","Shape","Shape","普通/恢复","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset","184e146ce1f8e9341988c3dd9e0fb5e0","eaba78ee4bab22847a2ce9b36a31ec32","20","24","480","327","30","24","28","672","459","55","0.683","0.989","8","8",""
"5","1","normal","Normal","Ordinary","Normal","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset","b0906372515e5244aab0364e478ccbba","a4d9901d831f12143b6d996cc7b4a25a","16","23","368","364","26","18","24","432","429","36","0.9931","0.993","8","4","0.905"
"6","1","shape","Shape","Shape","Shape","普通/恢复","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset","135c3bbb9b229944b82df75754575c8c","7b12cc727e6e3f946867411a083f8502","26","18","468","369","32","28","32","896","479","53","0.5346","0.984","6","8",""
"7","1","normal","Normal","Ordinary","Normal","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_08_double_room_lock_b.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset","7018ce1bc440cd041a771ae7d90d958d","1428c7eb28f898345ab810eaf534c0ae","18","24","432","424","39","20","27","540","527","50","0.9759","0.976","8","5","0.851"
"8","1","normal","Hard","Hard","Normal","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset","369804ef619bf0746a914a2bc8762fce","e86dbea9763f7b54fa39c61d21a360ad","16","22","352","347","46","20","27","540","535","46","0.9907","0.991","7","3","0.94"
"9","1","shape","Shape","Shape","Shape","普通/恢复","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset","a48f5ef76e8085443a62ebfc08932b95","2225599075eb5c24f94f323070d3b62c","22","22","484","194","32","26","26","676","221","34","0.3269","0.987","4","8",""
"10","1","normal","PeakExtreme","Peak","Normal","困难","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset","36bb2d43d80639f448883f29034180f3","541351506e0f93941828e12b8235e728","14","27","378","372","60","20","27","540","529","52","0.9796","0.98","6","4","0.833"
"11","2","normal","Normal","Ordinary","Normal","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","FlowCurve","rail_chain","","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3ThirtyPreview/level3_thirty_03_level3_thirty_mini_maze_30.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset","7defae96a9c44e24caa0c3510808f0ff","1a39b1086109f7943b4bac5d221c1ecc","12","18","216","209","31","18","24","432","425","34","0.9838","0.984","7","6","0.907"
"12","2","normal","Normal","Ordinary","Normal","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_23_center_cross_b.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset","a23d560b6ece363499161d6134ecd889","18028b31c1437b5469b8b55fe7a1161b","17","24","408","400","50","20","27","540","535","48","0.9907","0.991","9","3","0.932"
"13","2","shape","Shape","Shape","Shape","普通/恢复","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset","4d4e7f2bac459454dbc3602de7442266","fd689808545c7f74aba24f8da94c56e5","24","24","576","201","37","44","44","1936","503","60","0.2598","0.982","9","8",""
"14","2","normal","Normal","Ordinary","Normal","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_06_sweep.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain.asset","796937ed0ddf7b749a3eb2297be51eaa","eecbe040883ddde4bb317d33533b439c","15","21","315","310","42","20","27","540","529","54","0.9796","0.98","8","5","0.83"
"15","2","normal","Normal","Ordinary","Normal","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","FlowCurve","curve_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset","3d51c921f7599414fbd52fdfec68a225","10f853e4f2acf2949bd42b92826aa221","14","26","364","355","53","20","27","540","530","55","0.9815","0.981","6","4","0.864"
"16","2","normal","Hard","Hard","Normal","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset","fa7752e9d59e1f843b5f550bf211e280","f3020586499c1b043b3557c066b863e2","15","29","435","426","54","20","27","540","526","56","0.9741","0.974","8","6","0.895"
"17","2","hole","HoleRescue","HoleRescue","HoleRescue","普通/恢复","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset","91c65810f3519934da8552fd7cd504a1","91c65810f3519934da8552fd7cd504a1","18","20","360","195","37","18","20","360","195","37","0.5417","","","",""
"18","2","normal","Normal","Ordinary","Normal","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_10_zig_river.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain.asset","bedf8c508f8438442bf31fc6cba1fadf","19b21044c0dab014ca8ad9119968f7d6","18","25","450","439","53","20","27","540","535","47","0.9907","0.991","9","6","0.908"
"19","2","normal","PeakExtreme","Peak","Normal","特别困难","REPLACED","ReplacedRhythmV4Final","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","strict_peak_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset","e8b47791cebd93b44a1c6b005336820e","925e54cf56adaf34b8d7e6f01e22d355","19","37","703","693","94","24","32","768","756","79","0.9844","","8","4","0.905"
"20","2","normal","Normal","Ordinary","Normal","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","FlowRail","rail_chain","","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_01_outer_shell.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset","7f6c9dd16b56752468feec834db6b733","50e5ed3f376fe3a45b1bd6b490b04776","15","22","330","327","41","18","24","432","428","38","0.9907","0.991","9","2","0.908"
"21","3","normal","Normal","Ordinary","FixedFront40","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_04_direct_diff_refresh_dag_unlock_stair_ladder_g0_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset","66ce4bb2d14b93a4182111c0a466c97f","145cf0cda4c002a4cbc51bed907e1dc8","17","24","408","398","59","20","27","540","537","60","0.9944","0.994","8","4","0.828"
"22","3","normal","Normal","Ordinary","FixedFront40","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_26_stair_ladder_a.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset","4256fa7637e2f8b43b19f862f1ce0e2c","a6aad120b9594f6468b724899496f6a5","16","24","384","379","55","20","27","540","536","58","0.9926","0.993","8","6","0.857"
"23","3","shape","FixedFront40","FixedFront40","FixedFront40","普通/恢复","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L023_train_compact.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset","223dd96a5c5126445b6b87084cffa934","9f2bda30d1d97484a9c98b1e3e7039b0","37","29","1073","728","69","37","29","1073","735","87","0.685","0.991","10","7",""
"24","3","normal","Normal","Ordinary","FixedFront40","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500NormalFullV1UnusedStrict","PeelMid","rail_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_36_nutation_peel_rail_v1_rect_s44_o432_v02_peelmid_rail_chain.asset","a0673711b897c2c4e897efdb4eeb9659","c84b959032ab68a4dbdf84d9276ecf03","18","37","666","655","82","25","33","825","817","79","0.9903","0.99","9","5","0.811"
"25","3","normal","Hard","Hard","FixedFront40","困难","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain.asset","912fdf5a98c036d4091bc234e5456ccb","faaa6a67c34b5bf4db4723ee8f7b1e12","21","35","735","728","98","26","34","884","871","89","0.9853","0.985","9","4","0.884"
"26","3","hole","HoleRescue","HoleRescue","HoleRescue","普通/恢复","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset","cbf7398778e0d2b4da618201fb4b2383","cbf7398778e0d2b4da618201fb4b2383","18","26","468","385","42","18","26","468","385","42","0.8226","","","",""
"27","3","shape","Shape","Shape","Shape","普通/恢复","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L027_crownvarianta_compact.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_02_L027_crownvarianta.asset","fa67cdc654e97734e897e651ad9b412a","940d4bf35338d604ebeb2f799b3fb904","36","29","1044","585","68","36","29","1044","588","72","0.5632","0.993","8","10",""
