"pool","chainBin","difficultyBucket","count"
"all_after100_generated_normal","010-019","Hard","1"
"all_after100_generated_normal","010-019","Ordinary","2"
"all_after100_generated_normal","010-019","Peak","1"
"all_after100_generated_normal","020-029","Hard","4"
"all_after100_generated_normal","020-029","Ordinary","2"
"all_after100_generated_normal","020-029","Peak","6"
"all_after100_generated_normal","030-039","Hard","5"
"all_after100_generated_normal","030-039","Ordinary","3"
"all_after100_generated_normal","040-049","Hard","1"
"all_after100_generated_normal","040-049","Ordinary","11"
"all_after100_generated_normal","040-049","Peak","2"
"all_after100_generated_normal","050-059","Hard","3"
"all_after100_generated_normal","050-059","Ordinary","6"
"all_after100_generated_normal","050-059","Peak","2"
"all_after100_generated_normal","060-069","Hard","9"
"all_after100_generated_normal","060-069","Ordinary","33"
"all_after100_generated_normal","060-069","Peak","3"
"all_after100_generated_normal","070-079","Hard","9"
"all_after100_generated_normal","070-079","Ordinary","52"
"all_after100_generated_normal","070-079","Peak","5"
"all_after100_generated_normal","080-089","Hard","15"
"all_after100_generated_normal","080-089","Ordinary","13"
"all_after100_generated_normal","080-089","Peak","6"
"all_after100_generated_normal","090-099","Hard","3"
"all_after100_generated_normal","090-099","Ordinary","1"
"all_after100_generated_normal","090-099","Peak","12"
"all_after100_generated_normal","100-109","Hard","3"
"all_after100_generated_normal","100-109","Peak","5"
"all_after100_generated_normal","120-129","Peak","2"
"safe_after100_generated_normal","010-019","Hard","1"
"safe_after100_generated_normal","010-019","Ordinary","2"
"safe_after100_generated_normal","010-019","Peak","1"
"safe_after100_generated_normal","020-029","Hard","4"
"safe_after100_generated_normal","020-029","Ordinary","2"
"safe_after100_generated_normal","020-029","Peak","6"
"safe_after100_generated_normal","030-039","Hard","5"
"safe_after100_generated_normal","030-039","Ordinary","3"
"safe_after100_generated_normal","040-049","Hard","1"
"safe_after100_generated_normal","040-049","Ordinary","11"
"safe_after100_generated_normal","040-049","Peak","2"
"safe_after100_generated_normal","050-059","Hard","3"
"safe_after100_generated_normal","050-059","Ordinary","6"
"safe_after100_generated_normal","050-059","Peak","2"
"safe_after100_generated_normal","060-069","Hard","9"
"safe_after100_generated_normal","060-069","Ordinary","33"
"safe_after100_generated_normal","060-069","Peak","3"
"safe_after100_generated_normal","070-079","Hard","9"
"safe_after100_generated_normal","070-079","Ordinary","52"
"safe_after100_generated_normal","070-079","Peak","5"
"safe_after100_generated_normal","080-089","Hard","15"
"safe_after100_generated_normal","080-089","Ordinary","13"
"safe_after100_generated_normal","080-089","Peak","6"
"safe_after100_generated_normal","090-099","Hard","3"
"safe_after100_generated_normal","090-099","Ordinary","1"
"safe_after100_generated_normal","090-099","Peak","12"
"safe_after100_generated_normal","100-109","Hard","3"
"safe_after100_generated_normal","100-109","Peak","5"
"safe_after100_generated_normal","120-129","Peak","2"
