"section10","AdjNormalOrdinaryAvg","AdjNormalHardAvg","AdjNormalPeakAvg","AdjShapeAvg","AdjShapeMax","AdjHoleAvg","AdjPeakOrShapeMax","AdjHardMinusOrdinary","AdjPeakOrShapeMinusHard"
"1","14.2","46","52","47.3","55","22","55","31.8","9"
"2","35.3","56","79","60","60","37","79","20.7","23"
"3","44.6","67","81","79.5","87","42","87","22.4","20"
"4","53.8","74","86","85.5","88","41","88","20.2","14"
"5","62.5","81.5","94","78.5","81","43","94","19","12.5"
"6","71","82","92.5","92","92","43","100","11","18"
"7","71.5","87.5","100","80.5","91","43","100","16","12.5"
"8","76.5","87","107.5","83","84","45","123","10.5","36"
"9","79.7","92.3","121","93","95","45","121","12.6","28.7"
"10","85","97","136","81","92","47","136","12","39"
