"order","section10","category","difficultyBucket","experienceRole","sourcePool","productionLane","chainLanguage","patchKind","projectedAsset","projectedChain","projectedArrow","initialChain","initialArrow","baseChain","baseArrow","projectionReason","donorOrTarget","chainDeltaVsBase","chainDeltaVsInitial"
"1","1","normal","Ordinary","Normal","","","","","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","6","21","6","21","6","21","keep_current","","0","0"
"2","1","hole","HoleRescue","HoleRescue","","","","","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","22","130","22","130","22","130","keep_current","","0","0"
"3","1","normal","Ordinary","Normal","Campaign500NormalFullV1UnusedStrict","FlowRail","rail_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset","36","427","19","122","36","427","keep_current","","0","17"
"4","1","shape","Shape","Shape","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset","55","459","30","327","55","459","keep_current","","0","25"
"5","1","normal","Ordinary","Normal","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset","36","429","26","364","36","429","keep_current","","0","10"
"6","1","shape","Shape","Shape","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset","53","479","32","369","53","479","keep_current","","0","21"
"7","1","normal","Ordinary","Normal","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset","50","527","39","424","50","527","keep_current","","0","11"
"8","1","normal","Hard","Normal","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset","46","535","46","347","46","535","keep_current","","0","0"
"9","1","shape","Shape","Shape","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset","34","221","32","194","34","221","keep_current","","0","2"
"10","1","normal","Peak","Normal","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset","52","529","60","372","52","529","keep_current","","0","-8"
