"section10","difficultyBucket","count","avgProjectedChain","minProjectedChain","maxProjectedChain","avgInitialChain","avgBaseChain"
"1","Hard","1","46","46","46","46","46"
"1","Ordinary","4","32","6","50","22.5","32"
"1","Peak","1","52","52","52","60","52"
"2","Hard","1","56","56","56","54","56"
"2","Ordinary","6","46","34","55","45","46"
"2","Peak","1","79","79","79","94","79"
"3","Hard","1","89","89","89","98","89"
"3","Ordinary","5","66.8","58","79","70.2","66.8"
"3","Peak","1","101","101","101","98","90"
"4","Hard","1","86","86","86","103","72"
"4","Ordinary","5","74.6","71","79","76","70.2"
"4","Peak","1","99","99","99","101","86"
"5","Hard","2","82.5","81","84","87.5","81.5"
"5","Ordinary","4","71","67","76","70.8","67"
"5","Peak","1","99","99","99","117","84"
"6","Hard","1","92","92","92","87","75"
"6","Ordinary","4","79.5","78","82","80.5","71"
"6","Peak","2","104.5","100","109","92.5","82"
"7","Hard","2","95.5","94","97","101.5","87.5"
"7","Ordinary","4","68","66","70","69.2","63.8"
"7","Peak","1","125","125","125","104","82"
"8","Hard","1","93","93","93","103","83"
"8","Ordinary","4","73","68","82","70.5","63"
"8","Peak","2","104","100","108","99","79"
"9","Hard","3","93","87","99","95.7","86.7"
"9","Ordinary","3","71","67","79","64.3","57.7"
"9","Peak","1","104","104","104","100","73"
"10","Hard","2","97","94","100","104.5","91"
"10","Ordinary","4","73.2","66","94","64.8","57.8"
"10","Peak","1","121","121","121","110","100"
