"chainBin","count","min","max","orders"
"000-009","1","6","6","1:6"
"030-039","4","34","38","3:36; 5:36; 11:34; 20:38"
"040-049","3","46","48","8:46; 12:48; 18:47"
"050-059","10","50","59","7:50; 10:52; 14:54; 15:55; 16:56; 22:58; 28:59; 31:55; 41:53; 60:54"
"060-069","23","60","69","21:60; 24:63; 30:64; 33:64; 34:65; 35:65; 36:66; 42:66; 45:68; 50:67; 51:67; 55:68; 57:69; 62:67; 64:66; 68:69; 74:68; 77:65; 79:66; 81:66; 86:67; 92:68; 95:69"
"070-079","6","70","79","19:79; 49:79; 66:70; 80:73; 85:79; 100:70"
"080-089","9","80","89","25:89; 40:86; 44:84; 52:82; 59:85; 70:81; 75:83; 84:80; 90:87"
"090-099","7","92","99","39:99; 47:99; 69:94; 72:92; 88:93; 97:94; 99:94"
"100-109","6","100","108","29:101; 56:100; 65:100; 76:108; 89:104; 94:100"
"120-129","1","121","121","96:121"
