"section10","NormalOrdinaryAvg","NormalHardAvg","NormalPeakAvg","ShapeAvg","ShapeMax","HoleAvg","PeakOrShapeMax","HardMinusOrdinary","PeakOrShapeMinusHard"
"1","32","46","52","47.3","55","22","55","14","9"
"2","46","56","79","60","60","37","79","10","23"
"3","60.8","89","101","79.5","87","42","101","28.2","12"
"4","63","86","99","85.5","88","41","99","23","13"
"5","63.5","81.5","99","78.5","81","43","99","18","17.5"
"6","64.5","82","92.5","92","92","43","100","17.5","18"
"7","68","87.5","100","80.5","91","43","100","19.5","12.5"
"8","68","83","100","83","84","45","108","15","25"
"9","70.7","86.7","104","93","95","45","104","16","17.3"
"10","75.2","97","121","81","92","47","121","21.8","24"
