"order","section10","category","difficultyBucket","experienceRole","projectedChain","canvasAdjustedChain","longChainCanvasBonus","isLongChain","projectedArrow","projectedArea","projectedAsset","sourcePool","productionLane","chainLanguage","baseChain","baseArrow","baseArea","initialChain","initialArrow","initialArea","projectionReason","linkedOrder","chainDeltaVsBase","chainDeltaVsInitial"
"1","1","normal","Ordinary","Normal","6","6","0","False","21","70","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","","","","6","21","70","6","21","70","keep_current","","0","0"
"2","1","hole","HoleRescue","HoleRescue","22","22","0","False","130","288","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","","","","22","130","288","22","130","288","keep_current","","0","0"
"3","1","normal","Ordinary","Normal","15","15","0","True","181","192","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset","SeedV5LongChain30Front300","slot_seedweave_braid_carrier","family_profile_chain","36","427","432","19","122","126","v8_review_target","290","-21","-4"
"4","1","shape","Shape","Shape","55","55","0","False","459","672","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset","ShapeMaskInventory","","","55","459","672","30","327","480","keep_current","","0","25"
"5","1","normal","Ordinary","Normal","15","15","0","True","181","192","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_01_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset","SeedV5LongChain30Front300","slot_seedweave_braid_carrier","family_profile_chain","36","429","432","26","364","368","v8_review_target","294","-21","-11"
"6","1","shape","Shape","Shape","53","53","0","False","479","896","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset","ShapeMaskInventory","","","53","479","896","32","369","468","keep_current","","0","21"
"7","1","normal","Ordinary","Normal","21","21","0","True","360","378","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_17_l022_long_normal_b_section_s03_slot_seedweave_braid_carrier.asset","SeedV5LongChain30Front300","slot_seedweave_braid_carrier","family_profile_chain","50","527","540","39","424","432","v8_review_target","272","-29","-18"
"8","1","normal","Hard","Normal","46","46","0","False","535","540","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","46","535","540","46","347","352","keep_current","","0","0"
"9","1","shape","Shape","Shape","34","34","0","False","221","676","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset","ShapeMaskInventory","","","34","221","676","32","194","484","keep_current","","0","2"
"10","1","normal","Peak","Normal","52","52","0","False","529","540","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","52","529","540","60","372","378","keep_current","","0","-8"
