"targetOrder","section10","bucket","oldChain","initialChain","targetChain","newChain","chainLift","selectionMode","donorOrder","donorSection","donorBucket","donorCurrentChain","donorInitialChain","donorSafety","patchKind","candidateArea","candidateArrows","candidateSourcePool","candidateProductionLane","candidateChainLanguage","targetOldAssetPath","candidateAssetPath","donorRevertAssetPath","note"
"3","1","Ordinary","36","19","15","15","-21","V8Front10LowChain","290","29","Ordinary","15","114","99","ReviewOnlyV8NoResourceReplacement","192","181","SeedV5LongChain30Front300","slot_seedweave_braid_carrier","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_82_direct_normal_rect_section_unlock_g2_v09.asset","section1 ordinary low baseline 36->15"
"5","1","Ordinary","36","26","15","15","-21","V8Front10LowChain","294","30","Ordinary","15","110","95","ReviewOnlyV8NoResourceReplacement","192","181","SeedV5LongChain30Front300","slot_seedweave_braid_carrier","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_01_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_155_direct_normal_rect_sweep_g3_v16.asset","section1 ordinary low baseline 36->15"
"7","1","Ordinary","50","39","21","21","-29","V8Front10Low20s","272","28","Ordinary","21","115","94","ReviewOnlyV8NoResourceReplacement","378","360","SeedV5LongChain30Front300","slot_seedweave_braid_carrier","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_17_l022_long_normal_b_section_s03_slot_seedweave_braid_carrier.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_33_direct_normal_rect_lock_buckle_g3_v04.asset","section1 ordinary low baseline 50->21"
"11","2","Ordinary","34","31","24","24","-10","V8Front20Under29","286","29","Ordinary","24","107","83","ReviewOnlyV8NoResourceReplacement","374","349","SeedV5LongChain30Front300","slot_seedmaze_chamber_corridor","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_05_l005_long_normal_b_normal_s01_slot_seedmaze_chamber_corridor.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_39_direct_normal_topup_rect_quasi_symmetry_g10_v05.asset","section2 ordinary low 34->24"
"14","2","Ordinary","54","42","26","26","-28","V8Front20Under29","239","24","Peak","26","171","145","ReviewOnlyV8NoResourceReplacement","391","370","SeedV5LongChain30Front300","slot_seedweave_braid_carrier","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_26_l031_long_normal_a_sweep_s04_slot_seedweave_braid_carrier.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishHardCandidates/direct_polish_hard_19_direct_polish_hard_rect_section_unlock_g6_v03.asset","section2 ordinary low 54->26"
"15","2","Ordinary","55","53","29","29","-26","V8Front20Under29","287","29","Peak","29","214","185","ReviewOnlyV8NoResourceReplacement","378","353","SeedV5LongChain30Front300","slot_seedweave_dense_support","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_18_l022_long_normal_b_section_s03_slot_seedweave_dense_support.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_35_direct_advanced_veryhard_rect_core_burst_g0_v05.asset","section2 ordinary low 55->29"
"21","3","Ordinary","60","59","40","40","-20","V8S3Ordinary40Band","291","30","Ordinary","40","106","66","ReviewOnlyV8NoResourceReplacement","432","427","Campaign500_HardGateUntil0910","FlowCurve","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_43_direct_normal_topup_rect_dense_weave_g11_v06.asset","section3 ordinary 60->40"
"22","3","Ordinary","58","55","42","42","-16","V8S3Ordinary40Band","129","13","Peak","42","102","60","ReviewOnlyV8NoResourceReplacement","667","631","SeedV5LongChain30Front300","slot_seedmaze_chamber_corridor","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_164_l212_long_normal_b_maze_s22_slot_seedmaze_chamber_corridor.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04.asset","section3 ordinary 58->42"
"24","3","Ordinary","79","82","43","43","-36","V8S3Ordinary40Band","281","29","Ordinary","43","107","64","ReviewOnlyV8NoResourceReplacement","713","659","NutationLongChainStrict60Front300","maze_long_chain","spine_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_36_nutation_peel_rail_v1_rect_s44_o432_v02_peelmid_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_08_nutation_longchain_spine_v1_rect_c80_02_d1_maze_spine.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_95_direct_normal_rect_sweep_g3_v10.asset","section3 ordinary 79->43"
"28","3","Ordinary","59","63","45","45","-14","V8S3Ordinary40Band","121","13","Ordinary","45","51","6","ReviewOnlyV8NoResourceReplacement","540","538","Campaign500_HardGateUntil0910","FlowRail","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_04_maze_long_chain.asset","section3 ordinary 59->45"
