"targetOrder","section10","bucket","currentChain","initialChain","targetChain","gap","priority","currentAssetPath","currentSourcePool","currentProductionLane"
"31","4","Ordinary","55","61","71","16","1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","FlowCurve"
"35","4","Ordinary","65","65","71","6","1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_66_nutation_mixed_neutral_v1_rect_s06_o057_v02_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed"
"40","4","Hard","72","103","93","21","2","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_36_nutation_longchain_spine_v1_rect_c80hf_09_d2_core_spine.asset","NutationLongChainStrict60Front300","maze_long_chain"
"39","4","Peak","86","101","108","22","3","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_57_nutation_strict_mixed_hard_v1_rect_s50_o491_v01_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelMid"
"41","5","Ordinary","53","62","66","13","1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_08_nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain.asset","Campaign500_HardGateUntil0910","FlowPatch"
"49","5","Hard","79","89","81","2","2","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelLight"
"47","5","Peak","84","117","107","23","3","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_12_nutation_strict_mixed_hard_v1_rect_s30_o296_v03_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelMid"
"51","6","Ordinary","74","85","76","2","1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_43_nutation_strict_mixed_hard_v1_rect_s43_o424_v02_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelLight"
"55","6","Ordinary","74","94","76","2","1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_07_nutation_mixed_neutral_v1_rect_s46_o457_v00_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed"
"60","6","Ordinary","54","59","76","22","1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain.asset","Campaign500_HardGateUntil0910","FlowRail"
"52","6","Hard","75","87","91","16","2","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smp/c5nep_w9smp_02_nutation_strict_mixed_peak_v1_rect_s03_o029_v01_strictmixedpeak_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelHard"
"56","6","Peak","79","96","106","27","3","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_44_nutation_longchain_spine_v1_rect_c80hf_11_d2_lock_spine.asset","NutationLongChainStrict60Front300","maze_long_chain"
"59","6","Peak","85","89","106","21","3","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_33_nutation_strict_mixed_hard_v1_rect_s37_o365_v02_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PressurePeak"
"68","7","Ordinary","52","59","64","12","1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain.asset","Campaign500_HardGateUntil0910","FlowCurve"
"70","7","Hard","81","103","92","11","2","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1UnusedStrict","PeelMid"
"65","7","Peak","82","104","106","24","3","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_01_nutation_strict_mixed_hard_v1_rect_s21_o208_v00_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1UnusedStrict","PeelMid"
"77","8","Ordinary","46","48","66","20","1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain.asset","Campaign500_HardGateUntil0910","FlowCurve"
"79","8","Ordinary","51","58","66","15","1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed"
"75","8","Hard","83","103","93","10","2","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PressurePeak"
"72","8","Peak","86","104","108","22","3","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_16_nutation_strict_mixed_hard_v1_rect_s28_o276_v07_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PressurePeak"
"76","8","Peak","72","94","108","36","3","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_32_nutation_longchain_spine_v1_rect_c80hf_08_d2_weave_spine.asset","NutationLongChainStrict60Front300","maze_long_chain"
"81","9","Ordinary","43","46","59","16","1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain.asset","Campaign500_HardGateUntil0910","FlowRail"
"86","9","Ordinary","51","55","59","8","1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_27_nutation_flow_rail_v1_rect_s29_o281_v02_flowrail_rail_chain.asset","Campaign500_HardGateUntil0910","FlowRail"
"84","9","Hard","80","88","86","6","2","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_37_nutation_strict_mixed_hard_v1_rect_s41_o405_v01_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelMid"
"89","9","Peak","73","100","101","28","3","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_52_nutation_longchain_spine_v1_rect_c80_13_d3_weave_spine.asset","NutationLongChainStrict60Front300","maze_long_chain"
"92","10","Ordinary","42","48","60","18","1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain.asset","Campaign500_HardGateUntil0910","FlowPatch"
"95","10","Ordinary","52","61","60","8","1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_74_nutation_flow_rail_v1_rect_s20_o197_v01_flowrail_rail_chain.asset","Campaign500_HardGateUntil0910","FlowRail"
"100","10","Ordinary","43","49","60","17","1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain.asset","Campaign500_HardGateUntil0910","FlowCurve"
"97","10","Hard","82","102","94","12","2","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_25_nutation_strict_mixed_hard_v1_rect_s27_o264_v00_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1UnusedStrict","PeelMid"
"96","10","Peak","100","110","110","10","3","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PressurePeak"
