"order","section10","category","templateDifficultyCode","difficultyLabel","difficultyTag","difficultyNameZh","stageDifficultyHint","templateExperienceRole","rhythmBucket","rhythmExperienceRole","targetChains","targetChainsMin","targetChainsMax","baseChain","projectedChain","canvasAdjustedChain","longChainCanvasBonus","isLongChain","projectedArrow","projectedArea","chainDeltaVsBase","chainDeltaVsInitial","projectionReason","linkedOrder","sourcePool","productionLane","chainLanguage","projectedAsset","originalTemplateAsset","sourceV11CopiedAssetPath","shapeId","shapeNameZh","isShapeSlot","isHoleSlot","finalizationVersion","difficultyCodePolicy","resourceReplacementStatus","finalReviewNote"
"1","1","normal","1","??1","Normal1","普通/恢复","NormalOrRecovery","Normal","Ordinary","Normal","6","6","6","6","6","6","0","False","21","70","0","0","keep_current","","","","","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L001_tutorial_simple_01_hi.asset","","","0","0","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","review_only_no_resource_replacement",""
"2","1","hole","1","??1","Normal1","普通/恢复","NormalOrRecovery","HoleRescue","HoleRescue","HoleRescue","22","19","25","22","22","22","0","False","130","288","0","0","keep_current","","","","","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L002_seed_Arrowz_level_035_holeblock_multiseed_final.asset","","","0","1","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","review_only_no_resource_replacement",""
"3","1","normal","1","??1","Normal1","普通/恢复","NormalOrRecovery","Normal","Ordinary","Normal","19","16","22","36","15","15","0","True","181","192","-21","-4","v11_review_target","290","SeedV5LongChain30Front300","slot_seedweave_braid_carrier","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3TinyPreview/level3_tiny_03_level3_tiny_mini_maze_17.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L003_level3_tiny_03_level3_tiny_mini_maze_17.asset","","","0","0","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","review_only_no_resource_replacement","s1 ordinary 36->15"
"4","1","shape","1","??1","Normal1","普通/恢复","NormalOrRecovery","Shape","Shape","Shape","30","27","33","55","55","55","0","False","459","672","0","25","keep_current","","ShapeMaskInventory","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_01_L004_crystalball.asset","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L004_r2_outer_strong_005_r2_006_a401_earlyprop_01_early.asset","crystalball","水晶球","1","0","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","review_only_no_resource_replacement",""
"5","1","normal","1","??1","Normal1","普通/恢复","NormalOrRecovery","Normal","Ordinary","Normal","26","23","29","36","21","21","0","True","360","378","-15","-5","v11_review_target","272","SeedV5LongChain30Front300","slot_seedweave_braid_carrier","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_17_l022_long_normal_b_section_s03_slot_seedweave_braid_carrier.asset","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L005_nomask_style_01_hui_spiral.asset","","","0","0","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","review_only_no_resource_replacement","s1 ordinary 36->21"
"6","1","shape","1","??1","Normal1","普通/恢复","NormalOrRecovery","Shape","Shape","Shape","32","29","35","53","53","53","0","False","479","896","0","21","keep_current","","ShapeMaskInventory","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_02_L006_potionbottle.asset","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L006_r2_outer_strong_005_r2_006_a401_earlyprop_02_early.asset","eraser","橡皮擦","1","0","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","review_only_no_resource_replacement",""
"7","1","normal","1","??1","Normal1","普通/恢复","NormalOrRecovery","Normal","Ordinary","Normal","39","36","42","50","24","24","0","True","349","374","-26","-15","v11_review_target","286","SeedV5LongChain30Front300","slot_seedmaze_chamber_corridor","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_05_l005_long_normal_b_normal_s01_slot_seedmaze_chamber_corridor.asset","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_08_double_room_lock_b.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L007_nomask_style_expansion_08_double_room_lock_b.asset","","","0","0","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","review_only_no_resource_replacement","s1 ordinary 50->24"
"8","1","normal","1","??1","Normal1","普通/恢复","NormalOrRecovery","Normal","Hard","Normal","46","42","50","46","35","35","0","True","426","450","-11","-11","v11_review_target","204","SeedV5LongChain30Front300","slot_seedmaze_chamber_corridor","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_175_l234_long_normal_b_sweep_s24_slot_seedmaze_chamber_corridor.asset","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L008_nomask_08_dual_zone.asset","","","0","0","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","review_only_no_resource_replacement","s1 hard 46->35"
"9","1","shape","1","??1","Normal1","普通/恢复","NormalOrRecovery","Shape","Shape","Shape","32","29","35","34","34","34","0","False","221","676","0","2","keep_current","","ShapeMaskInventory","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_03_L009_ruler.asset","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L009_r2_outer_strong_005_r2_006_a401_earlyprop_03_early.asset","ruler","标尺","1","0","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","review_only_no_resource_replacement",""
"10","1","normal","2","??2","Hard2","困难","Hard","Normal","Peak","Normal","60","55","65","52","38","38","0","False","430","432","-14","-22","v11_review_target","295","Campaign500_HardGateUntil0910","FlowRail","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L010_direct_pure_topup_01_22_direct_refresh_topup_rect_.asset","","","0","0","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","review_only_no_resource_replacement","s1 no real peak pressure 52->38"
