"targetOrder","targetSection","targetBucket","oldChain","donorOrder","donorSection","donorBucket","newChain","chainBin","selectionMode"
"24","3","Ordinary","79","128","13","Ordinary","63","060-069","V7OrdinarySlowRampS3"
"30","3","Ordinary","78","265","27","Ordinary","64","060-069","V7OrdinarySlowRampS3"
"33","4","Ordinary","75","270","27","Ordinary","64","060-069","V7OrdinarySlowRampS4"
"34","4","Ordinary","79","250","25","Ordinary","65","060-069","V7OrdinarySlowRampS4"
"77","8","Ordinary","46","261","27","Ordinary","65","060-069","V7OrdinaryLateRampS8"
"36","4","Ordinary","77","244","25","Ordinary","66","060-069","V7OrdinarySlowRampS4"
"42","5","Ordinary","76","257","26","Ordinary","66","060-069","V7OrdinarySlowRampS5"
"79","8","Ordinary","51","271","28","Ordinary","66","060-069","V7OrdinaryLateRampS8"
"81","9","Ordinary","43","422","43","Ordinary","66","060-069","V7OrdinaryLateRampS9"
"51","6","Ordinary","74","357","36","Ordinary","67","060-069","V7OrdinarySlowRampS6"
"86","9","Ordinary","51","374","38","Ordinary","67","060-069","V7OrdinaryLateRampS9"
"45","5","Ordinary","72","248","25","Ordinary","68","060-069","V7OrdinarySlowRampS5"
"55","6","Ordinary","74","402","41","Ordinary","68","060-069","V7OrdinarySlowRampS6"
"74","8","Ordinary","82","224","23","Hard","68","060-069","V7bOrdinaryDeplateauS8"
"92","10","Ordinary","42","237","24","Ordinary","68","060-069","V7OrdinaryLateRampS10"
"57","6","Ordinary","82","345","35","Ordinary","69","060-069","V7OrdinarySlowRampS6"
"68","7","Ordinary","52","411","42","Ordinary","69","060-069","V7OrdinaryLateRampS7"
"95","10","Ordinary","52","190","19","Ordinary","69","060-069","V7OrdinaryLateRampS10"
"100","10","Ordinary","43","115","12","Ordinary","70","070-079","V7OrdinaryLateRampS10"
"52","6","Hard","75","116","12","Hard","82","080-089","V7HardModerateStep"
"40","4","Hard","72","491","50","Hard","86","080-089","V7EarlyHardNormalBoost"
"72","8","Peak","86","407","41","Peak","92","090-099","V7PeakModerateStep"
"97","10","Hard","82","329","33","Peak","94","090-099","V7HardLateStep"
"39","4","Peak","86","154","16","Peak","99","090-099","V7EarlyPeakNormalBoost"
"47","5","Peak","84","136","14","Peak","99","090-099","V7EarlyPeakNormalBoost"
"56","6","Peak","79","316","32","Peak","100","100-109","V7PeakModerateStep"
"65","7","Peak","82","336","34","Peak","100","100-109","V7PeakModerateStep"
"29","3","Peak","90","166","17","Hard","101","100-109","V7bEarlyPeakSeparation"
"89","9","Peak","73","465","47","Peak","104","100-109","V7PeakStrongStep"
"76","8","Peak","72","500","50","Peak","108","100-109","V7PeakStrongStep"
"96","10","Peak","100","485","49","Peak","121","120-129","V7PeakLateStrongStep"
