"targetOrder","targetSection","targetBucket","oldChain","donorOrder","donorSection","donorBucket","newChain","chainBin","selectionMode","candidateArea","candidateSourcePool","candidateProductionLane","candidateChainLanguage"
"3","1","Ordinary","36","290","29","Ordinary","15","010-019","V8Front10LowChain","192","SeedV5LongChain30Front300","slot_seedweave_braid_carrier","family_profile_chain"
"5","1","Ordinary","36","294","30","Ordinary","15","010-019","V8Front10LowChain","192","SeedV5LongChain30Front300","slot_seedweave_braid_carrier","family_profile_chain"
"7","1","Ordinary","50","272","28","Ordinary","21","020-029","V8Front10Low20s","378","SeedV5LongChain30Front300","slot_seedweave_braid_carrier","family_profile_chain"
"11","2","Ordinary","34","286","29","Ordinary","24","020-029","V8Front20Under29","374","SeedV5LongChain30Front300","slot_seedmaze_chamber_corridor","family_profile_chain"
"14","2","Ordinary","54","239","24","Peak","26","020-029","V8Front20Under29","391","SeedV5LongChain30Front300","slot_seedweave_braid_carrier","family_profile_chain"
"15","2","Ordinary","55","287","29","Peak","29","020-029","V8Front20Under29","378","SeedV5LongChain30Front300","slot_seedweave_dense_support","family_profile_chain"
"21","3","Ordinary","60","291","30","Ordinary","40","040-049","V8S3Ordinary40Band","432","Campaign500_HardGateUntil0910","FlowCurve","rail_chain"
"22","3","Ordinary","58","129","13","Peak","42","040-049","V8S3Ordinary40Band","667","SeedV5LongChain30Front300","slot_seedmaze_chamber_corridor","family_profile_chain"
"24","3","Ordinary","79","281","29","Ordinary","43","040-049","V8S3Ordinary40Band","713","NutationLongChainStrict60Front300","maze_long_chain","spine_chain"
"28","3","Ordinary","59","121","13","Ordinary","45","040-049","V8S3Ordinary40Band","540","Campaign500_HardGateUntil0910","FlowRail","rail_chain"
"30","3","Ordinary","78","471","48","Ordinary","46","040-049","V8S3Ordinary40Band","540","Campaign500HardGateUntil0910After300Reclaimed","FlowCurve","curve_chain"
"33","4","Ordinary","75","134","14","Ordinary","50","050-059","V8S4Ordinary50Band","540","Campaign500NormalFullV1UnusedStrict","FlowRail","rail_chain"
"34","4","Ordinary","79","279","28","Ordinary","54","050-059","V8S4Ordinary50Band","540","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain"
"35","4","Ordinary","65","280","28","Ordinary","54","050-059","V8S4Ordinary50Band","540","Campaign500NormalFullV1UnusedStrict","FlowPatch","patch_chain"
"36","4","Ordinary","77","102","11","Ordinary","56","050-059","V8S4Ordinary50Band","540","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","unknown_chain"
"42","5","Ordinary","76","227","23","Peak","60","060-069","V8S5Ordinary60Band","816","NutationLongChainStrict60Front300","maze_long_chain","spine_chain"
"45","5","Ordinary","72","209","21","Peak","61","060-069","V8S5Ordinary60Band","660","NutationLongChainStrict60Front300","maze_long_chain","patch_chain"
"60","6","Ordinary","54","115","12","Ordinary","70","070-079","V8S6Ordinary70Band","660","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain"
"62","7","Ordinary","67","131","14","Ordinary","72","070-079","V8S7Ordinary70Band","768","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain"
"64","7","Ordinary","66","137","14","Ordinary","72","070-079","V8S7Ordinary70Band","660","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain"
